Time,Node,X,Y,Z,Speed,Latitude,Longitude,Altitude
+5e+09ns,0,6.26856e+06,42748.5,2.28157e+06,7729.73:-16.0383:-6.37105e+06,19.9996,0.390723,300000
+5e+09ns,1,6.00346e+06,157206,2.12683e+06,10.0142:0:-6.37097e+06,19.5013,1.5,3
+1e+10ns,0,6.26817e+06,85495.2,2.28145e+06,7729.26:-32.076:-6.37109e+06,19.9985,0.781442,300000
+1e+10ns,1,6.00341e+06,157205,2.12697e+06,10.0142:0:-6.37097e+06,19.5027,1.5,3
+1.5e+10ns,0,6.26752e+06,128238,2.28124e+06,7728.46:-48.1125:-6.37114e+06,19.9965,1.17215,300000
+1.5e+10ns,1,6.00336e+06,157204,2.12711e+06,10.0142:0:-6.37097e+06,19.504,1.5,3
+2e+10ns,0,6.2666e+06,170976,2.28094e+06,7727.35:-64.1473:-6.37119e+06,19.9939,1.56286,300000
+2e+10ns,1,6.00331e+06,157202,2.12725e+06,10.0142:0:-6.37097e+06,19.5054,1.5,3
+2.5e+10ns,0,6.26543e+06,213707,2.28057e+06,7725.92:-80.1797:-6.37123e+06,19.9904,1.95354,300000
+2.5e+10ns,1,6.00326e+06,157201,2.12739e+06,10.0142:0:-6.37097e+06,19.5067,1.5,3
+3e+10ns,0,6.26399e+06,256429,2.28011e+06,7724.18:-96.2091:-6.37128e+06,19.9862,2.34421,300000
+3e+10ns,1,6.00321e+06,157200,2.12753e+06,10.0142:0:-6.37097e+06,19.5081,1.5,3
+3.5e+10ns,0,6.2623e+06,299141,2.27956e+06,7722.11:-112.235:-6.37133e+06,19.9812,2.73486,300000
+3.5e+10ns,1,6.00316e+06,157198,2.12767e+06,10.0142:0:-6.37097e+06,19.5094,1.5,3
+4e+10ns,0,6.26034e+06,341840,2.27893e+06,7719.73:-128.257:-6.37137e+06,19.9754,3.12548,300000
+4e+10ns,1,6.00311e+06,157197,2.12782e+06,10.0142:0:-6.37097e+06,19.5108,1.5,3
+4.5e+10ns,0,6.25812e+06,384525,2.27822e+06,7717.03:-144.274:-6.37142e+06,19.9689,3.51607,300000
+4.5e+10ns,1,6.00306e+06,157196,2.12796e+06,10.0142:0:-6.37097e+06,19.5121,1.5,3
+5e+10ns,0,6.25565e+06,427195,2.27742e+06,7714.02:-160.286:-6.37147e+06,19.9616,3.90663,300000
+5e+10ns,1,6.00301e+06,157194,2.1281e+06,10.0142:0:-6.37097e+06,19.5135,1.5,3
+5.5e+10ns,0,6.25291e+06,469847,2.27654e+06,7710.69:-176.291:-6.37152e+06,19.9536,4.29716,300000
+5.5e+10ns,1,6.00296e+06,157193,2.12824e+06,10.0142:0:-6.37097e+06,19.5148,1.5,3
+6e+10ns,0,6.24991e+06,512479,2.27557e+06,7707.04:-192.291:-6.37156e+06,19.9448,4.68764,300000
+6e+10ns,1,6.00291e+06,157192,2.12838e+06,10.0142:0:-6.37097e+06,19.5162,1.5,3
+6.5e+10ns,0,6.24665e+06,555091,2.27452e+06,7703.07:-208.283:-6.37161e+06,19.9352,5.07809,300000
+6.5e+10ns,1,6.00286e+06,157190,2.12852e+06,10.0142:0:-6.37097e+06,19.5175,1.5,3
+7e+10ns,0,6.24313e+06,597679,2.27339e+06,7698.79:-224.268:-6.37166e+06,19.9249,5.46848,300000
+7e+10ns,1,6.00281e+06,157189,2.12866e+06,10.0142:0:-6.37097e+06,19.5189,1.5,3
+7.5e+10ns,0,6.23935e+06,640243,2.27218e+06,7694.2:-240.244:-6.3717e+06,19.9137,5.85883,300000
+7.5e+10ns,1,6.00276e+06,157188,2.12881e+06,10.0142:0:-6.37097e+06,19.5202,1.5,3
+8e+10ns,0,6.23532e+06,682781,2.27088e+06,7689.28:-256.212:-6.37175e+06,19.9019,6.24912,300000
+8e+10ns,1,6.00271e+06,157187,2.12895e+06,10.0142:0:-6.37097e+06,19.5216,1.5,3
+8.5e+10ns,0,6.23102e+06,725291,2.26949e+06,7684.05:-272.17:-6.3718e+06,19.8892,6.63935,300000
+8.5e+10ns,1,6.00266e+06,157185,2.12909e+06,10.0142:0:-6.37097e+06,19.5229,1.5,3
+9e+10ns,0,6.22646e+06,767771,2.26803e+06,7678.51:-288.118:-6.37184e+06,19.8758,7.02953,300000
+9e+10ns,1,6.00261e+06,157184,2.12923e+06,10.0142:0:-6.37097e+06,19.5243,1.5,3
+9.5e+10ns,0,6.22165e+06,810219,2.26648e+06,7672.65:-304.055:-6.37189e+06,19.8617,7.41964,300000
+9.5e+10ns,1,6.00256e+06,157183,2.12937e+06,10.0142:0:-6.37097e+06,19.5256,1.5,3
+1e+11ns,0,6.21657e+06,852634,2.26484e+06,7666.47:-319.981:-6.37193e+06,19.8468,7.80968,300000
+1e+11ns,1,6.00251e+06,157181,2.12951e+06,10.0142:0:-6.37097e+06,19.527,1.5,3
+1.05e+11ns,0,6.21124e+06,895014,2.26313e+06,7659.98:-335.896:-6.37198e+06,19.8311,8.19965,300000
+1.05e+11ns,1,6.00246e+06,157180,2.12965e+06,10.0142:0:-6.37097e+06,19.5283,1.5,3
+1.1e+11ns,0,6.20564e+06,937357,2.26133e+06,7653.17:-351.798:-6.37203e+06,19.8147,8.58955,300000
+1.1e+11ns,1,6.00241e+06,157179,2.12979e+06,10.0142:0:-6.37097e+06,19.5297,1.5,3
