Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	-81.9464
0.00507143	1	0	0	-79.2957
0.0100714	1	0	0	-79.2957
0.0150714	1	0	0	-79.2957
0.0200714	1	0	0	-79.2957
0.0240714	1	1	0	-79.2957
0.0250714	1	1	0	-79.2957
0.0300714	1	1	0	-79.2957
0.0350714	1	1	0	-79.2957
0.0400714	1	1	0	-79.2957
0.0450714	1	1	0	-79.2957
0.0500714	1	1	0	-79.2957
0.0550714	1	1	0	-79.2957
0.0600714	1	1	0	-79.2957
0.0650714	1	1	0	-79.2957
0.0700714	1	1	0	-79.2957
0.0750714	1	1	0	-79.2957
0.0800714	1	1	0	-79.2957
0.0850714	1	1	0	-79.2957
0.0900714	1	1	0	-79.2957
0.0950714	1	1	0	-79.2957
0.100071	1	1	0	-79.2957
0.104071	1	1	0	-6.97234
0.105071	1	1	0	-6.97239
0.110071	1	1	0	-6.97236
0.115071	1	1	0	-6.97249
0.120071	1	1	0	-6.97255
0.125071	1	1	0	-6.97244
0.130071	1	1	0	-6.97234
0.135071	1	1	0	-6.97241
0.140071	1	1	0	-6.97254
0.145071	1	1	0	-6.97251
0.150071	1	1	0	-6.97238
0.155071	1	1	0	-6.97238
0.160071	1	1	0	-6.97249
0.165071	1	1	0	-6.97251
0.170071	1	1	0	-6.97241
0.175071	1	1	0	-6.97238
0.180071	1	1	0	-6.97249
0.184071	1	1	0	-6.97248
0.185071	1	1	0	-6.97253
0.190071	1	1	0	-6.97242
0.195071	1	1	0	-6.97234
0.200071	1	1	0	-6.97245
0.203071	1	1	0	-6.97245
0.205071	1	1	0	-25.6279
0.210071	1	1	0	-25.6282
0.213071	1	1	0	-25.6279
0.215071	1	1	0	-25.6288
0.218071	1	1	0	-25.6287
0.220071	1	1	0	-25.6286
0.223071	1	1	0	-25.6288
0.224071	1	1	0	-25.6284
0.225071	1	1	0	-25.6279
0.228071	1	1	0	-25.628
0.229071	1	1	0	-25.6289
0.230071	1	1	0	-25.628
0.233071	1	1	0	-25.6278
0.235071	1	1	0	-25.6287
0.238071	1	1	0	-25.6286
0.240071	1	1	0	-25.6288
0.243071	1	1	0	-25.6289
0.244071	1	1	0	-25.6283
0.245071	1	1	0	-25.628
0.249071	1	1	0	-25.6289
0.250071	1	1	0	-25.6279
0.253071	1	1	0	-25.6278
0.254071	1	1	0	-25.6285
0.255071	1	1	0	-25.6287
0.258071	1	1	0	-25.6286
0.260071	1	1	0	-25.6289
0.263071	1	1	0	-25.6289
0.264071	1	1	0	-25.6281
0.265071	1	1	0	-25.628
0.269071	1	1	0	-25.6288
0.270071	1	1	0	-25.6278
0.273071	1	1	0	-25.6278
0.274071	1	1	0	-25.6286
0.275071	1	1	0	-25.6287
0.278071	1	1	0	-25.6285
0.280071	1	1	0	-25.6289
0.283071	1	1	0	-25.6289
0.284071	1	1	0	-25.628
0.285071	1	1	0	-25.6281
