Time	CellId	RNTI	BWPId	SINR(dB)
0.203286	1	1	0	8.03167
0.213143	1	1	0	-15.8849
0.218929	1	1	0	-15.8978
0.223929	1	1	0	-15.892
0.224214	1	1	0	-15.8858
0.228929	1	1	0	-15.8757
0.229929	1	1	0	-15.8952
0.233286	1	1	0	-15.8847
0.238929	1	1	0	-15.8833
0.243929	1	1	0	-15.8883
0.244286	1	1	0	-15.8856
0.249929	1	1	0	-15.8854
0.253286	1	1	0	-15.8845
0.254929	1	1	0	-15.89
0.258929	1	1	0	-15.8829
0.263929	1	1	0	-15.8873
0.264286	1	1	0	-15.8854
0.269929	1	1	0	-15.8849
0.273286	1	1	0	-15.8843
0.274929	1	1	0	-15.8899
0.278929	1	1	0	-15.8824
0.283929	1	1	0	-15.8866
0.284286	1	1	0	-15.8852
0.289929	1	1	0	-15.8845
0.293286	1	1	0	-15.8843
0.294929	1	1	0	-15.8895
0.298929	1	1	0	-15.8821
0.303929	1	1	0	-15.8861
