Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0268571	UE  PHY Txed	2	6	0	1	1	0	SRS
0.106857	UE  PHY Txed	10	6	0	1	1	0	SRS
0.186857	UE  PHY Txed	18	6	0	1	1	0	SRS
0.205929	UE  PHY Txed	20	5	0	1	0	0	DL_HARQ
0.206929	UE  PHY Txed	20	6	0	1	0	0	DL_CQI
0.215929	UE  PHY Txed	21	5	0	1	0	0	DL_HARQ
0.216929	UE  PHY Txed	21	6	0	1	0	0	DL_CQI
0.220929	UE  PHY Txed	22	0	0	1	0	0	DL_HARQ
0.221929	UE  PHY Txed	22	1	0	1	0	0	DL_CQI
0.225929	UE  PHY Txed	22	5	0	1	0	0	DL_HARQ
0.226929	UE  PHY Txed	22	6	0	1	0	0	DL_CQI
0.226929	UE  PHY Txed	22	6	0	1	0	0	DL_HARQ
0.227929	UE  PHY Txed	22	7	0	1	0	0	DL_CQI
0.230929	UE  PHY Txed	23	0	0	1	0	0	DL_HARQ
0.231929	UE  PHY Txed	23	1	0	1	0	0	DL_CQI
0.231929	UE  PHY Txed	23	1	0	1	0	0	DL_HARQ
0.232929	UE  PHY Txed	23	2	0	1	0	0	DL_CQI
0.235929	UE  PHY Txed	23	5	0	1	0	0	DL_HARQ
0.236929	UE  PHY Txed	23	6	0	1	0	0	DL_CQI
0.240929	UE  PHY Txed	24	0	0	1	0	0	DL_HARQ
0.241929	UE  PHY Txed	24	1	0	1	0	0	DL_CQI
0.245929	UE  PHY Txed	24	5	0	1	0	0	DL_HARQ
0.246929	UE  PHY Txed	24	6	0	1	0	0	DL_CQI
0.246929	UE  PHY Txed	24	6	0	1	0	0	DL_HARQ
0.247929	UE  PHY Txed	24	7	0	1	0	0	DL_CQI
0.251929	UE  PHY Txed	25	1	0	1	0	0	DL_HARQ
0.252929	UE  PHY Txed	25	2	0	1	0	0	DL_CQI
0.255929	UE  PHY Txed	25	5	0	1	0	0	DL_HARQ
0.256929	UE  PHY Txed	25	6	0	1	0	0	DL_CQI
0.256929	UE  PHY Txed	25	6	0	1	0	0	DL_HARQ
0.257929	UE  PHY Txed	25	7	0	1	0	0	DL_CQI
0.260929	UE  PHY Txed	26	0	0	1	0	0	DL_HARQ
0.261929	UE  PHY Txed	26	1	0	1	0	0	DL_CQI
0.265929	UE  PHY Txed	26	5	0	1	0	0	DL_HARQ
0.266857	UE  PHY Txed	26	6	0	1	1	0	SRS
0.266929	UE  PHY Txed	26	6	0	1	0	0	DL_CQI
0.266929	UE  PHY Txed	26	6	0	1	0	0	DL_HARQ
0.267929	UE  PHY Txed	26	7	0	1	0	0	DL_CQI
0.271929	UE  PHY Txed	27	1	0	1	0	0	DL_HARQ
0.272929	UE  PHY Txed	27	2	0	1	0	0	DL_CQI
0.275929	UE  PHY Txed	27	5	0	1	0	0	DL_HARQ
0.276929	UE  PHY Txed	27	6	0	1	0	0	DL_CQI
0.276929	UE  PHY Txed	27	6	0	1	0	0	DL_HARQ
0.277929	UE  PHY Txed	27	7	0	1	0	0	DL_CQI
0.280929	UE  PHY Txed	28	0	0	1	0	0	DL_HARQ
0.281929	UE  PHY Txed	28	1	0	1	0	0	DL_CQI
0.285929	UE  PHY Txed	28	5	0	1	0	0	DL_HARQ
0.286929	UE  PHY Txed	28	6	0	1	0	0	DL_CQI
0.286929	UE  PHY Txed	28	6	0	1	0	0	DL_HARQ
0.287929	UE  PHY Txed	28	7	0	1	0	0	DL_CQI
0.291929	UE  PHY Txed	29	1	0	1	0	0	DL_HARQ
0.292929	UE  PHY Txed	29	2	0	1	0	0	DL_CQI
0.295929	UE  PHY Txed	29	5	0	1	0	0	DL_HARQ
0.296929	UE  PHY Txed	29	6	0	1	0	0	DL_CQI
0.296929	UE  PHY Txed	29	6	0	1	0	0	DL_HARQ
0.297929	UE  PHY Txed	29	7	0	1	0	0	DL_CQI
0.300929	UE  PHY Txed	30	0	0	1	0	0	DL_HARQ
0.301929	UE  PHY Txed	30	1	0	1	0	0	DL_CQI
0.305929	UE  PHY Txed	30	5	0	1	0	0	DL_HARQ
0.306929	UE  PHY Txed	30	6	0	1	0	0	DL_CQI
0.346857	UE  PHY Txed	34	6	0	1	1	0	SRS
0.426857	UE  PHY Txed	42	6	0	1	1	0	SRS
0.506857	UE  PHY Txed	50	6	0	1	1	0	SRS
0.586857	UE  PHY Txed	58	6	0	1	1	0	SRS
0.666857	UE  PHY Txed	66	6	0	1	1	0	SRS
0.746857	UE  PHY Txed	74	6	0	1	1	0	SRS
0.826857	UE  PHY Txed	82	6	0	1	1	0	SRS
0.906857	UE  PHY Txed	90	6	0	1	1	0	SRS
0.986857	UE  PHY Txed	98	6	0	1	1	0	SRS
1.06686	UE  PHY Txed	106	6	0	1	1	0	SRS
1.14686	UE  PHY Txed	114	6	0	1	1	0	SRS
1.22686	UE  PHY Txed	122	6	0	1	1	0	SRS
1.30686	UE  PHY Txed	130	6	0	1	1	0	SRS
1.38686	UE  PHY Txed	138	6	0	1	1	0	SRS
1.46686	UE  PHY Txed	146	6	0	1	1	0	SRS
1.54686	UE  PHY Txed	154	6	0	1	1	0	SRS
1.62686	UE  PHY Txed	162	6	0	1	1	0	SRS
1.70686	UE  PHY Txed	170	6	0	1	1	0	SRS
1.78686	UE  PHY Txed	178	6	0	1	1	0	SRS
1.86686	UE  PHY Txed	186	6	0	1	1	0	SRS
1.94686	UE  PHY Txed	194	6	0	1	1	0	SRS
