Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	1	-201.825
0.0268571	1	0	1	-201.825
0.106857	1	0	1	-201.825
0.186857	1	0	1	-201.825
0.205929	1	0	1	-201.825
0.206929	1	0	1	-201.825
0.215929	1	0	1	-201.825
0.216929	1	0	1	-201.825
0.220929	1	0	1	-201.825
0.221929	1	0	1	-201.825
0.225929	1	0	1	-201.825
0.226929	1	0	1	-201.825
0.227929	1	0	1	-201.825
0.230929	1	0	1	-201.825
0.231929	1	0	1	-201.825
0.232929	1	0	1	-201.825
0.235929	1	0	1	-201.825
0.236929	1	0	1	-201.825
0.240929	1	0	1	-201.825
0.241929	1	0	1	-201.825
0.245929	1	0	1	-201.825
0.246929	1	0	1	-201.825
0.247929	1	0	1	-201.825
0.251929	1	0	1	-201.825
0.252929	1	0	1	-201.825
0.255929	1	0	1	-201.825
0.256929	1	0	1	-201.825
0.257929	1	0	1	-201.825
0.260929	1	0	1	-201.825
0.261929	1	0	1	-201.825
0.265929	1	0	1	-201.825
0.266857	1	0	1	-201.825
0.266929	1	0	1	-201.825
0.267929	1	0	1	-201.825
0.271929	1	0	1	-201.825
0.272929	1	0	1	-201.825
0.275929	1	0	1	-201.825
0.276929	1	0	1	-201.825
0.277929	1	0	1	-201.825
0.280929	1	0	1	-201.825
0.281929	1	0	1	-201.825
0.285929	1	0	1	-201.825
0.286929	1	0	1	-201.825
0.287929	1	0	1	-201.825
0.291929	1	0	1	-201.825
0.292929	1	0	1	-201.825
0.295929	1	0	1	-201.825
0.296929	1	0	1	-201.825
0.297929	1	0	1	-201.825
0.300929	1	0	1	-201.825
0.301929	1	0	1	-201.825
0.305929	1	0	1	-201.825
0.306929	1	0	1	-201.825
0.346857	1	0	1	-201.825
0.426857	1	0	1	-201.825
0.506857	1	0	1	-201.825
0.586857	1	0	1	-201.825
0.666857	1	0	1	-201.825
0.746857	1	0	1	-201.825
0.826857	1	0	1	-201.825
0.906857	1	0	1	-201.825
0.986857	1	0	1	-201.825
1.06686	1	0	1	-204.598
1.14686	1	0	1	-204.598
1.22686	1	0	1	-204.598
1.30686	1	0	1	-204.598
1.38686	1	0	1	-204.598
1.46686	1	0	1	-204.598
1.54686	1	0	1	-204.598
1.62686	1	0	1	-204.598
1.70686	1	0	1	-204.598
1.78686	1	0	1	-204.598
1.86686	1	0	1	-204.598
1.94686	1	0	1	-204.598
