Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	-40.7465
0.00507143	1	0	0	-37.9162
0.0100714	1	0	0	-37.9158
0.0150714	1	0	0	-37.9155
0.0200714	1	0	0	-37.9151
0.0240714	1	1	0	-37.9566
0.0250714	1	1	0	-37.9148
0.0300714	1	1	0	-37.9146
0.0350714	1	1	0	-37.9144
0.0400714	1	1	0	-37.9142
0.0450714	1	1	0	-37.914
0.0500714	1	1	0	-37.9139
0.0550714	1	1	0	-37.9138
0.0600714	1	1	0	-37.9137
0.0650714	1	1	0	-37.9136
0.0700714	1	1	0	-37.9135
0.0750714	1	1	0	-37.9135
0.0800714	1	1	0	-37.9135
0.0850714	1	1	0	-37.9135
0.0900714	1	1	0	-37.9135
0.0950714	1	1	0	-37.9135
0.100071	1	1	0	-37.9135
0.104071	1	1	0	-38.3579
0.105071	1	1	0	-38.8003
0.110071	1	1	0	-38.3928
0.115071	1	1	0	-38.6074
0.120071	1	1	0	-38.7763
0.125071	1	1	0	-38.3652
0.130071	1	1	0	-38.7812
0.135071	1	1	0	-38.7038
0.140071	1	1	0	-38.3222
0.145071	1	1	0	-39.0938
0.150071	1	1	0	-38.3149
0.155071	1	1	0	-38.6701
0.160071	1	1	0	-38.9463
0.165071	1	1	0	-38.1067
0.170071	1	1	0	-39.1789
0.175071	1	1	0	-38.3199
0.180071	1	1	0	-38.4919
0.184071	1	1	0	-38.2199
0.185071	1	1	0	-39.0217
0.190071	1	1	0	-38.0419
0.195071	1	1	0	-39.0111
0.200071	1	1	0	-38.4208
0.203071	1	1	0	-38.4745
0.205071	1	1	0	-38.33
0.208071	1	1	0	-38.2951
0.210071	1	1	0	-38.3406
0.213071	1	1	0	-38.3449
0.214071	1	1	0	-38.3626
0.215071	1	1	0	-38.3247
0.218071	1	1	0	-38.3767
0.219071	1	1	0	-38.3487
0.220071	1	1	0	-38.3122
0.223071	1	1	0	-38.3691
0.224071	1	1	0	-38.3231
0.225071	1	1	0	-38.3261
0.228071	1	1	0	-38.3356
0.229071	1	1	0	-38.317
0.230071	1	1	0	-38.3585
0.233071	1	1	0	-38.3103
0.234071	1	1	0	-38.3369
0.235071	1	1	0	-38.3769
0.238071	1	1	0	-38.3132
0.239071	1	1	0	-38.3581
0.240071	1	1	0	-38.3564
0.243071	1	1	0	-38.3317
0.244071	1	1	0	-38.3492
0.245071	1	1	0	-38.3063
0.248071	1	1	0	-38.3338
0.249071	1	1	0	-38.3054
0.250071	1	1	0	-38.2611
0.253071	1	1	0	-38.3018
0.254071	1	1	0	-38.2544
0.255071	1	1	0	-38.2476
0.258071	1	1	0	-38.2521
0.259071	1	1	0	-38.2295
0.260071	1	1	0	-38.2608
0.263071	1	1	0	-38.2191
0.264071	1	1	0	-38.2387
0.265071	1	1	0	-38.2719
0.268071	1	1	0	-38.2225
0.269071	1	1	0	-38.2597
0.270071	1	1	0	-38.2591
0.273071	1	1	0	-38.2494
0.274071	1	1	0	-38.2638
0.275071	1	1	0	-38.2312
0.278071	1	1	0	-38.2693
0.279071	1	1	0	-38.2464
0.280071	1	1	0	-38.2182
0.283071	1	1	0	-38.2651
0.284071	1	1	0	-38.2316
0.285071	1	1	0	-38.2403
0.288071	1	1	0	-38.2512
0.289071	1	1	0	-38.2462
0.290071	1	1	0	-38.2868
0.293071	1	1	0	-38.2569
0.294071	1	1	0	-38.2912
0.295071	1	1	0	-38.3247
0.298071	1	1	0	-38.2948
0.299071	1	1	0	-38.3382
0.300071	1	1	0	-38.3313
0.304071	1	1	0	-38.3558
0.305071	1	1	0	-38.3159
0.309071	1	1	0	-35.2308
0.310071	1	1	0	-35.2305
0.315071	1	1	0	-35.2369
