Time	CellId	RNTI	BWPId	SINR(dB)
0.203286	1	1	0	-21.0229
0.208929	1	1	0	-19.9064
0.213929	1	1	0	-19.7393
0.214286	1	1	0	-20.4662
0.218929	1	1	0	-19.5445
0.219929	1	1	0	-19.4422
0.223286	1	1	0	-20.4228
0.224929	1	1	0	-19.4661
0.228929	1	1	0	-19.3248
0.229929	1	1	0	-19.5528
0.233929	1	1	0	-19.3685
0.234286	1	1	0	-20.3987
0.238929	1	1	0	-19.4879
0.239929	1	1	0	-19.6578
0.243286	1	1	0	-20.3965
0.244929	1	1	0	-19.5708
0.248929	1	1	0	-19.6486
0.249929	1	1	0	-19.4195
0.253929	1	1	0	-19.5831
0.254286	1	1	0	-20.3676
0.258929	1	1	0	-19.4605
0.259929	1	1	0	-19.2631
0.263286	1	1	0	-20.3968
0.264929	1	1	0	-19.3644
0.268929	1	1	0	-19.3732
0.269929	1	1	0	-19.5635
0.273929	1	1	0	-19.4898
0.274286	1	1	0	-20.453
0.278929	1	1	0	-19.6787
0.279929	1	1	0	-19.9349
0.283286	1	1	0	-20.4593
0.284929	1	1	0	-19.9684
0.288929	1	1	0	-19.9816
0.289929	1	1	0	-19.8907
0.293929	1	1	0	-19.9817
0.294286	1	1	0	-20.4907
0.298929	1	1	0	-19.8731
0.299929	1	1	0	-19.6071
0.304929	1	1	0	-19.5072
0.309929	1	1	0	-19.377
