Time	CellId	RNTI	BWPId	SINR(dB)
0.203286	1	1	0	-101.023
0.208929	1	1	0	-99.9064
0.213929	1	1	0	-99.7393
0.214286	1	1	0	-100.466
0.218929	1	1	0	-99.5445
0.219929	1	1	0	-99.4422
0.223286	1	1	0	-100.423
0.224929	1	1	0	-99.4661
0.228929	1	1	0	-99.3248
0.229929	1	1	0	-99.5528
0.233929	1	1	0	-99.3685
0.234286	1	1	0	-100.399
0.238929	1	1	0	-99.4879
0.239929	1	1	0	-99.6578
0.243286	1	1	0	-100.397
0.244929	1	1	0	-99.5708
0.248929	1	1	0	-99.6486
0.249929	1	1	0	-99.4195
0.253929	1	1	0	-99.5831
0.254286	1	1	0	-100.368
0.258929	1	1	0	-99.4605
0.259929	1	1	0	-99.2631
0.263286	1	1	0	-100.397
0.264929	1	1	0	-99.3644
0.268929	1	1	0	-99.3732
0.269929	1	1	0	-99.5635
0.273929	1	1	0	-99.4898
0.274286	1	1	0	-100.453
0.278929	1	1	0	-99.6787
0.279929	1	1	0	-99.9349
0.283286	1	1	0	-100.459
0.284929	1	1	0	-99.9684
0.288929	1	1	0	-99.9816
0.289929	1	1	0	-99.8907
0.293929	1	1	0	-99.9817
0.294286	1	1	0	-100.491
0.298929	1	1	0	-99.8731
0.299929	1	1	0	-99.6071
0.304929	1	1	0	-99.5072
0.309929	1	1	0	-99.377
