Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	-41.1867
0.00507143	1	0	0	-38.6721
0.0100714	1	0	0	-38.6721
0.0150714	1	0	0	-38.6721
0.0200714	1	0	0	-38.6721
0.0240714	1	1	0	-38.6721
0.0250714	1	1	0	-38.6721
0.0300714	1	1	0	-38.6721
0.0350714	1	1	0	-38.6721
0.0400714	1	1	0	-38.6721
0.0450714	1	1	0	-38.6721
0.0500714	1	1	0	-38.6721
0.0550714	1	1	0	-38.6721
0.0600714	1	1	0	-38.6721
0.0650714	1	1	0	-38.6721
0.0700714	1	1	0	-38.6721
0.0750714	1	1	0	-38.6721
0.0800714	1	1	0	-38.6721
0.0850714	1	1	0	-38.6721
0.0900714	1	1	0	-38.6721
0.0950714	1	1	0	-38.6721
0.100071	1	1	0	-38.6721
0.104071	1	1	0	-39.447
0.105071	1	1	0	-39.6166
0.110071	1	1	0	-39.0578
0.115071	1	1	0	-39.5981
0.120071	1	1	0	-39.9345
0.125071	1	1	0	-39.1539
0.130071	1	1	0	-39.4669
0.135071	1	1	0	-39.1633
0.140071	1	1	0	-39.7697
0.145071	1	1	0	-39.7815
0.150071	1	1	0	-39.0174
0.155071	1	1	0	-39.5994
0.160071	1	1	0	-39.3506
0.165071	1	1	0	-39.6844
0.170071	1	1	0	-39.4839
0.175071	1	1	0	-39.0383
0.180071	1	1	0	-39.9159
0.184071	1	1	0	-39.2139
0.185071	1	1	0	-39.4291
0.190071	1	1	0	-39.4394
0.195071	1	1	0	-39.3071
0.200071	1	1	0	-39.2082
0.203071	1	1	0	-39.51
0.205071	1	1	0	-40.0024
0.208071	1	1	0	-40.0713
0.210071	1	1	0	-40.0076
0.213071	1	1	0	-40.0882
0.214071	1	1	0	-40.0483
0.215071	1	1	0	-40.0063
0.218071	1	1	0	-40.0855
0.219071	1	1	0	-40.038
0.220071	1	1	0	-40.0273
0.223071	1	1	0	-40.0946
0.224071	1	1	0	-40.011
0.225071	1	1	0	-40.0628
0.228071	1	1	0	-40.1146
0.229071	1	1	0	-39.9878
0.230071	1	1	0	-40.0787
0.233071	1	1	0	-40.1134
0.234071	1	1	0	-39.989
0.235071	1	1	0	-40.078
0.238071	1	1	0	-40.0895
0.239071	1	1	0	-39.9991
0.240071	1	1	0	-40.0918
0.243071	1	1	0	-40.0729
0.244071	1	1	0	-39.9953
0.245071	1	1	0	-40.1149
0.248071	1	1	0	-40.0697
0.249071	1	1	0	-39.9914
0.250071	1	1	0	-40.1145
0.253071	1	1	0	-40.0554
0.254071	1	1	0	-40.0132
0.255071	1	1	0	-40.0929
0.258071	1	1	0	-40.0238
0.259071	1	1	0	-40.046
0.260071	1	1	0	-40.0807
0.263071	1	1	0	-40.0004
0.264071	1	1	0	-40.0583
0.265071	1	1	0	-40.0796
0.268071	1	1	0	-39.9994
0.269071	1	1	0	-40.0612
0.270071	1	1	0	-40.0636
0.273071	1	1	0	-40.0006
0.274071	1	1	0	-40.0835
0.275071	1	1	0	-40.0307
0.278071	1	1	0	-39.9879
0.279071	1	1	0	-40.1111
0.280071	1	1	0	-40.0082
0.283071	1	1	0	-39.9819
0.284071	1	1	0	-40.1118
0.285071	1	1	0	-40.0062
0.288071	1	1	0	-40.0031
0.289071	1	1	0	-40.0961
0.290071	1	1	0	-40.0029
0.293071	1	1	0	-40.0303
0.294071	1	1	0	-40.0938
0.295071	1	1	0	-39.9861
0.298071	1	1	0	-40.0376
0.299071	1	1	0	-40.0966
0.300071	1	1	0	-39.9795
0.304071	1	1	0	-40.0779
0.305071	1	1	0	-39.9998
0.309071	1	1	0	-38.4146
0.310071	1	1	0	-38.5356
0.315071	1	1	0	-38.5382
0.320071	1	1	0	-38.0975
0.325071	1	1	0	-38.1204
0.330071	1	1	0	-38.4985
0.335071	1	1	0	-38.3843
0.340071	1	1	0	-38.0671
0.344071	1	1	0	-38.6041
0.345071	1	1	0	-38.2929
0.350071	1	1	0	-38.6322
0.355071	1	1	0	-38.3214
0.360071	1	1	0	-38.0012
0.365071	1	1	0	-38.2831
0.370071	1	1	0	-38.5431
0.375071	1	1	0	-38.2341
0.380071	1	1	0	-38.1095
0.385071	1	1	0	-38.4908
0.390071	1	1	0	-38.5533
0.395071	1	1	0	-38.1009
0.400071	1	1	0	-38.0507
0.405071	1	1	0	-38.4689
0.410071	1	1	0	-35.7444
0.415071	1	1	0	-36.5126
0.420071	1	1	0	-36.8356
0.424071	1	1	0	-36.1062
0.425071	1	1	0	-35.9121
0.430071	1	1	0	-35.9212
0.435071	1	1	0	-36.8361
0.440071	1	1	0	-36.4839
0.445071	1	1	0	-35.7259
0.450071	1	1	0	-36.2788
0.455071	1	1	0	-36.9099
0.460071	1	1	0	-36.0792
0.465071	1	1	0	-35.7851
0.470071	1	1	0	-36.676
0.475071	1	1	0	-36.6931
0.480071	1	1	0	-35.7962
0.485071	1	1	0	-36.0692
0.490071	1	1	0	-36.9226
0.495071	1	1	0	-36.3136
0.500071	1	1	0	-35.7324
0.504071	1	1	0	-36.248
0.505071	1	1	0	-36.4814
0.510071	1	1	0	-36.8813
0.515071	1	1	0	-35.801
0.520071	1	1	0	-35.7828
0.525071	1	1	0	-35.8046
0.530071	1	1	0	-35.7778
0.535071	1	1	0	-35.8076
0.540071	1	1	0	-35.7776
0.545071	1	1	0	-35.8085
0.550071	1	1	0	-35.7766
0.555071	1	1	0	-35.8062
0.560071	1	1	0	-35.7804
0.565071	1	1	0	-35.8039
0.570071	1	1	0	-35.7834
0.575071	1	1	0	-35.7977
0.580071	1	1	0	-35.7896
0.584071	1	1	0	-35.8074
0.585071	1	1	0	-35.7937
0.590071	1	1	0	-35.7947
0.595071	1	1	0	-35.7866
0.600071	1	1	0	-35.8002
0.605071	1	1	0	-35.7831
0.610071	1	1	0	-35.8049
0.615071	1	1	0	-35.7782
0.620071	1	1	0	-37.7242
0.625071	1	1	0	-37.7242
0.630071	1	1	0	-37.7242
0.635071	1	1	0	-37.7242
0.640071	1	1	0	-37.7242
0.645071	1	1	0	-37.7242
0.650071	1	1	0	-37.7242
0.655071	1	1	0	-37.7242
0.660071	1	1	0	-37.7242
0.664071	1	1	0	-37.7242
0.665071	1	1	0	-37.7242
