Time	CellId	RNTI	BWPId	SINR(dB)
0.203286	1	1	0	-20.6502
0.208929	1	1	0	-22.3482
0.213929	1	1	0	-22.6989
0.214286	1	1	0	-20.9306
0.218929	1	1	0	-22.9347
0.219929	1	1	0	-21.0516
0.223286	1	1	0	-20.8438
0.224929	1	1	0	-20.8429
0.228929	1	1	0	-22.9439
0.229929	1	1	0	-20.7131
0.233929	1	1	0	-22.7545
0.234286	1	1	0	-20.9548
0.238929	1	1	0	-22.436
0.239929	1	1	0	-20.7391
0.243286	1	1	0	-20.8933
0.244929	1	1	0	-20.902
0.248929	1	1	0	-21.6695
0.249929	1	1	0	-21.1396
0.253929	1	1	0	-21.3315
0.254286	1	1	0	-20.8998
0.258929	1	1	0	-21.0446
0.259929	1	1	0	-21.8049
0.263286	1	1	0	-20.9507
0.264929	1	1	0	-22.2057
0.268929	1	1	0	-20.7029
0.269929	1	1	0	-22.5615
0.273929	1	1	0	-20.6806
0.274286	1	1	0	-20.8456
0.278929	1	1	0	-20.7559
0.279929	1	1	0	-22.991
0.283286	1	1	0	-20.9309
0.284929	1	1	0	-23.0133
0.288929	1	1	0	-21.1515
0.289929	1	1	0	-22.847
0.293929	1	1	0	-21.4768
0.294286	1	1	0	-20.8704
0.298929	1	1	0	-21.8606
0.299929	1	1	0	-22.1912
0.304929	1	1	0	-21.8166
0.309929	1	1	0	-20.6444
