Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.203286	DL	20	3	0	1	3	1	0	1	1390	0	1	0	-20.6502	0	1	1
0.208929	DL	20	8	0	1	12	1	0	1	1390	0	1	1	-16.3276	0	1	1
0.213929	DL	21	3	0	1	12	1	0	1	1390	0	1	2	-16.6783	0	1	1
0.214286	DL	21	4	0	1	3	1	0	1	1390	0	1	0	-20.9306	0	1	1
0.218929	DL	21	8	0	1	12	1	0	1	1390	0	1	3	-16.9141	0	1	0.999994
0.219929	DL	21	9	0	1	12	1	0	1	1390	0	1	1	-15.031	0	1	1
0.223286	DL	22	3	0	1	3	1	0	1	1390	0	1	0	-20.8438	0	1	1
0.224929	DL	22	4	0	1	12	1	0	1	1390	0	1	2	-14.8223	0	1	1
0.228929	DL	22	8	0	1	12	1	0	1	1390	0	1	1	-16.9233	0	1	1
0.229929	DL	22	9	0	1	12	1	0	1	1390	0	1	3	-14.6925	0	0	0
0.233929	DL	23	3	0	1	12	1	0	1	1390	0	1	2	-16.7339	0	1	1
0.234286	DL	23	4	0	1	3	1	0	1	1390	0	1	0	-20.9548	0	1	1
0.238929	DL	23	8	0	1	12	1	0	1	1390	0	1	3	-16.4154	0	1	0.999998
0.239929	DL	23	9	0	1	12	1	0	1	1390	0	1	1	-14.7185	0	1	1
0.243286	DL	24	3	0	1	3	1	0	1	1390	0	1	0	-20.8933	0	1	1
0.244929	DL	24	4	0	1	12	1	0	1	1390	0	1	2	-14.8814	0	1	1
0.248929	DL	24	8	0	1	12	1	0	1	1390	0	1	1	-15.6489	0	1	1
0.249929	DL	24	9	0	1	12	1	0	1	1390	0	1	3	-15.119	0	0	0
0.253929	DL	25	3	0	1	12	1	0	1	1390	0	1	2	-15.3109	0	1	1
0.254286	DL	25	4	0	1	3	1	0	1	1390	0	1	0	-20.8998	0	1	1
0.258929	DL	25	8	0	1	12	1	0	1	1390	0	1	3	-15.024	0	0	3.09293e-11
0.259929	DL	25	9	0	1	12	1	0	1	1390	0	1	1	-15.7843	0	1	1
0.263286	DL	26	3	0	1	3	1	0	1	1390	0	1	0	-20.9507	0	1	1
0.264929	DL	26	4	0	1	12	1	0	1	1390	0	1	2	-16.1851	0	1	1
0.268929	DL	26	8	0	1	12	1	0	1	1390	0	1	1	-14.6823	0	1	1
0.269929	DL	26	9	0	1	12	1	0	1	1390	0	1	3	-16.5409	0	1	0.560453
0.273929	DL	27	3	0	1	12	1	0	1	1390	0	1	2	-14.66	0	1	1
0.274286	DL	27	4	0	1	3	1	0	1	1390	0	1	0	-20.8456	0	1	1
0.278929	DL	27	8	0	1	12	1	0	1	1390	0	1	3	-14.7353	0	0	0
0.279929	DL	27	9	0	1	12	1	0	1	1390	0	1	1	-16.9704	0	1	1
0.283286	DL	28	3	0	1	3	1	0	1	1390	0	1	0	-20.9309	0	1	1
0.284929	DL	28	4	0	1	12	1	0	1	1390	0	1	2	-16.9927	0	1	1
0.288929	DL	28	8	0	1	12	1	0	1	1390	0	1	1	-15.1309	0	1	1
0.289929	DL	28	9	0	1	12	1	0	1	1390	0	1	3	-16.8264	0	1	1
0.293929	DL	29	3	0	1	12	1	0	1	1390	0	1	2	-15.4562	0	1	1
0.294286	DL	29	4	0	1	3	1	0	1	1390	0	1	0	-20.8704	0	1	1
0.298929	DL	29	8	0	1	12	1	0	1	1390	0	1	3	-15.84	0	0	2.75358e-07
0.299929	DL	29	9	0	1	12	1	0	1	1390	0	1	1	-16.1706	0	1	1
0.304929	DL	30	4	0	1	12	1	0	1	1390	0	1	2	-15.796	0	1	1
0.309929	DL	30	9	0	1	12	1	0	1	1390	0	1	3	-14.6238	0	0	4.41202e-08
