Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.203286	DL	20	3	0	1	3	1	0	1	1390	0	1	0	13.2738	11	0	0
0.213143	DL	21	3	0	1	1	1	0	1	9547	20	1	0	14.2218	11	0	0
0.223143	DL	22	3	0	1	1	1	0	1	9547	20	1	0	14.3333	11	0	0
0.233143	DL	23	3	0	1	1	1	0	1	9547	20	1	0	14.2417	11	0	0
0.243143	DL	24	3	0	1	1	1	0	1	9547	20	1	0	14.1632	11	0	0
0.253143	DL	25	3	0	1	1	1	0	1	9547	20	1	0	14.1586	11	0	0
0.263143	DL	26	3	0	1	1	1	0	1	9547	20	1	0	14.0915	11	0	0
0.273143	DL	27	3	0	1	1	1	0	1	9547	20	1	0	14.093	11	0	0
0.283143	DL	28	3	0	1	1	1	0	1	9547	20	1	0	14.1258	11	0	0
0.293143	DL	29	3	0	1	1	1	0	1	9547	20	1	0	14.1108	11	0	0
