Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.0269286	gNB PHY Rxed	2	6	0	1	0	0	SRS
0.106929	gNB PHY Rxed	10	6	0	1	0	0	SRS
0.186929	gNB PHY Rxed	18	6	0	1	0	0	SRS
0.206	gNB PHY Rxed	20	5	0	1	1	0	DL_HARQ
0.207	gNB PHY Rxed	20	6	0	1	1	0	DL_CQI
0.216	gNB PHY Rxed	21	5	0	1	1	0	DL_HARQ
0.217	gNB PHY Rxed	21	6	0	1	1	0	DL_CQI
0.226	gNB PHY Rxed	22	5	0	1	1	0	DL_HARQ
0.227	gNB PHY Rxed	22	6	0	1	1	0	DL_CQI
0.236	gNB PHY Rxed	23	5	0	1	1	0	DL_HARQ
0.237	gNB PHY Rxed	23	6	0	1	1	0	DL_CQI
0.246	gNB PHY Rxed	24	5	0	1	1	0	DL_HARQ
0.247	gNB PHY Rxed	24	6	0	1	1	0	DL_CQI
0.256	gNB PHY Rxed	25	5	0	1	1	0	DL_HARQ
0.257	gNB PHY Rxed	25	6	0	1	1	0	DL_CQI
0.266	gNB PHY Rxed	26	5	0	1	1	0	DL_HARQ
0.266929	gNB PHY Rxed	26	6	0	1	0	0	SRS
0.267	gNB PHY Rxed	26	6	0	1	1	0	DL_CQI
0.276	gNB PHY Rxed	27	5	0	1	1	0	DL_HARQ
0.277	gNB PHY Rxed	27	6	0	1	1	0	DL_CQI
0.286	gNB PHY Rxed	28	5	0	1	1	0	DL_HARQ
0.287	gNB PHY Rxed	28	6	0	1	1	0	DL_CQI
0.296	gNB PHY Rxed	29	5	0	1	1	0	DL_HARQ
0.297	gNB PHY Rxed	29	6	0	1	1	0	DL_CQI
0.346929	gNB PHY Rxed	34	6	0	1	0	0	SRS
0.426929	gNB PHY Rxed	42	6	0	1	0	0	SRS
0.506929	gNB PHY Rxed	50	6	0	1	0	0	SRS
0.586929	gNB PHY Rxed	58	6	0	1	0	0	SRS
0.666929	gNB PHY Rxed	66	6	0	1	0	0	SRS
0.746929	gNB PHY Rxed	74	6	0	1	0	0	SRS
0.826929	gNB PHY Rxed	82	6	0	1	0	0	SRS
0.906929	gNB PHY Rxed	90	6	0	1	0	0	SRS
0.986929	gNB PHY Rxed	98	6	0	1	0	0	SRS
1.06693	gNB PHY Rxed	106	6	0	1	0	0	SRS
1.14693	gNB PHY Rxed	114	6	0	1	0	0	SRS
1.22693	gNB PHY Rxed	122	6	0	1	0	0	SRS
1.30693	gNB PHY Rxed	130	6	0	1	0	0	SRS
1.38693	gNB PHY Rxed	138	6	0	1	0	0	SRS
1.46693	gNB PHY Rxed	146	6	0	1	0	0	SRS
1.54693	gNB PHY Rxed	154	6	0	1	0	0	SRS
1.62693	gNB PHY Rxed	162	6	0	1	0	0	SRS
1.70693	gNB PHY Rxed	170	6	0	1	0	0	SRS
1.78693	gNB PHY Rxed	178	6	0	1	0	0	SRS
1.86693	gNB PHY Rxed	186	6	0	1	0	0	SRS
1.94693	gNB PHY Rxed	194	6	0	1	0	0	SRS
