Time	CellId	RNTI	BWPId	SINR(dB)
0.203286	1	1	0	-46.9898
0.208929	1	1	0	-47.2214
0.213929	1	1	0	-47.4868
0.214286	1	1	0	-46.3338
0.218929	1	1	0	-47.7326
0.219929	1	1	0	-47.1054
0.223286	1	1	0	-46.1671
0.224929	1	1	0	-46.8795
0.228929	1	1	0	-48.0327
0.229929	1	1	0	-46.6881
0.233929	1	1	0	-48.0665
0.234286	1	1	0	-46.3088
0.238929	1	1	0	-47.9981
0.239929	1	1	0	-46.48
0.243286	1	1	0	-46.288
0.244929	1	1	0	-46.4873
0.248929	1	1	0	-47.6022
0.249929	1	1	0	-46.5574
0.253929	1	1	0	-47.3529
0.254286	1	1	0	-46.1858
0.258929	1	1	0	-47.1019
0.259929	1	1	0	-46.8762
0.263286	1	1	0	-46.341
0.264929	1	1	0	-47.1198
0.268929	1	1	0	-46.6718
0.269929	1	1	0	-47.3786
0.273929	1	1	0	-46.5435
0.274286	1	1	0	-46.1443
0.278929	1	1	0	-46.4853
0.279929	1	1	0	-47.8419
0.283286	1	1	0	-46.2458
0.284929	1	1	0	-48.0069
0.288929	1	1	0	-46.5582
0.289929	1	1	0	-48.0731
0.293929	1	1	0	-46.7014
0.294286	1	1	0	-46.2442
0.298929	1	1	0	-46.9079
0.299929	1	1	0	-47.8929
0.304929	1	1	0	-47.6951
0.309929	1	1	0	-46.472
