Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.203286	DL	20	3	0	1	3	1	0	1	1390	0	1	0	-46.9898	0	1	1
0.208929	DL	20	8	0	1	12	1	0	1	1390	0	1	1	-41.2008	0	1	1
0.213929	DL	21	3	0	1	12	1	0	1	1390	0	1	2	-41.4662	0	1	1
0.214286	DL	21	4	0	1	3	1	0	1	1390	0	1	0	-46.3338	0	1	1
0.218929	DL	21	8	0	1	12	1	0	1	1390	0	1	3	-41.712	0	1	1
0.219929	DL	21	9	0	1	12	1	0	1	1390	0	1	1	-41.0848	0	1	1
0.223286	DL	22	3	0	1	3	1	0	1	1390	0	1	0	-46.1671	0	1	1
0.224929	DL	22	4	0	1	12	1	0	1	1390	0	1	2	-40.8589	0	1	1
0.228929	DL	22	8	0	1	12	1	0	1	1390	0	1	1	-42.0121	0	1	1
0.229929	DL	22	9	0	1	12	1	0	1	1390	0	1	3	-40.6675	0	1	1
0.233929	DL	23	3	0	1	12	1	0	1	1390	0	1	2	-42.0459	0	1	1
0.234286	DL	23	4	0	1	3	1	0	1	1390	0	1	0	-46.3088	0	1	1
0.238929	DL	23	8	0	1	12	1	0	1	1390	0	1	3	-41.9775	0	1	1
0.239929	DL	23	9	0	1	12	1	0	1	1390	0	1	1	-40.4594	0	1	1
0.243286	DL	24	3	0	1	3	1	0	1	1390	0	1	0	-46.288	0	1	1
0.244929	DL	24	4	0	1	12	1	0	1	1390	0	1	2	-40.4667	0	1	1
0.248929	DL	24	8	0	1	12	1	0	1	1390	0	1	1	-41.5816	0	1	1
0.249929	DL	24	9	0	1	12	1	0	1	1390	0	1	3	-40.5368	0	1	1
0.253929	DL	25	3	0	1	12	1	0	1	1390	0	1	2	-41.3323	0	1	1
0.254286	DL	25	4	0	1	3	1	0	1	1390	0	1	0	-46.1858	0	1	1
0.258929	DL	25	8	0	1	12	1	0	1	1390	0	1	3	-41.0813	0	1	1
0.259929	DL	25	9	0	1	12	1	0	1	1390	0	1	1	-40.8556	0	1	1
0.263286	DL	26	3	0	1	3	1	0	1	1390	0	1	0	-46.341	0	1	1
0.264929	DL	26	4	0	1	12	1	0	1	1390	0	1	2	-41.0992	0	1	1
0.268929	DL	26	8	0	1	12	1	0	1	1390	0	1	1	-40.6512	0	1	1
0.269929	DL	26	9	0	1	12	1	0	1	1390	0	1	3	-41.358	0	1	1
0.273929	DL	27	3	0	1	12	1	0	1	1390	0	1	2	-40.5229	0	1	1
0.274286	DL	27	4	0	1	3	1	0	1	1390	0	1	0	-46.1443	0	1	1
0.278929	DL	27	8	0	1	12	1	0	1	1390	0	1	3	-40.4647	0	1	1
0.279929	DL	27	9	0	1	12	1	0	1	1390	0	1	1	-41.8213	0	1	1
0.283286	DL	28	3	0	1	3	1	0	1	1390	0	1	0	-46.2458	0	1	1
0.284929	DL	28	4	0	1	12	1	0	1	1390	0	1	2	-41.9863	0	1	1
0.288929	DL	28	8	0	1	12	1	0	1	1390	0	1	1	-40.5376	0	1	1
0.289929	DL	28	9	0	1	12	1	0	1	1390	0	1	3	-42.0525	0	1	1
0.293929	DL	29	3	0	1	12	1	0	1	1390	0	1	2	-40.6808	0	1	1
0.294286	DL	29	4	0	1	3	1	0	1	1390	0	1	0	-46.2442	0	1	1
0.298929	DL	29	8	0	1	12	1	0	1	1390	0	1	3	-40.8873	0	1	1
0.299929	DL	29	9	0	1	12	1	0	1	1390	0	1	1	-41.8723	0	1	1
0.304929	DL	30	4	0	1	12	1	0	1	1390	0	1	2	-41.6745	0	1	1
0.309929	DL	30	9	0	1	12	1	0	1	1390	0	1	3	-40.4514	0	1	1
