Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	-40.3279
0.00507143	1	0	0	-37.2808
0.0100714	1	0	0	-37.2805
0.0150714	1	0	0	-37.2803
0.0200714	1	0	0	-37.28
0.0240714	1	1	0	-37.3092
0.0250714	1	1	0	-37.2798
0.0300714	1	1	0	-37.2796
0.0350714	1	1	0	-37.2795
0.0400714	1	1	0	-37.2793
0.0450714	1	1	0	-37.2792
0.0500714	1	1	0	-37.2791
0.0550714	1	1	0	-37.279
0.0600714	1	1	0	-37.2789
0.0650714	1	1	0	-37.2789
0.0700714	1	1	0	-37.2788
0.0750714	1	1	0	-37.2788
0.0800714	1	1	0	-37.2788
0.0850714	1	1	0	-37.2788
0.0900714	1	1	0	-37.2788
0.0950714	1	1	0	-37.2788
0.100071	1	1	0	-37.2788
0.104071	1	1	0	-37.7131
0.105071	1	1	0	-38.1213
0.110071	1	1	0	-37.7435
0.115071	1	1	0	-37.943
0.120071	1	1	0	-38.0905
0.125071	1	1	0	-37.7162
0.130071	1	1	0	-38.0986
0.135071	1	1	0	-38.0155
0.140071	1	1	0	-37.6835
0.145071	1	1	0	-38.3665
0.150071	1	1	0	-37.6707
0.155071	1	1	0	-37.9963
0.160071	1	1	0	-38.2333
0.165071	1	1	0	-37.4904
0.170071	1	1	0	-38.4442
0.175071	1	1	0	-37.6822
0.180071	1	1	0	-37.8384
0.184071	1	1	0	-37.5948
0.185071	1	1	0	-38.3103
0.190071	1	1	0	-37.4353
0.195071	1	1	0	-38.3019
0.200071	1	1	0	-37.7806
0.203071	1	1	0	-37.823
0.205071	1	1	0	-37.5872
0.208071	1	1	0	-37.542
0.210071	1	1	0	-37.6007
0.213071	1	1	0	-37.6014
0.214071	1	1	0	-37.6253
0.215071	1	1	0	-37.5806
0.218071	1	1	0	-37.6408
0.219071	1	1	0	-37.6087
0.220071	1	1	0	-37.5636
0.223071	1	1	0	-37.6324
0.224071	1	1	0	-37.5769
0.225071	1	1	0	-37.5794
0.228071	1	1	0	-37.592
0.229071	1	1	0	-37.5691
0.230071	1	1	0	-37.6192
0.233071	1	1	0	-37.5615
0.234071	1	1	0	-37.5941
0.235071	1	1	0	-37.6429
0.238071	1	1	0	-37.5663
0.239071	1	1	0	-37.6217
0.240071	1	1	0	-37.6192
0.243071	1	1	0	-37.5911
0.244071	1	1	0	-37.6125
0.245071	1	1	0	-37.5589
0.248071	1	1	0	-37.5958
0.249071	1	1	0	-37.5597
0.250071	1	1	0	-37.505
0.253071	1	1	0	-37.5576
0.254071	1	1	0	-37.4978
0.255071	1	1	0	-37.4906
0.258071	1	1	0	-37.4966
0.259071	1	1	0	-37.4685
0.260071	1	1	0	-37.5097
0.263071	1	1	0	-37.4562
0.264071	1	1	0	-37.482
0.265071	1	1	0	-37.5258
0.268071	1	1	0	-37.4611
0.269071	1	1	0	-37.5103
0.270071	1	1	0	-37.5106
0.273071	1	1	0	-37.496
0.274071	1	1	0	-37.5165
0.275071	1	1	0	-37.4743
0.278071	1	1	0	-37.5219
0.279071	1	1	0	-37.4936
0.280071	1	1	0	-37.4549
0.283071	1	1	0	-37.5162
0.284071	1	1	0	-37.4717
0.285071	1	1	0	-37.4791
0.288071	1	1	0	-37.496
0.289071	1	1	0	-37.4857
0.290071	1	1	0	-37.535
0.293071	1	1	0	-37.4987
0.294071	1	1	0	-37.5384
0.295071	1	1	0	-37.5819
0.298071	1	1	0	-37.5417
0.299071	1	1	0	-37.5956
0.300071	1	1	0	-37.5901
0.304071	1	1	0	-37.6177
0.305071	1	1	0	-37.5701
0.309071	1	1	0	-34.6049
0.310071	1	1	0	-34.6001
0.315071	1	1	0	-34.6195
0.320071	1	1	0	-34.6143
0.325071	1	1	0	-34.5899
0.330071	1	1	0	-34.5866
0.335071	1	1	0	-34.5995
0.340071	1	1	0	-34.5983
0.344071	1	1	0	-34.6128
0.345071	1	1	0	-34.5958
0.350071	1	1	0	-34.6122
0.355071	1	1	0	-34.6197
0.360071	1	1	0	-34.5982
0.365071	1	1	0	-34.5829
0.370071	1	1	0	-34.5945
0.375071	1	1	0	-34.6027
0.380071	1	1	0	-34.5968
0.385071	1	1	0	-34.604
0.390071	1	1	0	-34.6191
0.395071	1	1	0	-34.6082
0.400071	1	1	0	-34.5848
0.405071	1	1	0	-34.5871
0.410071	1	1	0	-39.4607
0.415071	1	1	0	-39.3914
0.420071	1	1	0	-39.5193
0.424071	1	1	0	-39.805
0.425071	1	1	0	-39.7129
0.430071	1	1	0	-39.7955
0.435071	1	1	0	-39.6972
0.440071	1	1	0	-39.4951
0.445071	1	1	0	-39.391
0.450071	1	1	0	-39.4807
0.455071	1	1	0	-39.6707
0.460071	1	1	0	-39.8028
0.465071	1	1	0	-39.7373
0.470071	1	1	0	-39.5249
0.475071	1	1	0	-39.3907
0.480071	1	1	0	-39.4456
0.485071	1	1	0	-39.6393
0.490071	1	1	0	-39.8099
0.495071	1	1	0	-39.7635
0.500071	1	1	0	-39.5495
0.504071	1	1	0	-39.4301
0.505071	1	1	0	-39.3945
0.510071	1	1	0	-39.4215
0.515071	1	1	0	-37.7568
0.520071	1	1	0	-37.5848
0.525071	1	1	0	-37.974
0.530071	1	1	0	-38.3183
0.535071	1	1	0	-38.0166
0.540071	1	1	0	-37.5986
0.545071	1	1	0	-37.7227
0.550071	1	1	0	-38.2036
0.555071	1	1	0	-38.2441
0.560071	1	1	0	-37.7716
0.565071	1	1	0	-37.5807
0.570071	1	1	0	-37.9593
0.575071	1	1	0	-38.3172
0.580071	1	1	0	-38.0286
0.584071	1	1	0	-38.0798
0.585071	1	1	0	-37.6028
0.590071	1	1	0	-37.7152
0.595071	1	1	0	-38.1973
0.600071	1	1	0	-38.2484
0.605071	1	1	0	-37.7767
0.610071	1	1	0	-37.5797
0.615071	1	1	0	-37.9561
0.620071	1	1	0	-37.4298
0.625071	1	1	0	-37.4298
0.630071	1	1	0	-37.4298
0.635071	1	1	0	-37.4298
0.640071	1	1	0	-37.4298
0.645071	1	1	0	-37.4298
0.650071	1	1	0	-37.4298
0.655071	1	1	0	-37.4298
0.660071	1	1	0	-37.4298
0.664071	1	1	0	-37.4298
0.665071	1	1	0	-37.4298
0.670071	1	1	0	-37.4298
0.675071	1	1	0	-37.4298
0.680071	1	1	0	-37.4298
