Time	CellId	RNTI	BWPId	SINR(dB)
0.203286	1	1	0	-20.2802
0.208929	1	1	0	-19.198
0.213929	1	1	0	-19.0144
0.214286	1	1	0	-19.7287
0.218929	1	1	0	-18.7958
0.219929	1	1	0	-18.6714
0.223286	1	1	0	-19.6778
0.224929	1	1	0	-18.6913
0.228929	1	1	0	-18.5361
0.229929	1	1	0	-18.786
0.233929	1	1	0	-18.5786
0.234286	1	1	0	-19.6528
0.238929	1	1	0	-18.7114
0.239929	1	1	0	-18.9137
0.243286	1	1	0	-19.6514
0.244929	1	1	0	-18.8187
0.248929	1	1	0	-18.9018
0.249929	1	1	0	-18.646
0.253929	1	1	0	-18.8291
0.254286	1	1	0	-19.6109
0.258929	1	1	0	-18.6881
0.259929	1	1	0	-18.46
0.263286	1	1	0	-19.6437
0.264929	1	1	0	-18.5716
0.268929	1	1	0	-18.5841
0.269929	1	1	0	-18.7964
0.273929	1	1	0	-18.7154
0.274286	1	1	0	-19.7133
0.278929	1	1	0	-18.9295
0.279929	1	1	0	-19.2208
0.283286	1	1	0	-19.7192
0.284929	1	1	0	-19.2613
0.288929	1	1	0	-19.2749
0.289929	1	1	0	-19.1771
0.293929	1	1	0	-19.2787
0.294286	1	1	0	-19.7562
0.298929	1	1	0	-19.1613
0.299929	1	1	0	-18.8638
0.304929	1	1	0	-18.749
0.309929	1	1	0	-18.8696
