Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.203286	DL	20	3	0	1	3	1	0	1	1390	0	1	0	-20.2802	0	1	1
0.208929	DL	20	8	0	1	12	1	0	1	1390	0	1	1	-13.1774	0	1	1
0.213929	DL	21	3	0	1	12	1	0	1	1390	0	1	2	-12.9938	0	1	1
0.214286	DL	21	4	0	1	3	1	0	1	1390	0	1	0	-19.7287	0	1	1
0.218929	DL	21	8	0	1	12	1	0	1	1390	0	1	3	-12.7752	0	0	0
0.219929	DL	21	9	0	1	12	1	0	1	1390	0	1	1	-12.6508	0	1	1
0.223286	DL	22	3	0	1	3	1	0	1	1390	0	1	0	-19.6778	0	1	1
0.224929	DL	22	4	0	1	12	1	0	1	1390	0	1	2	-12.6707	0	1	1
0.228929	DL	22	8	0	1	12	1	0	1	1390	0	1	1	-12.5155	0	1	1
0.229929	DL	22	9	0	1	12	1	0	1	1390	0	1	3	-12.7654	0	0	0
0.233929	DL	23	3	0	1	12	1	0	1	1390	0	1	2	-12.558	0	1	1
0.234286	DL	23	4	0	1	3	1	0	1	1390	0	1	0	-19.6528	0	1	1
0.238929	DL	23	8	0	1	12	1	0	1	1390	0	1	3	-12.6908	0	0	0
0.239929	DL	23	9	0	1	12	1	0	1	1390	0	1	1	-12.8931	0	1	1
0.243286	DL	24	3	0	1	3	1	0	1	1390	0	1	0	-19.6514	0	1	1
0.244929	DL	24	4	0	1	12	1	0	1	1390	0	1	2	-12.7981	0	1	1
0.248929	DL	24	8	0	1	12	1	0	1	1390	0	1	1	-12.8812	0	1	1
0.249929	DL	24	9	0	1	12	1	0	1	1390	0	1	3	-12.6254	0	0	0
0.253929	DL	25	3	0	1	12	1	0	1	1390	0	1	2	-12.8085	0	1	1
0.254286	DL	25	4	0	1	3	1	0	1	1390	0	1	0	-19.6109	0	1	1
0.258929	DL	25	8	0	1	12	1	0	1	1390	0	1	3	-12.6675	0	0	0
0.259929	DL	25	9	0	1	12	1	0	1	1390	0	1	1	-12.4394	0	1	1
0.263286	DL	26	3	0	1	3	1	0	1	1390	0	1	0	-19.6437	0	1	1
0.264929	DL	26	4	0	1	12	1	0	1	1390	0	1	2	-12.551	0	1	1
0.268929	DL	26	8	0	1	12	1	0	1	1390	0	1	1	-12.5635	0	1	1
0.269929	DL	26	9	0	1	12	1	0	1	1390	0	1	3	-12.7758	0	0	0
0.273929	DL	27	3	0	1	12	1	0	1	1390	0	1	2	-12.6948	0	1	1
0.274286	DL	27	4	0	1	3	1	0	1	1390	0	1	0	-19.7133	0	1	1
0.278929	DL	27	8	0	1	12	1	0	1	1390	0	1	3	-12.9089	0	0	0
0.279929	DL	27	9	0	1	12	1	0	1	1390	0	1	1	-13.2002	0	1	1
0.283286	DL	28	3	0	1	3	1	0	1	1390	0	1	0	-19.7192	0	1	1
0.284929	DL	28	4	0	1	12	1	0	1	1390	0	1	2	-13.2407	0	1	1
0.288929	DL	28	8	0	1	12	1	0	1	1390	0	1	1	-13.2543	0	1	1
0.289929	DL	28	9	0	1	12	1	0	1	1390	0	1	3	-13.1565	0	0	0
0.293929	DL	29	3	0	1	12	1	0	1	1390	0	1	2	-13.2581	0	1	1
0.294286	DL	29	4	0	1	3	1	0	1	1390	0	1	0	-19.7562	0	1	1
0.298929	DL	29	8	0	1	12	1	0	1	1390	0	1	3	-13.1407	0	0	0
0.299929	DL	29	9	0	1	12	1	0	1	1390	0	1	1	-12.8432	0	1	1
0.304929	DL	30	4	0	1	12	1	0	1	1390	0	1	2	-12.7284	0	1	1
0.309929	DL	30	9	0	1	12	1	0	1	1390	0	1	3	-12.849	0	0	0
