Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	-40.3174
0.00507143	1	0	0	-37.4411
0.0100714	1	0	0	-37.4407
0.0150714	1	0	0	-37.4403
0.0200714	1	0	0	-37.44
0.0240714	1	1	0	-37.4803
0.0250714	1	1	0	-37.4397
0.0300714	1	1	0	-37.4395
0.0350714	1	1	0	-37.4393
0.0400714	1	1	0	-37.4391
0.0450714	1	1	0	-37.4389
0.0500714	1	1	0	-37.4388
0.0550714	1	1	0	-37.4386
0.0600714	1	1	0	-37.4386
0.0650714	1	1	0	-37.4385
0.0700714	1	1	0	-37.4384
0.0750714	1	1	0	-37.4384
0.0800714	1	1	0	-37.4384
0.0850714	1	1	0	-37.4384
0.0900714	1	1	0	-37.4384
0.0950714	1	1	0	-37.4384
0.100071	1	1	0	-37.4384
0.104071	1	1	0	-37.7978
0.105071	1	1	0	-38.2406
0.110071	1	1	0	-37.8324
0.115071	1	1	0	-38.0483
0.120071	1	1	0	-38.2139
0.125071	1	1	0	-37.8055
0.130071	1	1	0	-38.2216
0.135071	1	1	0	-38.1387
0.140071	1	1	0	-37.7668
0.145071	1	1	0	-38.5262
0.150071	1	1	0	-37.7568
0.155071	1	1	0	-38.1109
0.160071	1	1	0	-38.379
0.165071	1	1	0	-37.5539
0.170071	1	1	0	-38.6099
0.175071	1	1	0	-37.7634
0.180071	1	1	0	-37.9335
0.184071	1	1	0	-37.6651
0.185071	1	1	0	-38.4557
0.190071	1	1	0	-37.4893
0.195071	1	1	0	-38.4447
0.200071	1	1	0	-37.8646
0.203071	1	1	0	-37.9147
0.205071	1	1	0	-37.8
0.208071	1	1	0	-37.7642
0.210071	1	1	0	-37.8117
0.213071	1	1	0	-37.8146
0.214071	1	1	0	-37.8335
0.215071	1	1	0	-37.7961
0.218071	1	1	0	-37.8475
0.219071	1	1	0	-37.8202
0.220071	1	1	0	-37.7832
0.223071	1	1	0	-37.8406
0.224071	1	1	0	-37.7944
0.225071	1	1	0	-37.797
0.228071	1	1	0	-37.807
0.229071	1	1	0	-37.7881
0.230071	1	1	0	-37.8299
0.233071	1	1	0	-37.7813
0.234071	1	1	0	-37.8084
0.235071	1	1	0	-37.8488
0.238071	1	1	0	-37.7845
0.239071	1	1	0	-37.8302
0.240071	1	1	0	-37.8282
0.243071	1	1	0	-37.8037
0.244071	1	1	0	-37.8214
0.245071	1	1	0	-37.7771
0.248071	1	1	0	-37.8061
0.249071	1	1	0	-37.7766
0.250071	1	1	0	-37.731
0.253071	1	1	0	-37.7734
0.254071	1	1	0	-37.7242
0.255071	1	1	0	-37.7174
0.258071	1	1	0	-37.7221
0.259071	1	1	0	-37.6986
0.260071	1	1	0	-37.7315
0.263071	1	1	0	-37.6879
0.264071	1	1	0	-37.7084
0.265071	1	1	0	-37.7436
0.268071	1	1	0	-37.6911
0.269071	1	1	0	-37.7306
0.270071	1	1	0	-37.7307
0.273071	1	1	0	-37.7192
0.274071	1	1	0	-37.7353
0.275071	1	1	0	-37.7014
0.278071	1	1	0	-37.7403
0.279071	1	1	0	-37.7173
0.280071	1	1	0	-37.6869
0.283071	1	1	0	-37.7364
0.284071	1	1	0	-37.701
0.285071	1	1	0	-37.7083
0.288071	1	1	0	-37.7215
0.289071	1	1	0	-37.7146
0.290071	1	1	0	-37.7555
0.293071	1	1	0	-37.7261
0.294071	1	1	0	-37.7598
0.295071	1	1	0	-37.7949
0.298071	1	1	0	-37.7637
0.299071	1	1	0	-37.808
0.300071	1	1	0	-37.8025
0.304071	1	1	0	-37.8268
0.305071	1	1	0	-37.7872
