Time	CellId	RNTI	BWPId	SINR(dB)
0.203286	1	1	0	-20.452
0.208929	1	1	0	-19.3818
0.213929	1	1	0	-19.2125
0.214286	1	1	0	-19.9387
0.218929	1	1	0	-19.0132
0.219929	1	1	0	-18.9041
0.223286	1	1	0	-19.8946
0.224929	1	1	0	-18.9273
0.228929	1	1	0	-18.7845
0.229929	1	1	0	-19.0163
0.233929	1	1	0	-18.8275
0.234286	1	1	0	-19.8707
0.238929	1	1	0	-18.9496
0.239929	1	1	0	-19.1287
0.243286	1	1	0	-19.8686
0.244929	1	1	0	-19.0411
0.248929	1	1	0	-19.1183
0.249929	1	1	0	-18.8854
0.253929	1	1	0	-19.0521
0.254286	1	1	0	-19.8375
0.258929	1	1	0	-18.9252
0.259929	1	1	0	-18.7187
0.263286	1	1	0	-19.8666
0.264929	1	1	0	-18.8194
0.268929	1	1	0	-18.8297
0.269929	1	1	0	-19.0218
0.273929	1	1	0	-18.9468
0.274286	1	1	0	-19.9252
0.278929	1	1	0	-19.1396
0.279929	1	1	0	-19.4049
0.283286	1	1	0	-19.9316
0.284929	1	1	0	-19.4416
0.288929	1	1	0	-19.4534
0.289929	1	1	0	-19.3639
0.293929	1	1	0	-19.4565
0.294286	1	1	0	-19.9633
0.298929	1	1	0	-19.3478
0.299929	1	1	0	-19.0743
0.304929	1	1	0	-18.9711
0.309929	1	1	0	-19.0589
