Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.203286	DL	20	3	0	1	3	1	0	1	1390	0	1	0	-20.452	0	1	1
0.208929	DL	20	8	0	1	12	1	0	1	1390	0	1	1	-13.3612	0	1	1
0.213929	DL	21	3	0	1	12	1	0	1	1390	0	1	2	-13.1919	0	1	1
0.214286	DL	21	4	0	1	3	1	0	1	1390	0	1	0	-19.9387	0	1	1
0.218929	DL	21	8	0	1	12	1	0	1	1390	0	1	3	-12.9926	0	0	0
0.219929	DL	21	9	0	1	12	1	0	1	1390	0	1	1	-12.8835	0	1	1
0.223286	DL	22	3	0	1	3	1	0	1	1390	0	1	0	-19.8946	0	1	1
0.224929	DL	22	4	0	1	12	1	0	1	1390	0	1	2	-12.9067	0	1	1
0.228929	DL	22	8	0	1	12	1	0	1	1390	0	1	1	-12.7639	0	1	1
0.229929	DL	22	9	0	1	12	1	0	1	1390	0	1	3	-12.9957	0	0	0
0.233929	DL	23	3	0	1	12	1	0	1	1390	0	1	2	-12.8069	0	1	1
0.234286	DL	23	4	0	1	3	1	0	1	1390	0	1	0	-19.8707	0	1	1
0.238929	DL	23	8	0	1	12	1	0	1	1390	0	1	3	-12.929	0	0	0
0.239929	DL	23	9	0	1	12	1	0	1	1390	0	1	1	-13.1081	0	1	1
0.243286	DL	24	3	0	1	3	1	0	1	1390	0	1	0	-19.8686	0	1	1
0.244929	DL	24	4	0	1	12	1	0	1	1390	0	1	2	-13.0205	0	1	1
0.248929	DL	24	8	0	1	12	1	0	1	1390	0	1	1	-13.0977	0	1	1
0.249929	DL	24	9	0	1	12	1	0	1	1390	0	1	3	-12.8648	0	0	0
0.253929	DL	25	3	0	1	12	1	0	1	1390	0	1	2	-13.0315	0	1	1
0.254286	DL	25	4	0	1	3	1	0	1	1390	0	1	0	-19.8375	0	1	1
0.258929	DL	25	8	0	1	12	1	0	1	1390	0	1	3	-12.9046	0	0	0
0.259929	DL	25	9	0	1	12	1	0	1	1390	0	1	1	-12.6981	0	1	1
0.263286	DL	26	3	0	1	3	1	0	1	1390	0	1	0	-19.8666	0	1	1
0.264929	DL	26	4	0	1	12	1	0	1	1390	0	1	2	-12.7988	0	1	1
0.268929	DL	26	8	0	1	12	1	0	1	1390	0	1	1	-12.8091	0	1	1
0.269929	DL	26	9	0	1	12	1	0	1	1390	0	1	3	-13.0012	0	0	0
0.273929	DL	27	3	0	1	12	1	0	1	1390	0	1	2	-12.9262	0	1	1
0.274286	DL	27	4	0	1	3	1	0	1	1390	0	1	0	-19.9252	0	1	1
0.278929	DL	27	8	0	1	12	1	0	1	1390	0	1	3	-13.119	0	0	0
0.279929	DL	27	9	0	1	12	1	0	1	1390	0	1	1	-13.3843	0	1	1
0.283286	DL	28	3	0	1	3	1	0	1	1390	0	1	0	-19.9316	0	1	1
0.284929	DL	28	4	0	1	12	1	0	1	1390	0	1	2	-13.421	0	1	1
0.288929	DL	28	8	0	1	12	1	0	1	1390	0	1	1	-13.4328	0	1	1
0.289929	DL	28	9	0	1	12	1	0	1	1390	0	1	3	-13.3433	0	0	0
0.293929	DL	29	3	0	1	12	1	0	1	1390	0	1	2	-13.4359	0	1	1
0.294286	DL	29	4	0	1	3	1	0	1	1390	0	1	0	-19.9633	0	1	1
0.298929	DL	29	8	0	1	12	1	0	1	1390	0	1	3	-13.3272	0	0	0
0.299929	DL	29	9	0	1	12	1	0	1	1390	0	1	1	-13.0537	0	1	1
0.304929	DL	30	4	0	1	12	1	0	1	1390	0	1	2	-12.9505	0	1	1
0.309929	DL	30	9	0	1	12	1	0	1	1390	0	1	3	-13.0383	0	0	0
