Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	-39.8927
0.00507143	1	0	0	-37.3316
0.0100714	1	0	0	-37.3316
0.0150714	1	0	0	-37.3316
0.0200714	1	0	0	-37.3316
0.0240714	1	1	0	-37.3316
0.0250714	1	1	0	-37.3316
0.0300714	1	1	0	-37.3316
0.0350714	1	1	0	-37.3316
0.0400714	1	1	0	-37.3316
0.0450714	1	1	0	-37.3316
0.0500714	1	1	0	-37.3316
0.0550714	1	1	0	-37.3316
0.0600714	1	1	0	-37.3316
0.0650714	1	1	0	-37.3316
0.0700714	1	1	0	-37.3316
0.0750714	1	1	0	-37.3316
0.0800714	1	1	0	-37.3316
0.0850714	1	1	0	-37.3316
0.0900714	1	1	0	-37.3316
0.0950714	1	1	0	-37.3316
0.100071	1	1	0	-37.3316
0.104071	1	1	0	-38.6831
0.105071	1	1	0	-38.6203
0.110071	1	1	0	-38.3821
0.115071	1	1	0	-38.4221
0.120071	1	1	0	-38.5747
0.125071	1	1	0	-38.2171
0.130071	1	1	0	-38.6727
0.135071	1	1	0	-38.3655
0.140071	1	1	0	-38.3919
0.145071	1	1	0	-38.5549
0.150071	1	1	0	-38.2546
0.155071	1	1	0	-38.6969
0.160071	1	1	0	-38.3275
0.165071	1	1	0	-38.3844
0.170071	1	1	0	-38.5709
0.175071	1	1	0	-38.2764
0.180071	1	1	0	-38.6751
0.184071	1	1	0	-38.2107
0.185071	1	1	0	-38.2946
0.190071	1	1	0	-38.418
0.195071	1	1	0	-38.5992
0.200071	1	1	0	-38.2628
0.203071	1	1	0	-38.5012
0.205071	1	1	0	-37.7932
0.208071	1	1	0	-37.9093
0.210071	1	1	0	-37.8218
0.213071	1	1	0	-37.9263
0.214071	1	1	0	-37.7598
0.215071	1	1	0	-37.8404
0.218071	1	1	0	-37.9179
0.219071	1	1	0	-37.7532
0.220071	1	1	0	-37.8667
0.223071	1	1	0	-37.9037
0.224071	1	1	0	-37.7381
0.225071	1	1	0	-37.9013
0.228071	1	1	0	-37.8976
0.229071	1	1	0	-37.7274
0.230071	1	1	0	-37.921
0.233071	1	1	0	-37.8818
0.234071	1	1	0	-37.7416
