Time	CellId	RNTI	BWPId	SINR(dB)
0.203286	1	1	0	-19.4255
0.208929	1	1	0	-19.6636
0.213929	1	1	0	-19.9112
0.214286	1	1	0	-18.7854
0.218929	1	1	0	-20.1368
0.219929	1	1	0	-19.5678
0.223286	1	1	0	-18.6329
0.224929	1	1	0	-19.3617
0.228929	1	1	0	-20.4051
0.229929	1	1	0	-19.1821
0.233929	1	1	0	-20.4419
0.234286	1	1	0	-18.7584
0.238929	1	1	0	-20.3834
0.239929	1	1	0	-18.9848
0.243286	1	1	0	-18.7443
0.244929	1	1	0	-18.9937
0.248929	1	1	0	-20.0202
0.249929	1	1	0	-19.0568
0.253929	1	1	0	-19.7959
0.254286	1	1	0	-18.6454
0.258929	1	1	0	-19.5675
0.259929	1	1	0	-19.3473
0.263286	1	1	0	-18.7891
0.264929	1	1	0	-19.5755
0.268929	1	1	0	-19.1637
0.269929	1	1	0	-19.8123
0.273929	1	1	0	-19.0456
0.274286	1	1	0	-18.6109
0.278929	1	1	0	-18.9931
0.279929	1	1	0	-20.2315
0.283286	1	1	0	-18.6994
0.284929	1	1	0	-20.387
0.288929	1	1	0	-19.0536
0.289929	1	1	0	-20.4482
0.293929	1	1	0	-19.1872
0.294286	1	1	0	-18.7047
0.298929	1	1	0	-19.3809
0.299929	1	1	0	-20.2835
0.304929	1	1	0	-20.1092
0.309929	1	1	0	-18.7115
