Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.203286	DL	20	3	0	1	3	1	0	1	1390	0	1	0	-19.4255	0	1	1
0.208929	DL	20	8	0	1	12	1	0	1	1390	0	1	1	-13.643	0	1	1
0.213929	DL	21	3	0	1	12	1	0	1	1390	0	1	2	-13.8906	0	1	1
0.214286	DL	21	4	0	1	3	1	0	1	1390	0	1	0	-18.7854	0	1	1
0.218929	DL	21	8	0	1	12	1	0	1	1390	0	1	3	-14.1162	0	0	0
0.219929	DL	21	9	0	1	12	1	0	1	1390	0	1	1	-13.5472	0	1	1
0.223286	DL	22	3	0	1	3	1	0	1	1390	0	1	0	-18.6329	0	1	1
0.224929	DL	22	4	0	1	12	1	0	1	1390	0	1	2	-13.3411	0	1	1
0.228929	DL	22	8	0	1	12	1	0	1	1390	0	1	1	-14.3845	0	1	1
0.229929	DL	22	9	0	1	12	1	0	1	1390	0	1	3	-13.1615	0	0	0
0.233929	DL	23	3	0	1	12	1	0	1	1390	0	1	2	-14.4213	0	1	1
0.234286	DL	23	4	0	1	3	1	0	1	1390	0	1	0	-18.7584	0	1	1
0.238929	DL	23	8	0	1	12	1	0	1	1390	0	1	3	-14.3628	0	0	0
0.239929	DL	23	9	0	1	12	1	0	1	1390	0	1	1	-12.9642	0	1	1
0.243286	DL	24	3	0	1	3	1	0	1	1390	0	1	0	-18.7443	0	1	1
0.244929	DL	24	4	0	1	12	1	0	1	1390	0	1	2	-12.9731	0	1	1
0.248929	DL	24	8	0	1	12	1	0	1	1390	0	1	1	-13.9996	0	1	1
0.249929	DL	24	9	0	1	12	1	0	1	1390	0	1	3	-13.0362	0	0	0
0.253929	DL	25	3	0	1	12	1	0	1	1390	0	1	2	-13.7753	0	1	1
0.254286	DL	25	4	0	1	3	1	0	1	1390	0	1	0	-18.6454	0	1	1
0.258929	DL	25	8	0	1	12	1	0	1	1390	0	1	3	-13.5469	0	0	0
0.259929	DL	25	9	0	1	12	1	0	1	1390	0	1	1	-13.3267	0	1	1
0.263286	DL	26	3	0	1	3	1	0	1	1390	0	1	0	-18.7891	0	1	1
0.264929	DL	26	4	0	1	12	1	0	1	1390	0	1	2	-13.5549	0	1	1
0.268929	DL	26	8	0	1	12	1	0	1	1390	0	1	1	-13.1431	0	1	1
0.269929	DL	26	9	0	1	12	1	0	1	1390	0	1	3	-13.7917	0	0	0
0.273929	DL	27	3	0	1	12	1	0	1	1390	0	1	2	-13.025	0	1	1
0.274286	DL	27	4	0	1	3	1	0	1	1390	0	1	0	-18.6109	0	1	1
0.278929	DL	27	8	0	1	12	1	0	1	1390	0	1	3	-12.9725	0	0	0
0.279929	DL	27	9	0	1	12	1	0	1	1390	0	1	1	-14.2109	0	1	1
0.283286	DL	28	3	0	1	3	1	0	1	1390	0	1	0	-18.6994	0	1	1
0.284929	DL	28	4	0	1	12	1	0	1	1390	0	1	2	-14.3664	0	1	1
0.288929	DL	28	8	0	1	12	1	0	1	1390	0	1	1	-13.033	0	1	1
0.289929	DL	28	9	0	1	12	1	0	1	1390	0	1	3	-14.4276	0	0	0
0.293929	DL	29	3	0	1	12	1	0	1	1390	0	1	2	-13.1666	0	1	1
0.294286	DL	29	4	0	1	3	1	0	1	1390	0	1	0	-18.7047	0	1	1
0.298929	DL	29	8	0	1	12	1	0	1	1390	0	1	3	-13.3603	0	0	0
0.299929	DL	29	9	0	1	12	1	0	1	1390	0	1	1	-14.2629	0	1	1
0.304929	DL	30	4	0	1	12	1	0	1	1390	0	1	2	-14.0886	0	1	1
0.309929	DL	30	9	0	1	12	1	0	1	1390	0	1	3	-12.6909	0	0	0
