Time	CellId	RNTI	BWPId	SINR(dB)
0.203143	1	10	0	41.9912
0.203214	1	9	0	44.6057
0.203286	1	8	0	45.6302
0.203357	1	7	0	46.198
0.203429	1	6	0	41.8236
0.2035	1	5	0	47.1999
0.203571	1	4	0	45.3473
0.203643	1	3	0	47.2062
0.203786	1	2	0	49.6854
0.203929	1	1	0	45.1302
0.204143	1	10	0	41.9949
0.204214	1	9	0	44.4691
0.204286	1	8	0	45.6139
0.204357	1	7	0	46.3104
0.204429	1	6	0	41.8235
0.2045	1	5	0	47.2437
0.204643	1	4	0	45.2842
0.204786	1	3	0	47.2049
0.204857	1	2	0	49.6364
0.204929	1	1	0	44.945
0.205143	1	10	0	41.9943
0.205214	1	9	0	44.4015
0.205286	1	8	0	45.605
0.205357	1	7	0	46.3485
0.205429	1	6	0	41.8234
0.2055	1	5	0	47.0924
0.213143	1	10	0	41.991
0.213214	1	9	0	44.651
0.213286	1	8	0	45.6391
0.213357	1	7	0	46.3278
0.213429	1	6	0	41.8233
0.2135	1	5	0	47.0978
0.213571	1	4	0	45.2911
0.213643	1	3	0	47.2055
0.213714	1	2	0	49.6725
0.213786	1	1	0	45.056
0.223143	1	10	0	41.9924
0.223214	1	9	0	44.5302
0.223286	1	8	0	45.6158
0.223357	1	7	0	46.285
0.223429	1	6	0	41.8249
0.2235	1	5	0	47.21
0.223571	1	4	0	45.2743
0.223643	1	3	0	47.2048
0.223714	1	2	0	49.6352
0.223786	1	1	0	44.7908
0.233143	1	10	0	41.9945
0.233214	1	9	0	44.4072
0.233286	1	8	0	45.5928
0.233357	1	7	0	46.2646
0.233429	1	6	0	41.8268
0.2335	1	5	0	47.1096
0.233571	1	4	0	45.3152
0.233643	1	3	0	47.2062
0.233714	1	2	0	49.6861
0.233786	1	1	0	45.0355
0.243143	1	10	0	41.9964
0.243214	1	9	0	44.4573
0.243286	1	8	0	45.601
0.243357	1	7	0	46.34
0.243429	1	6	0	41.8272
0.2435	1	5	0	47.1813
0.243571	1	4	0	45.3684
0.243643	1	3	0	47.2057
0.243714	1	2	0	49.672
0.243786	1	1	0	45.0837
0.253143	1	10	0	41.9967
0.253214	1	9	0	44.6085
0.253286	1	8	0	45.6319
0.253357	1	7	0	46.2037
0.253429	1	6	0	41.8256
0.2535	1	5	0	47.1576
0.253571	1	4	0	45.3765
0.253643	1	3	0	47.2048
0.253714	1	2	0	49.6364
0.253786	1	1	0	44.805
0.263143	1	10	0	41.9943
0.263214	1	9	0	44.6495
0.263286	1	8	0	45.6387
0.263357	1	7	0	46.3605
0.263429	1	6	0	41.8237
0.2635	1	5	0	47.134
0.263571	1	4	0	45.3305
0.263643	1	3	0	47.2061
0.263714	1	2	0	49.6686
0.263786	1	1	0	44.9869
0.273143	1	10	0	41.9909
0.273214	1	9	0	44.5245
0.273286	1	8	0	45.6126
0.273357	1	7	0	46.2362
0.273429	1	6	0	41.8233
0.2735	1	5	0	47.2013
0.273571	1	4	0	45.2798
0.273643	1	3	0	47.2058
0.273714	1	2	0	49.6898
0.273786	1	1	0	45.1099
0.283143	1	10	0	41.9902
0.283214	1	9	0	44.4053
0.283286	1	8	0	45.5922
0.283357	1	7	0	46.292
0.283429	1	6	0	41.8248
0.2835	1	5	0	47.1084
0.283571	1	4	0	45.2804
0.283643	1	3	0	47.2047
0.283714	1	2	0	49.6363
0.283786	1	1	0	44.8345
0.293143	1	10	0	41.9928
0.293214	1	9	0	44.464
0.293286	1	8	0	45.6037
0.293357	1	7	0	46.3136
0.293429	1	6	0	41.8267
0.2935	1	5	0	47.2056
0.293571	1	4	0	45.3315
0.293643	1	3	0	47.206
0.293714	1	2	0	49.6682
0.293786	1	1	0	44.9288
