% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.201	1	0	0	10	20	3	0	1	1	15	1	0	0	461
0.201	1	0	0	9	20	3	0	2	1	15	1	0	0	461
0.201	1	0	0	8	20	3	0	3	1	15	1	0	0	461
0.201	1	0	0	7	20	3	0	4	1	15	1	0	0	461
0.201	1	0	0	6	20	3	0	5	1	15	1	0	0	461
0.201	1	0	0	5	20	3	0	6	1	15	1	0	0	461
0.201	1	0	0	4	20	3	0	7	1	15	1	0	0	461
0.201	1	0	0	3	20	3	0	8	1	15	1	0	0	461
0.201	1	0	0	2	20	3	0	9	2	15	1	0	0	926
0.201	1	0	0	1	20	3	0	11	2	15	1	0	0	926
0.202	1	0	0	10	20	4	0	1	1	14	1	0	0	461
0.202	1	0	0	9	20	4	0	2	1	14	1	0	0	461
0.202	1	0	0	8	20	4	0	3	1	14	1	0	0	461
0.202	1	0	0	7	20	4	0	4	1	14	1	0	0	461
0.202	1	0	0	6	20	4	0	5	1	14	1	0	0	461
0.202	1	0	0	5	20	4	0	6	1	14	1	0	0	461
0.202	1	0	0	4	20	4	0	7	2	14	1	0	0	926
0.202	1	0	0	3	20	4	0	9	2	14	1	0	0	926
0.202	1	0	0	2	20	4	0	11	1	14	1	0	0	461
0.202	1	0	0	1	20	4	0	12	1	14	1	0	0	461
0.203	1	0	0	10	20	5	0	1	1	13	1	0	0	461
0.203	1	0	0	9	20	5	0	2	1	13	1	0	0	461
0.203	1	0	0	8	20	5	0	3	1	13	1	0	0	461
0.203	1	0	0	7	20	5	0	4	1	13	1	0	0	461
0.203	1	0	0	6	20	5	0	5	1	13	1	0	0	461
0.203	1	0	0	5	20	5	0	6	1	13	1	0	0	461
0.211	1	0	0	10	21	3	0	1	1	15	1	0	28	15970
0.211	1	0	0	9	21	3	0	2	1	15	1	0	28	15970
0.211	1	0	0	8	21	3	0	3	1	15	1	0	28	15970
0.211	1	0	0	7	21	3	0	4	1	15	1	0	28	15970
0.211	1	0	0	6	21	3	0	5	1	15	1	0	28	15970
0.211	1	0	0	5	21	3	0	6	1	15	1	0	28	15970
0.211	1	0	0	4	21	3	0	7	1	15	1	0	28	15970
0.211	1	0	0	3	21	3	0	8	1	15	1	0	28	15970
0.211	1	0	0	2	21	3	0	9	1	15	1	0	28	15970
0.211	1	0	0	1	21	3	0	10	1	15	1	0	28	15970
0.221	1	0	0	10	22	3	0	1	1	15	1	0	28	15970
0.221	1	0	0	9	22	3	0	2	1	15	1	0	28	15970
0.221	1	0	0	8	22	3	0	3	1	15	1	0	28	15970
0.221	1	0	0	7	22	3	0	4	1	15	1	0	28	15970
0.221	1	0	0	6	22	3	0	5	1	15	1	0	28	15970
0.221	1	0	0	5	22	3	0	6	1	15	1	0	28	15970
0.221	1	0	0	4	22	3	0	7	1	15	1	0	28	15970
0.221	1	0	0	3	22	3	0	8	1	15	1	0	28	15970
0.221	1	0	0	2	22	3	0	9	1	15	1	0	28	15970
0.221	1	0	0	1	22	3	0	10	1	15	1	0	28	15970
0.231	1	0	0	10	23	3	0	1	1	15	1	0	28	15970
0.231	1	0	0	9	23	3	0	2	1	15	1	0	28	15970
0.231	1	0	0	8	23	3	0	3	1	15	1	0	28	15970
0.231	1	0	0	7	23	3	0	4	1	15	1	0	28	15970
0.231	1	0	0	6	23	3	0	5	1	15	1	0	28	15970
0.231	1	0	0	5	23	3	0	6	1	15	1	0	28	15970
0.231	1	0	0	4	23	3	0	7	1	15	1	0	28	15970
