time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.204743	1	4	3	1054	0.00472839
0.204886	1	3	3	1054	0.00487212
0.204957	1	2	3	1054	0.00494443
0.205029	1	1	3	1054	0.00501673
0.205243	1	10	3	1054	0.00522315
0.205314	1	9	3	1054	0.00529545
0.205386	1	8	3	1054	0.00536775
0.205457	1	7	3	1054	0.00544006
0.205529	1	6	3	1054	0.00551236
0.2056	1	5	3	1054	0.00558466
0.213243	1	10	3	1054	0.00322315
0.213314	1	9	3	1054	0.00329545
0.213386	1	8	3	1054	0.00336775
0.213457	1	7	3	1054	0.00344006
0.213529	1	6	3	1054	0.00351236
0.2136	1	5	3	1054	0.00358466
0.213671	1	4	3	1054	0.00365696
0.213743	1	3	3	1054	0.00372927
0.213814	1	2	3	1054	0.00380157
0.213886	1	1	3	1054	0.00387387
0.223243	1	10	3	1054	0.00322315
0.223314	1	9	3	1054	0.00329545
0.223386	1	8	3	1054	0.00336775
0.223457	1	7	3	1054	0.00344006
0.223529	1	6	3	1054	0.00351236
0.2236	1	5	3	1054	0.00358466
0.223671	1	4	3	1054	0.00365696
0.223743	1	3	3	1054	0.00372927
0.223814	1	2	3	1054	0.00380157
0.223886	1	1	3	1054	0.00387387
0.233243	1	10	3	1054	0.00322315
0.233314	1	9	3	1054	0.00329545
0.233386	1	8	3	1054	0.00336775
0.233457	1	7	3	1054	0.00344006
0.233529	1	6	3	1054	0.00351236
0.2336	1	5	3	1054	0.00358466
0.233671	1	4	3	1054	0.00365696
0.233743	1	3	3	1054	0.00372927
0.233814	1	2	3	1054	0.00380157
0.233886	1	1	3	1054	0.00387387
0.243243	1	10	3	1054	0.00322315
0.243314	1	9	3	1054	0.00329545
0.243386	1	8	3	1054	0.00336775
0.243457	1	7	3	1054	0.00344006
0.243529	1	6	3	1054	0.00351236
0.2436	1	5	3	1054	0.00358466
0.243671	1	4	3	1054	0.00365696
0.243743	1	3	3	1054	0.00372927
0.243814	1	2	3	1054	0.00380157
0.243886	1	1	3	1054	0.00387387
0.253243	1	10	3	1054	0.00322315
0.253314	1	9	3	1054	0.00329545
0.253386	1	8	3	1054	0.00336775
0.253457	1	7	3	1054	0.00344006
0.253529	1	6	3	1054	0.00351236
0.2536	1	5	3	1054	0.00358466
0.253671	1	4	3	1054	0.00365696
0.253743	1	3	3	1054	0.00372927
0.253814	1	2	3	1054	0.00380157
0.253886	1	1	3	1054	0.00387387
0.263243	1	10	3	1054	0.00322315
0.263314	1	9	3	1054	0.00329545
0.263386	1	8	3	1054	0.00336775
0.263457	1	7	3	1054	0.00344006
0.263529	1	6	3	1054	0.00351236
0.2636	1	5	3	1054	0.00358466
0.263671	1	4	3	1054	0.00365696
0.263743	1	3	3	1054	0.00372927
0.263814	1	2	3	1054	0.00380157
0.263886	1	1	3	1054	0.00387387
0.273243	1	10	3	1054	0.00322315
0.273314	1	9	3	1054	0.00329545
0.273386	1	8	3	1054	0.00336775
0.273457	1	7	3	1054	0.00344006
0.273529	1	6	3	1054	0.00351236
0.2736	1	5	3	1054	0.00358466
0.273671	1	4	3	1054	0.00365696
0.273743	1	3	3	1054	0.00372927
0.273814	1	2	3	1054	0.00380157
0.273886	1	1	3	1054	0.00387387
0.283243	1	10	3	1054	0.00322315
0.283314	1	9	3	1054	0.00329545
0.283386	1	8	3	1054	0.00336775
0.283457	1	7	3	1054	0.00344006
0.283529	1	6	3	1054	0.00351236
0.2836	1	5	3	1054	0.00358466
0.283671	1	4	3	1054	0.00365696
0.283743	1	3	3	1054	0.00372927
0.283814	1	2	3	1054	0.00380157
0.283886	1	1	3	1054	0.00387387
0.293243	1	10	3	1054	0.00322315
0.293314	1	9	3	1054	0.00329545
0.293386	1	8	3	1054	0.00336775
0.293457	1	7	3	1054	0.00344006
0.293529	1	6	3	1054	0.00351236
0.2936	1	5	3	1054	0.00358466
0.293671	1	4	3	1054	0.00365696
0.293743	1	3	3	1054	0.00372927
0.293814	1	2	3	1054	0.00380157
0.293886	1	1	3	1054	0.00387387
