time(s)	cellId	rnti	lcid	packetSize
0.200012	1	1	3	1054
0.200013	1	2	3	1054
0.200014	1	3	3	1054
0.200014	1	4	3	1054
0.200015	1	5	3	1054
0.200016	1	6	3	1054
0.200017	1	7	3	1054
0.200018	1	8	3	1054
0.200019	1	9	3	1054
0.20002	1	10	3	1054
0.210012	1	1	3	1054
0.210013	1	2	3	1054
0.210014	1	3	3	1054
0.210014	1	4	3	1054
0.210015	1	5	3	1054
0.210016	1	6	3	1054
0.210017	1	7	3	1054
0.210018	1	8	3	1054
0.210019	1	9	3	1054
0.21002	1	10	3	1054
0.220012	1	1	3	1054
0.220013	1	2	3	1054
0.220014	1	3	3	1054
0.220014	1	4	3	1054
0.220015	1	5	3	1054
0.220016	1	6	3	1054
0.220017	1	7	3	1054
0.220018	1	8	3	1054
0.220019	1	9	3	1054
0.22002	1	10	3	1054
0.230012	1	1	3	1054
0.230013	1	2	3	1054
0.230014	1	3	3	1054
0.230014	1	4	3	1054
0.230015	1	5	3	1054
0.230016	1	6	3	1054
0.230017	1	7	3	1054
0.230018	1	8	3	1054
0.230019	1	9	3	1054
0.23002	1	10	3	1054
0.240012	1	1	3	1054
0.240013	1	2	3	1054
0.240014	1	3	3	1054
0.240014	1	4	3	1054
0.240015	1	5	3	1054
0.240016	1	6	3	1054
0.240017	1	7	3	1054
0.240018	1	8	3	1054
0.240019	1	9	3	1054
0.24002	1	10	3	1054
0.250012	1	1	3	1054
0.250013	1	2	3	1054
0.250014	1	3	3	1054
0.250014	1	4	3	1054
0.250015	1	5	3	1054
0.250016	1	6	3	1054
0.250017	1	7	3	1054
0.250018	1	8	3	1054
0.250019	1	9	3	1054
0.25002	1	10	3	1054
0.260012	1	1	3	1054
0.260013	1	2	3	1054
0.260014	1	3	3	1054
0.260014	1	4	3	1054
0.260015	1	5	3	1054
0.260016	1	6	3	1054
0.260017	1	7	3	1054
0.260018	1	8	3	1054
0.260019	1	9	3	1054
0.26002	1	10	3	1054
0.270012	1	1	3	1054
0.270013	1	2	3	1054
0.270014	1	3	3	1054
0.270014	1	4	3	1054
0.270015	1	5	3	1054
0.270016	1	6	3	1054
0.270017	1	7	3	1054
0.270018	1	8	3	1054
0.270019	1	9	3	1054
0.27002	1	10	3	1054
0.280012	1	1	3	1054
0.280013	1	2	3	1054
0.280014	1	3	3	1054
0.280014	1	4	3	1054
0.280015	1	5	3	1054
0.280016	1	6	3	1054
0.280017	1	7	3	1054
0.280018	1	8	3	1054
0.280019	1	9	3	1054
0.28002	1	10	3	1054
0.290012	1	1	3	1054
0.290013	1	2	3	1054
0.290014	1	3	3	1054
0.290014	1	4	3	1054
0.290015	1	5	3	1054
0.290016	1	6	3	1054
0.290017	1	7	3	1054
0.290018	1	8	3	1054
0.290019	1	9	3	1054
0.29002	1	10	3	1054
