time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.203243	1	10	3	458	0.00224286
0.203314	1	9	3	458	0.00231428
0.203386	1	8	3	458	0.00238571
0.203457	1	7	3	458	0.00245714
0.203529	1	6	3	458	0.00252857
0.2036	1	5	3	458	0.0026
0.203671	1	4	3	458	0.00267142
0.203743	1	3	3	458	0.00274285
0.203886	1	2	3	923	0.00288571
0.204029	1	1	3	923	0.00302856
0.204243	1	10	3	458	0.00224286
0.204314	1	9	3	458	0.00231428
0.204386	1	8	3	458	0.00238571
0.204457	1	7	3	458	0.00245714
0.204529	1	6	3	458	0.00252857
0.2046	1	5	3	458	0.0026
0.204743	1	4	3	600	0.00274285
0.204886	1	3	3	600	0.00288571
0.204957	1	2	3	135	0.00295714
0.205029	1	1	3	135	0.00302856
0.205243	1	10	3	144	0.00224286
0.205314	1	9	3	144	0.00231428
0.205386	1	8	3	144	0.00238571
0.205457	1	7	3	144	0.00245714
0.205529	1	6	3	144	0.00252857
0.2056	1	5	3	144	0.0026
0.213243	1	10	3	1056	0.00224286
0.213314	1	9	3	1056	0.00231428
0.213386	1	8	3	1056	0.00238571
0.213457	1	7	3	1056	0.00245714
0.213529	1	6	3	1056	0.00252857
0.2136	1	5	3	1056	0.0026
0.213671	1	4	3	1056	0.00267142
0.213743	1	3	3	1056	0.00274285
0.213814	1	2	3	1056	0.00281428
0.213886	1	1	3	1056	0.00288571
0.223243	1	10	3	1056	0.00224286
0.223314	1	9	3	1056	0.00231428
0.223386	1	8	3	1056	0.00238571
0.223457	1	7	3	1056	0.00245714
0.223529	1	6	3	1056	0.00252857
0.2236	1	5	3	1056	0.0026
0.223671	1	4	3	1056	0.00267142
0.223743	1	3	3	1056	0.00274285
0.223814	1	2	3	1056	0.00281428
0.223886	1	1	3	1056	0.00288571
0.233243	1	10	3	1056	0.00224286
0.233314	1	9	3	1056	0.00231428
0.233386	1	8	3	1056	0.00238571
0.233457	1	7	3	1056	0.00245714
0.233529	1	6	3	1056	0.00252857
0.2336	1	5	3	1056	0.0026
0.233671	1	4	3	1056	0.00267142
0.233743	1	3	3	1056	0.00274285
0.233814	1	2	3	1056	0.00281428
0.233886	1	1	3	1056	0.00288571
0.243243	1	10	3	1056	0.00224286
0.243314	1	9	3	1056	0.00231428
0.243386	1	8	3	1056	0.00238571
0.243457	1	7	3	1056	0.00245714
0.243529	1	6	3	1056	0.00252857
0.2436	1	5	3	1056	0.0026
0.243671	1	4	3	1056	0.00267142
0.243743	1	3	3	1056	0.00274285
0.243814	1	2	3	1056	0.00281428
0.243886	1	1	3	1056	0.00288571
0.253243	1	10	3	1056	0.00224286
0.253314	1	9	3	1056	0.00231428
0.253386	1	8	3	1056	0.00238571
0.253457	1	7	3	1056	0.00245714
0.253529	1	6	3	1056	0.00252857
0.2536	1	5	3	1056	0.0026
0.253671	1	4	3	1056	0.00267142
0.253743	1	3	3	1056	0.00274285
0.253814	1	2	3	1056	0.00281428
0.253886	1	1	3	1056	0.00288571
0.263243	1	10	3	1056	0.00224286
0.263314	1	9	3	1056	0.00231428
0.263386	1	8	3	1056	0.00238571
0.263457	1	7	3	1056	0.00245714
0.263529	1	6	3	1056	0.00252857
0.2636	1	5	3	1056	0.0026
0.263671	1	4	3	1056	0.00267142
0.263743	1	3	3	1056	0.00274285
0.263814	1	2	3	1056	0.00281428
0.263886	1	1	3	1056	0.00288571
0.273243	1	10	3	1056	0.00224286
0.273314	1	9	3	1056	0.00231428
0.273386	1	8	3	1056	0.00238571
0.273457	1	7	3	1056	0.00245714
0.273529	1	6	3	1056	0.00252857
0.2736	1	5	3	1056	0.0026
0.273671	1	4	3	1056	0.00267142
0.273743	1	3	3	1056	0.00274285
0.273814	1	2	3	1056	0.00281428
0.273886	1	1	3	1056	0.00288571
0.283243	1	10	3	1056	0.00224286
0.283314	1	9	3	1056	0.00231428
0.283386	1	8	3	1056	0.00238571
0.283457	1	7	3	1056	0.00245714
0.283529	1	6	3	1056	0.00252857
0.2836	1	5	3	1056	0.0026
0.283671	1	4	3	1056	0.00267142
0.283743	1	3	3	1056	0.00274285
0.283814	1	2	3	1056	0.00281428
0.283886	1	1	3	1056	0.00288571
0.293243	1	10	3	1056	0.00224286
0.293314	1	9	3	1056	0.00231428
0.293386	1	8	3	1056	0.00238571
0.293457	1	7	3	1056	0.00245714
0.293529	1	6	3	1056	0.00252857
0.2936	1	5	3	1056	0.0026
0.293671	1	4	3	1056	0.00267142
0.293743	1	3	3	1056	0.00274285
0.293814	1	2	3	1056	0.00281428
0.293886	1	1	3	1056	0.00288571
