time(s)	cellId	rnti	lcid	packetSize
0.201	1	10	3	458
0.201	1	9	3	458
0.201	1	8	3	458
0.201	1	7	3	458
0.201	1	6	3	458
0.201	1	5	3	458
0.201	1	4	3	458
0.201	1	3	3	458
0.201	1	2	3	923
0.201	1	1	3	923
0.202	1	10	3	458
0.202	1	9	3	458
0.202	1	8	3	458
0.202	1	7	3	458
0.202	1	6	3	458
0.202	1	5	3	458
0.202	1	4	3	600
0.202	1	3	3	600
0.202	1	2	3	135
0.202	1	1	3	135
0.203	1	10	3	144
0.203	1	9	3	144
0.203	1	8	3	144
0.203	1	7	3	144
0.203	1	6	3	144
0.203	1	5	3	144
0.211	1	10	3	1056
0.211	1	9	3	1056
0.211	1	8	3	1056
0.211	1	7	3	1056
0.211	1	6	3	1056
0.211	1	5	3	1056
0.211	1	4	3	1056
0.211	1	3	3	1056
0.211	1	2	3	1056
0.211	1	1	3	1056
0.221	1	10	3	1056
0.221	1	9	3	1056
0.221	1	8	3	1056
0.221	1	7	3	1056
0.221	1	6	3	1056
0.221	1	5	3	1056
0.221	1	4	3	1056
0.221	1	3	3	1056
0.221	1	2	3	1056
0.221	1	1	3	1056
0.231	1	10	3	1056
0.231	1	9	3	1056
0.231	1	8	3	1056
0.231	1	7	3	1056
0.231	1	6	3	1056
0.231	1	5	3	1056
0.231	1	4	3	1056
0.231	1	3	3	1056
0.231	1	2	3	1056
0.231	1	1	3	1056
0.241	1	10	3	1056
0.241	1	9	3	1056
0.241	1	8	3	1056
0.241	1	7	3	1056
0.241	1	6	3	1056
0.241	1	5	3	1056
0.241	1	4	3	1056
0.241	1	3	3	1056
0.241	1	2	3	1056
0.241	1	1	3	1056
0.251	1	10	3	1056
0.251	1	9	3	1056
0.251	1	8	3	1056
0.251	1	7	3	1056
0.251	1	6	3	1056
0.251	1	5	3	1056
0.251	1	4	3	1056
0.251	1	3	3	1056
0.251	1	2	3	1056
0.251	1	1	3	1056
0.261	1	10	3	1056
0.261	1	9	3	1056
0.261	1	8	3	1056
0.261	1	7	3	1056
0.261	1	6	3	1056
0.261	1	5	3	1056
0.261	1	4	3	1056
0.261	1	3	3	1056
0.261	1	2	3	1056
0.261	1	1	3	1056
0.271	1	10	3	1056
0.271	1	9	3	1056
0.271	1	8	3	1056
0.271	1	7	3	1056
0.271	1	6	3	1056
0.271	1	5	3	1056
0.271	1	4	3	1056
0.271	1	3	3	1056
0.271	1	2	3	1056
0.271	1	1	3	1056
0.281	1	10	3	1056
0.281	1	9	3	1056
0.281	1	8	3	1056
0.281	1	7	3	1056
0.281	1	6	3	1056
0.281	1	5	3	1056
0.281	1	4	3	1056
0.281	1	3	3	1056
0.281	1	2	3	1056
0.281	1	1	3	1056
0.291	1	10	3	1056
0.291	1	9	3	1056
0.291	1	8	3	1056
0.291	1	7	3	1056
0.291	1	6	3	1056
0.291	1	5	3	1056
0.291	1	4	3	1056
0.291	1	3	3	1056
0.291	1	2	3	1056
0.291	1	1	3	1056
