Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.203143	DL	20	3	0	1	1	1	0	10	461	0	1	0	41.9912	15	0	0
0.203214	DL	20	3	0	2	1	1	0	9	461	0	1	0	44.6057	15	0	0
0.203286	DL	20	3	0	3	1	1	0	8	461	0	1	0	45.6302	15	0	0
0.203357	DL	20	3	0	4	1	1	0	7	461	0	1	0	46.198	15	0	0
0.203429	DL	20	3	0	5	1	1	0	6	461	0	1	0	41.8236	15	0	0
0.2035	DL	20	3	0	6	1	1	0	5	461	0	1	0	47.1999	15	0	0
0.203571	DL	20	3	0	7	1	1	0	4	461	0	1	0	45.3473	15	0	0
0.203643	DL	20	3	0	8	1	1	0	3	461	0	1	0	47.2062	15	0	0
0.203786	DL	20	3	0	9	2	1	0	2	926	0	1	0	49.6854	15	0	0
0.203929	DL	20	3	0	11	2	1	0	1	926	0	1	0	45.1302	15	0	0
0.204143	DL	20	4	0	1	1	1	0	10	461	0	1	0	41.9949	15	0	0
0.204214	DL	20	4	0	2	1	1	0	9	461	0	1	0	44.4691	15	0	0
0.204286	DL	20	4	0	3	1	1	0	8	461	0	1	0	45.6139	15	0	0
0.204357	DL	20	4	0	4	1	1	0	7	461	0	1	0	46.3104	15	0	0
0.204429	DL	20	4	0	5	1	1	0	6	461	0	1	0	41.8235	15	0	0
0.2045	DL	20	4	0	6	1	1	0	5	461	0	1	0	47.2437	15	0	0
0.204643	DL	20	4	0	7	2	1	0	4	926	0	1	0	45.2842	15	0	0
0.204786	DL	20	4	0	9	2	1	0	3	926	0	1	0	47.2049	15	0	0
0.204857	DL	20	4	0	11	1	1	0	2	461	0	1	0	49.6364	15	0	0
0.204929	DL	20	4	0	12	1	1	0	1	461	0	1	0	44.945	15	0	0
0.205143	DL	20	5	0	1	1	1	0	10	461	0	1	0	41.9943	15	0	0
0.205214	DL	20	5	0	2	1	1	0	9	461	0	1	0	44.4015	15	0	0
0.205286	DL	20	5	0	3	1	1	0	8	461	0	1	0	45.605	15	0	0
0.205357	DL	20	5	0	4	1	1	0	7	461	0	1	0	46.3485	15	0	0
0.205429	DL	20	5	0	5	1	1	0	6	461	0	1	0	41.8234	15	0	0
0.2055	DL	20	5	0	6	1	1	0	5	461	0	1	0	47.0924	15	0	0
0.213143	DL	21	3	0	1	1	1	0	10	15970	28	1	0	41.991	15	0	0
0.213214	DL	21	3	0	2	1	1	0	9	15970	28	1	0	44.651	15	0	0
0.213286	DL	21	3	0	3	1	1	0	8	15970	28	1	0	45.6391	15	0	0
0.213357	DL	21	3	0	4	1	1	0	7	15970	28	1	0	46.3278	15	0	0
0.213429	DL	21	3	0	5	1	1	0	6	15970	28	1	0	41.8233	15	0	0
0.2135	DL	21	3	0	6	1	1	0	5	15970	28	1	0	47.0978	15	0	0
0.213571	DL	21	3	0	7	1	1	0	4	15970	28	1	0	45.2911	15	0	0
0.213643	DL	21	3	0	8	1	1	0	3	15970	28	1	0	47.2055	15	0	0
0.213714	DL	21	3	0	9	1	1	0	2	15970	28	1	0	49.6725	15	0	0
0.213786	DL	21	3	0	10	1	1	0	1	15970	28	1	0	45.056	15	0	0
0.223143	DL	22	3	0	1	1	1	0	10	15970	28	1	0	41.9924	15	0	0
0.223214	DL	22	3	0	2	1	1	0	9	15970	28	1	0	44.5302	15	0	0
0.223286	DL	22	3	0	3	1	1	0	8	15970	28	1	0	45.6158	15	0	0
0.223357	DL	22	3	0	4	1	1	0	7	15970	28	1	0	46.285	15	0	0
0.223429	DL	22	3	0	5	1	1	0	6	15970	28	1	0	41.8249	15	0	0
0.2235	DL	22	3	0	6	1	1	0	5	15970	28	1	0	47.21	15	0	0
