Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	1	-202.47
0.0179286	1	0	2	-199.31
0.0179286	1	0	3	-201.133
0.0179286	1	0	4	-202.788
0.0179286	1	0	5	-199.668
0.0179286	1	0	6	-204.883
0.0179286	1	0	7	-200.968
0.0179286	1	0	8	-202.144
0.0179286	1	0	9	-202.094
0.0179286	1	0	10	-205.56
0.0248571	1	0	8	-202.144
0.0268571	1	0	1	-202.47
0.0278571	1	0	4	-202.788
0.0308571	1	0	9	-202.094
0.0358571	1	0	7	-200.968
0.0468571	1	0	6	-204.883
0.0548571	1	0	3	-201.133
0.0668571	1	0	10	-205.56
0.0748571	1	0	2	-199.31
0.0928571	1	0	5	-199.668
0.104857	1	0	8	-202.144
0.106857	1	0	1	-202.47
0.107857	1	0	4	-202.788
0.110857	1	0	9	-202.094
0.115857	1	0	7	-200.968
0.126857	1	0	6	-204.883
0.134857	1	0	3	-201.133
0.146857	1	0	10	-205.56
0.154857	1	0	2	-199.31
0.172857	1	0	5	-199.668
0.184857	1	0	8	-202.144
0.186857	1	0	1	-202.47
0.187857	1	0	4	-202.788
0.190857	1	0	9	-202.094
0.195857	1	0	7	-200.968
0.205929	1	0	4	-202.788
0.205929	1	0	3	-201.133
0.205929	1	0	2	-199.31
0.205929	1	0	1	-202.47
0.205929	1	0	10	-205.56
0.205929	1	0	9	-202.094
0.205929	1	0	8	-202.144
0.205929	1	0	7	-200.968
0.205929	1	0	6	-204.883
0.205929	1	0	5	-199.668
0.206857	1	0	6	-204.883
0.206929	1	0	4	-202.788
0.206929	1	0	3	-201.133
0.206929	1	0	2	-199.31
0.206929	1	0	1	-202.47
0.206929	1	0	10	-205.56
0.206929	1	0	9	-202.094
0.206929	1	0	8	-202.144
0.206929	1	0	7	-200.968
0.206929	1	0	5	-199.668
0.206929	1	0	6	-204.883
0.207929	1	0	4	-202.788
0.207929	1	0	3	-201.133
0.207929	1	0	2	-199.31
0.207929	1	0	1	-202.47
0.207929	1	0	10	-205.56
0.207929	1	0	9	-202.094
0.207929	1	0	8	-202.144
0.207929	1	0	7	-200.968
0.207929	1	0	5	-199.668
0.207929	1	0	6	-204.883
0.208929	1	0	10	-205.56
0.208929	1	0	9	-202.094
0.208929	1	0	8	-202.144
0.208929	1	0	7	-200.968
0.208929	1	0	5	-199.668
0.208929	1	0	6	-204.883
0.214857	1	0	3	-201.133
0.215929	1	0	10	-205.56
0.215929	1	0	9	-202.094
0.215929	1	0	8	-202.144
0.215929	1	0	7	-200.968
0.215929	1	0	6	-204.883
0.215929	1	0	5	-199.668
0.215929	1	0	4	-202.788
0.215929	1	0	2	-199.31
0.215929	1	0	1	-202.47
0.215929	1	0	3	-201.133
0.216929	1	0	10	-205.56
0.216929	1	0	9	-202.094
0.216929	1	0	8	-202.144
0.216929	1	0	7	-200.968
0.216929	1	0	6	-204.883
0.216929	1	0	5	-199.668
0.216929	1	0	4	-202.788
0.216929	1	0	2	-199.31
0.216929	1	0	1	-202.47
0.216929	1	0	3	-201.133
0.225929	1	0	10	-205.56
0.225929	1	0	9	-202.094
0.225929	1	0	8	-202.144
0.225929	1	0	7	-200.968
0.225929	1	0	6	-204.883
0.225929	1	0	5	-199.668
0.225929	1	0	4	-202.788
0.225929	1	0	3	-201.133
0.225929	1	0	2	-199.31
0.225929	1	0	1	-202.47
0.226857	1	0	10	-205.56
0.226929	1	0	9	-202.094
0.226929	1	0	8	-202.144
0.226929	1	0	7	-200.968
0.226929	1	0	6	-204.883
0.226929	1	0	5	-199.668
0.226929	1	0	4	-202.788
0.226929	1	0	3	-201.133
0.226929	1	0	2	-199.31
