Time,Node,X,Y,Z,Speed,Latitude,Longitude,Altitude
+1e+09ns,0,8549.75,-6.26868e+06,-2.28161e+06,9.37516:3.20768:-6.36327e+06,-20,-89.9219,300000
+1e+09ns,1,5.99782e+06,-1.0397e+06,1.88012e+06,-29.9942:0:-6.371e+06,17.1639,-9.83427,2
+1e+09ns,2,-833008,3.69383e+06,-5.12361e+06,2.89153:0:-6.37097e+06,-53.5339,102.708,2
+1e+09ns,3,-4.80637e+06,-2.66836e+06,3.21999e+06,-28.9373:0:-6.37101e+06,30.3588,-150.962,2
+1e+09ns,4,914470,3.62804e+06,-5.15662e+06,21.8769:0:-6.37102e+06,-54.0363,75.8529,2
+1e+09ns,5,-2.84938e+06,-1.49017e+06,-5.50001e+06,-29.9829:0:-6.371e+06,-59.6878,-152.391,2
+1e+09ns,6,-1.5161e+06,6.1659e+06,-522334,5.13208:0:-6.37097e+06,-4.70274,103.814,2
+1e+09ns,7,-5.42829e+06,2.12692e+06,2.56895e+06,-28.6835:0:-6.37099e+06,23.78,158.604,2
+1e+09ns,8,-125663,2.04413e+06,6.03286e+06,13.9763:0:-6.37103e+06,71.249,93.5178,2
+1e+09ns,9,-2.50913e+06,5.85473e+06,126748,29.1778:0:-6.37101e+06,1.13994,113.198,2
+1e+09ns,10,-1.91589e+06,-1.96478e+06,5.74967e+06,22.6447:0:-6.37098e+06,64.4853,-134.278,2
