Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	11	0	0	-71.0839
7.1427e-05	21	0	0	-2.46733
7.1427e-05	41	0	0	-4.27257
7.1427e-05	41	0	0	-34.0928
7.1427e-05	61	0	0	-4.82568
7.1427e-05	61	0	0	-60.4825
7.1427e-05	67	0	0	2.26522
7.1427e-05	85	0	0	-11.3674
7.1427e-05	111	0	0	-7.12174
7.1427e-05	151	0	0	-11.4901
0.00507143	11	0	0	-39.5918
0.00507143	21	0	0	-6.06892
0.00507143	41	0	0	-3.6745
0.00507143	41	0	0	-20.0588
0.00507143	61	0	0	-5.79264
0.00507143	61	0	0	-57.2308
0.00507143	67	0	0	0.385028
0.00507143	85	0	0	-3.19037
0.00507143	111	0	0	-9.7069
0.00507143	151	0	0	-12.0422
0.0100714	11	0	0	-39.5316
0.0100714	21	0	0	-6.12597
0.0100714	41	0	0	-3.66505
0.0100714	41	0	0	-19.5765
0.0100714	61	0	0	-5.75685
0.0100714	61	0	0	-55.645
0.0100714	67	0	0	3.14983
0.0100714	85	0	0	-3.17227
0.0100714	111	0	0	-9.7138
0.0100714	151	0	0	-12.02
0.0150714	11	0	0	-39.6098
0.0150714	21	0	0	-6.01286
0.0150714	41	0	0	-3.67418
0.0150714	41	0	0	-19.4599
0.0150714	61	0	0	-5.72783
0.0150714	61	0	0	-54.8728
0.0150714	67	0	0	0.0532978
0.0150714	85	0	0	-3.17577
0.0150714	111	0	0	-9.71769
0.0150714	151	0	0	-11.9742
0.0200714	11	0	0	-39.4791
0.0200714	21	0	0	-5.99826
0.0200714	41	0	0	-3.76629
0.0200714	41	0	0	-19.2559
0.0200714	61	0	0	-5.69082
0.0200714	61	0	0	-55.125
0.0200714	67	0	0	2.42247
0.0200714	85	0	0	-3.18252
0.0200714	111	0	0	-9.69153
0.0200714	151	0	0	-11.9111
0.0250714	11	1	0	-39.6036
0.0250714	21	1	0	-6.07093
0.0250714	41	1	0	-3.813
0.0250714	41	2	0	-20.44
0.0250714	61	1	0	-5.57966
0.0250714	61	2	0	-56.3255
0.0250714	67	1	0	2.07827
0.0250714	85	1	0	-3.16214
0.0250714	111	1	0	-9.68028
0.0250714	151	1	0	-11.8834
0.0260714	11	1	0	3.89566
0.0300714	11	1	0	-39.5223
0.0300714	21	1	0	-6.03163
0.0300714	41	1	0	-3.84346
0.0300714	41	2	0	-20.0688
0.0300714	61	1	0	-5.56975
0.0300714	61	2	0	-57.5587
0.0300714	67	1	0	0.446098
0.0300714	85	1	0	-3.15963
0.0300714	111	1	0	-9.71358
0.0300714	151	1	0	-11.9009
0.0320714	61	1	0	40.0347
0.0320714	61	2	0	-10.2406
0.0350714	11	1	0	-39.6218
0.0350714	21	1	0	-5.99401
0.0350714	41	1	0	-3.81191
0.0350714	41	2	0	-18.4133
0.0350714	61	1	0	-5.51266
0.0350714	61	2	0	-55.6868
0.0350714	67	1	0	3.19017
0.0350714	85	1	0	-3.20223
0.0350714	111	1	0	-9.70431
0.0350714	151	1	0	-11.9013
0.0400714	11	1	0	-39.5275
0.0400714	21	1	0	-6.00491
0.0400714	41	1	0	-3.75361
0.0400714	41	2	0	-19.6126
0.0400714	61	1	0	-5.5115
0.0400714	61	2	0	-54.6054
0.0400714	67	1	0	-0.0198135
0.0400714	85	1	0	-3.22943
0.0400714	111	1	0	-9.70492
0.0400714	151	1	0	-11.9541
0.0450714	11	1	0	-39.632
0.0450714	21	1	0	-6.08721
0.0450714	41	1	0	-3.68888
0.0450714	41	2	0	-22.214
0.0450714	61	1	0	-5.54372
0.0450714	61	2	0	-55.2106
0.0450714	67	1	0	2.51593
0.0450714	85	1	0	-3.2471
0.0450714	111	1	0	-9.69732
0.0450714	151	1	0	-11.9261
0.0500714	11	1	0	-67.0092
0.0500714	21	1	0	-5.58174
0.0500714	41	1	0	-6.03841
0.0500714	41	2	0	-46.7758
0.0500714	61	1	0	-5.76642
0.0500714	61	2	0	-53.1259
0.0500714	67	1	0	3.46631
0.0500714	85	1	0	-9.05394
0.0500714	111	1	0	-8.17561
0.0500714	151	1	0	-11.4017
0.0550714	11	1	0	-67.1832
0.0550714	21	1	0	-5.5779
0.0550714	41	1	0	-6.05665
0.0550714	41	2	0	-44.7632
0.0550714	61	1	0	-5.76999
0.0550714	61	2	0	-54.2712
0.0550714	67	1	0	0.899746
0.0550714	85	1	0	-9.02579
0.0550714	111	1	0	-8.17295
0.0550714	151	1	0	-11.4283
0.0600714	11	1	0	-67.0553
0.0600714	21	1	0	-5.56185
0.0600714	41	1	0	-6.15394
0.0600714	41	2	0	-45.1227
0.0600714	61	1	0	-5.84529
0.0600714	61	2	0	-53.4978
0.0600714	67	1	0	3.82907
0.0600714	85	1	0	-9.04403
0.0600714	111	1	0	-8.17007
0.0600714	151	1	0	-11.4719
0.0610714	111	1	0	37.1218
0.0620714	41	1	0	38.2869
0.0620714	41	2	0	-0.999842
0.0650714	11	1	0	-67.0902
0.0650714	21	1	0	-5.57236
0.0650714	41	1	0	-6.16231
0.0650714	41	2	0	-47.0673
0.0650714	61	1	0	-5.85355
0.0650714	61	2	0	-51.9413
0.0650714	67	1	0	2.00208
0.0650714	85	1	0	-9.03587
0.0650714	111	1	0	-8.17397
0.0650714	151	1	0	-11.4851
0.0670714	67	1	0	49.6932
0.0700714	11	1	0	-67.0069
0.0700714	21	1	0	-5.62925
0.0700714	41	1	0	-6.15186
0.0700714	41	2	0	-45.8966
0.0700714	61	1	0	-5.93393
0.0700714	61	2	0	-52.2762
0.0700714	67	1	0	2.25419
0.0700714	85	1	0	-9.04958
0.0700714	111	1	0	-8.18921
0.0700714	151	1	0	-11.3682
0.0750714	11	1	0	-67.1537
0.0750714	21	1	0	-5.65142
0.0750714	41	1	0	-6.03568
0.0750714	41	2	0	-45.2968
0.0750714	61	1	0	-5.94582
0.0750714	61	2	0	-53.2543
