Time	CellId	RNTI	BWPId	SINR(dB)
0.203286	11	1	0	-0.0221018
0.203286	21	1	0	39.3213
0.203286	41	2	0	-7.21148
0.203286	61	2	0	-9.69702
0.203286	67	1	0	64.0005
0.203286	85	1	0	40.3446
0.203286	111	1	0	37.1436
0.203286	151	1	0	33.6474
0.2035	41	1	0	53.9643
0.2035	61	1	0	59.7016
0.208929	61	2	0	14.7294
0.213143	11	1	0	-7.67671
0.213143	21	1	0	43.0344
0.213143	67	1	0	62.637
0.213143	85	1	0	39.392
0.213143	111	1	0	34.523
0.213143	151	1	0	32.4326
0.213286	41	2	0	-6.22506
0.213286	61	2	0	-10.9642
0.213357	41	1	0	54.0424
0.213357	61	1	0	61.41
0.218929	11	1	0	17.607
0.223143	21	1	0	43.0113
0.223143	67	1	0	63.5249
0.223143	85	1	0	39.3425
0.223143	111	1	0	34.5217
0.223143	151	1	0	32.479
0.223286	11	1	0	-3.09574
0.223286	41	2	0	-5.41163
0.223286	61	2	0	-14.5532
0.223357	41	1	0	54.5767
0.223357	61	1	0	61.4091
0.228929	61	2	0	14.5645
0.233143	11	1	0	-7.6227
0.233143	21	1	0	42.8659
0.233143	67	1	0	62.2965
0.233143	85	1	0	39.4491
0.233143	111	1	0	34.5399
0.233143	151	1	0	32.415
0.233214	41	2	0	-4.51805
0.233286	61	2	0	-11.4186
0.233286	41	1	0	49.6957
0.233357	61	1	0	61.637
0.238929	11	1	0	8.27153
0.238929	61	2	0	14.0317
0.243143	21	1	0	42.8649
0.243143	67	1	0	63.5613
0.243143	85	1	0	39.3298
0.243143	111	1	0	34.5457
0.243143	151	1	0	32.4456
0.243214	41	2	0	-4.12388
0.243286	11	1	0	-2.98419
0.243286	61	2	0	-14.6679
0.243286	41	1	0	49.6722
0.243357	61	1	0	61.6237
0.248929	61	2	0	14.5029
0.253143	11	1	0	-10.2692
0.253143	21	1	0	43.2508
0.253143	67	1	0	58.7437
0.253143	85	1	0	35.0647
0.253143	111	1	0	25.6892
0.253143	151	1	0	31.0871
0.253214	41	2	0	5.41868
0.253286	61	2	0	8.13567
0.253286	41	1	0	44.2226
0.253357	61	1	0	57.5096
0.258929	11	1	0	12.2101
0.263143	21	1	0	43.1002
0.263143	41	2	0	-1.29927
0.263143	61	2	0	5.2444
0.263143	67	1	0	59.3248
0.263143	85	1	0	35.0361
0.263143	111	1	0	25.7059
0.263143	151	1	0	30.9784
0.263214	41	1	0	48.0991
0.263214	61	1	0	33.9816
0.263286	11	1	0	-5.67827
0.268929	41	2	0	21.956
0.268929	61	2	0	5.66704
0.273143	21	1	0	43.2789
0.273143	41	2	0	-1.05259
0.273143	61	2	0	5.2436
0.273143	67	1	0	60.4175
0.273143	85	1	0	35.0534
0.273143	111	1	0	25.7841
0.273143	151	1	0	31.0669
0.273214	11	1	0	-7.26364
0.273214	41	1	0	48.5906
0.273214	61	1	0	33.9692
0.283143	21	1	0	43.2348
0.283143	41	2	0	1.58059
0.283143	61	2	0	5.27864
0.283143	67	1	0	60.3655
0.283143	85	1	0	35.0468
0.283143	111	1	0	25.7848
0.283143	151	1	0	31.0292
0.283214	41	1	0	47.8128
0.283214	61	1	0	33.9826
0.283286	11	1	0	-5.61956
0.293143	21	1	0	43.2657
0.293143	41	2	0	2.48023
0.293143	61	2	0	5.25671
0.293143	67	1	0	59.004
0.293143	85	1	0	35.0364
0.293143	111	1	0	25.7616
0.293143	151	1	0	30.9818
0.293214	11	1	0	-7.30211
0.293214	41	1	0	47.4138
0.293214	61	1	0	33.9578
