Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	11	0	103	-246.109
0	21	0	108	-188.081
0	41	0	102	-190.308
0	41	0	107	-213.689
0	61	0	101	-189.653
0	61	0	106	-235.356
0	67	0	109	-177.912
0	85	0	105	-198.758
0	111	0	104	-195.19
0	151	0	100	-194.408
0.005	11	0	103	-223.155
0.005	21	0	108	-191.77
0.005	41	0	102	-190.057
0.005	41	0	107	-202.457
0.005	61	0	101	-188.79
0.005	61	0	106	-236.975
0.005	67	0	109	-178.838
0.005	85	0	105	-193.023
0.005	111	0	104	-196.99
0.005	151	0	100	-196.012
0.01	11	0	103	-223.155
0.01	21	0	108	-191.77
0.01	41	0	102	-190.057
0.01	41	0	107	-202.457
0.01	61	0	101	-188.79
0.01	61	0	106	-236.975
0.01	67	0	109	-178.838
0.01	85	0	105	-193.023
0.01	111	0	104	-196.99
0.01	151	0	100	-196.012
0.015	11	0	103	-223.155
0.015	21	0	108	-191.77
0.015	41	0	102	-190.057
0.015	41	0	107	-202.457
0.015	61	0	101	-188.79
0.015	61	0	106	-236.975
0.015	67	0	109	-178.838
0.015	85	0	105	-193.023
0.015	111	0	104	-196.99
0.015	151	0	100	-196.012
0.02	11	0	103	-223.155
0.02	21	0	108	-191.77
0.02	41	0	102	-190.057
0.02	41	0	107	-202.457
0.02	61	0	101	-188.79
0.02	61	0	106	-236.975
0.02	67	0	109	-178.838
0.02	85	0	105	-193.023
0.02	111	0	104	-196.99
0.02	151	0	100	-196.012
0.025	11	0	103	-223.155
0.025	21	0	108	-191.77
0.025	41	0	102	-190.057
0.025	41	0	107	-202.457
0.025	61	0	101	-188.79
0.025	61	0	106	-236.975
0.025	67	0	109	-178.838
0.025	85	0	105	-193.023
0.025	111	0	104	-196.99
0.025	151	0	100	-196.012
0.026	11	0	103	-223.155
0.03	11	0	103	-223.155
0.03	21	0	108	-191.77
0.03	41	0	102	-190.057
0.03	41	0	107	-202.457
0.03	61	0	101	-188.79
0.03	61	0	106	-236.975
0.03	67	0	109	-178.838
0.03	85	0	105	-193.023
0.03	111	0	104	-196.99
0.03	151	0	100	-196.012
0.032	61	0	101	-188.79
0.032	61	0	106	-236.975
0.035	11	0	103	-223.155
0.035	21	0	108	-191.77
0.035	41	0	102	-190.057
0.035	41	0	107	-202.457
0.035	61	0	101	-188.79
0.035	61	0	106	-236.975
0.035	67	0	109	-178.838
0.035	85	0	105	-193.023
0.035	111	0	104	-196.99
0.035	151	0	100	-196.012
0.04	11	0	103	-223.155
0.04	21	0	108	-191.77
0.04	41	0	102	-190.057
0.04	41	0	107	-202.457
0.04	61	0	101	-188.79
0.04	61	0	106	-236.975
0.04	67	0	109	-178.838
0.04	85	0	105	-193.023
0.04	111	0	104	-196.99
0.04	151	0	100	-196.012
0.045	11	0	103	-223.155
0.045	21	0	108	-191.77
0.045	41	0	102	-190.057
0.045	41	0	107	-202.457
0.045	61	0	101	-188.79
0.045	61	0	106	-236.975
0.045	67	0	109	-178.838
