% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.201	11	0	0	1	20	3	0	1	3	15	1	0	0	1390
0.201	21	0	0	1	20	3	0	1	3	15	1	0	0	1390
0.201	41	0	0	2	20	3	0	1	3	15	1	0	0	1390
0.201	41	0	0	1	20	3	0	4	3	15	1	0	0	1390
0.201	61	0	0	2	20	3	0	1	3	15	1	0	0	1390
0.201	61	0	0	1	20	3	0	4	3	15	1	0	0	1390
0.201	67	0	0	1	20	3	0	1	3	15	1	0	0	1390
0.201	85	0	0	1	20	3	0	1	3	15	1	0	0	1390
0.201	111	0	0	1	20	3	0	1	3	15	1	0	0	1390
0.201	151	0	0	1	20	3	0	1	3	15	1	0	0	1390
0.211	11	0	0	1	21	3	0	1	1	15	1	0	6	1736
0.211	21	0	0	1	21	3	0	1	1	15	1	0	28	15970
0.211	41	0	0	2	21	3	0	1	3	15	1	0	0	1390
0.211	41	0	0	1	21	3	0	4	1	15	1	0	28	15970
0.211	61	0	0	2	21	3	0	1	3	15	1	0	0	1390
0.211	61	0	0	1	21	3	0	4	1	15	1	0	28	15970
0.211	67	0	0	1	21	3	0	1	1	15	1	0	28	15970
0.211	85	0	0	1	21	3	0	1	1	15	1	0	28	15970
0.211	111	0	0	1	21	3	0	1	1	15	1	0	28	15970
0.211	151	0	0	1	21	3	0	1	1	15	1	0	28	15970
0.221	11	0	0	1	22	3	0	1	3	15	1	0	0	1390
0.221	21	0	0	1	22	3	0	1	1	15	1	0	28	15970
0.221	41	0	0	2	22	3	0	1	3	15	1	0	0	1390
0.221	41	0	0	1	22	3	0	4	1	15	1	0	28	15970
0.221	61	0	0	2	22	3	0	1	3	15	1	0	0	1390
0.221	61	0	0	1	22	3	0	4	1	15	1	0	28	15970
0.221	67	0	0	1	22	3	0	1	1	15	1	0	28	15970
0.221	85	0	0	1	22	3	0	1	1	15	1	0	28	15970
0.221	111	0	0	1	22	3	0	1	1	15	1	0	28	15970
0.221	151	0	0	1	22	3	0	1	1	15	1	0	28	15970
0.231	11	0	0	1	23	3	0	1	1	15	1	0	4	1100
0.231	21	0	0	1	23	3	0	1	1	15	1	0	28	15970
0.231	41	0	0	2	23	3	0	1	2	15	1	0	2	1274
0.231	41	0	0	1	23	3	0	3	1	15	1	0	28	15970
0.231	61	0	0	2	23	3	0	1	3	15	1	0	0	1390
