time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.203386	11	1	3	1054	0.00337125
0.203386	21	1	3	1054	0.00336688
0.203386	41	2	3	1054	0.00336775
0.203386	67	1	3	1054	0.003366
0.203386	85	1	3	1054	0.0033695
0.203386	111	1	3	1054	0.00337038
0.203386	151	1	3	1054	0.00337388
0.2036	41	1	3	1054	0.00358641
0.2036	61	1	3	1054	0.00358729
0.209029	61	2	3	1054	0.00901148
0.213243	21	1	3	1054	0.00322402
0.213243	67	1	3	1054	0.00322315
0.213243	85	1	3	1054	0.00322665
0.213243	111	1	3	1054	0.00322752
0.213243	151	1	3	1054	0.00323102
0.213386	41	2	3	1054	0.00336775
0.213386	61	2	3	1054	0.00336863
0.213457	41	1	3	1054	0.00344356
0.213457	61	1	3	1054	0.00344443
0.219029	11	1	3	1054	0.0090141
0.223243	21	1	3	1054	0.00322402
0.223243	67	1	3	1054	0.00322315
0.223243	85	1	3	1054	0.00322665
0.223243	111	1	3	1054	0.00322752
0.223243	151	1	3	1054	0.00323102
0.223386	11	1	3	1054	0.00337125
0.223386	41	2	3	1054	0.00336775
0.223457	41	1	3	1054	0.00344356
0.223457	61	1	3	1054	0.00344443
0.229029	61	2	3	1054	0.00901148
0.233243	21	1	3	1054	0.00322402
0.233243	67	1	3	1054	0.00322315
0.233243	85	1	3	1054	0.00322665
0.233243	111	1	3	1054	0.00322752
0.233243	151	1	3	1054	0.00323102
0.233314	41	2	3	1054	0.00329632
0.233386	41	1	3	1054	0.00337213
0.233457	61	1	3	1054	0.00344443
0.239029	11	1	3	1054	0.0090141
0.239029	61	2	3	1054	0.00901148
0.243243	21	1	3	1054	0.00322402
0.243243	67	1	3	1054	0.00322315
0.243243	85	1	3	1054	0.00322665
0.243243	111	1	3	1054	0.00322752
0.243243	151	1	3	1054	0.00323102
0.243314	41	2	3	1054	0.00329632
0.243386	11	1	3	1054	0.00337125
0.243386	41	1	3	1054	0.00337213
0.243457	61	1	3	1054	0.00344443
0.249029	61	2	3	1054	0.00901148
0.253243	21	1	3	1054	0.00322402
0.253243	67	1	3	1054	0.00322315
0.253243	85	1	3	1054	0.00322665
0.253243	111	1	3	1054	0.00322752
0.253243	151	1	3	1054	0.00323102
0.253314	41	2	3	1054	0.00329632
0.253386	61	2	3	1054	0.00336863
0.253386	41	1	3	1054	0.00337213
0.253457	61	1	3	1054	0.00344443
0.259029	11	1	3	1054	0.0090141
0.263243	21	1	3	1054	0.00322402
0.263243	67	1	3	1054	0.00322315
0.263243	85	1	3	1054	0.00322665
0.263243	111	1	3	1054	0.00322752
0.263243	151	1	3	1054	0.00323102
0.263314	41	1	3	1054	0.0033007
0.263314	61	1	3	1054	0.00330157
0.263386	11	1	3	1054	0.00337125
0.269029	41	2	3	1054	0.0090106
0.269029	61	2	3	1054	0.00901148
0.273243	21	1	3	1054	0.00322402
0.273243	41	2	3	1054	0.0032249
0.273243	61	2	3	1054	0.00322577
0.273243	67	1	3	1054	0.00322315
0.273243	85	1	3	1054	0.00322665
0.273243	111	1	3	1054	0.00322752
0.273243	151	1	3	1054	0.00323102
0.273314	11	1	3	1054	0.00329982
0.273314	41	1	3	1054	0.0033007
0.273314	61	1	3	1054	0.00330157
0.283243	21	1	3	1054	0.00322402
0.283243	41	2	3	1054	0.0032249
0.283243	61	2	3	1054	0.00322577
0.283243	67	1	3	1054	0.00322315
0.283243	85	1	3	1054	0.00322665
0.283243	111	1	3	1054	0.00322752
0.283243	151	1	3	1054	0.00323102
0.283314	41	1	3	1054	0.0033007
0.283314	61	1	3	1054	0.00330157
0.283386	11	1	3	1054	0.00337125
0.293243	21	1	3	1054	0.00322402
0.293243	41	2	3	1054	0.0032249
0.293243	61	2	3	1054	0.00322577
0.293243	67	1	3	1054	0.00322315
0.293243	85	1	3	1054	0.00322665
0.293243	111	1	3	1054	0.00322752
0.293243	151	1	3	1054	0.00323102
0.293314	11	1	3	1054	0.00329982
0.293314	41	1	3	1054	0.0033007
0.293314	61	1	3	1054	0.00330157
