time(s)	cellId	rnti	lcid	packetSize
0.200012	151	1	3	1054
0.200013	61	1	3	1054
0.200014	41	1	3	1054
0.200014	11	1	3	1054
0.200015	111	1	3	1054
0.200016	85	1	3	1054
0.200017	61	2	3	1054
0.200018	41	2	3	1054
0.200019	21	1	3	1054
0.20002	67	1	3	1054
0.210012	151	1	3	1054
0.210013	61	1	3	1054
0.210014	41	1	3	1054
0.210014	11	1	3	1054
0.210015	111	1	3	1054
0.210016	85	1	3	1054
0.210017	61	2	3	1054
0.210018	41	2	3	1054
0.210019	21	1	3	1054
0.21002	67	1	3	1054
0.220012	151	1	3	1054
0.220013	61	1	3	1054
0.220014	41	1	3	1054
0.220014	11	1	3	1054
0.220015	111	1	3	1054
0.220016	85	1	3	1054
0.220017	61	2	3	1054
0.220018	41	2	3	1054
0.220019	21	1	3	1054
0.22002	67	1	3	1054
0.230012	151	1	3	1054
0.230013	61	1	3	1054
0.230014	41	1	3	1054
0.230014	11	1	3	1054
0.230015	111	1	3	1054
0.230016	85	1	3	1054
0.230017	61	2	3	1054
0.230018	41	2	3	1054
0.230019	21	1	3	1054
0.23002	67	1	3	1054
0.240012	151	1	3	1054
0.240013	61	1	3	1054
0.240014	41	1	3	1054
0.240014	11	1	3	1054
0.240015	111	1	3	1054
0.240016	85	1	3	1054
0.240017	61	2	3	1054
0.240018	41	2	3	1054
0.240019	21	1	3	1054
0.24002	67	1	3	1054
0.250012	151	1	3	1054
0.250013	61	1	3	1054
0.250014	41	1	3	1054
0.250014	11	1	3	1054
0.250015	111	1	3	1054
0.250016	85	1	3	1054
0.250017	61	2	3	1054
0.250018	41	2	3	1054
0.250019	21	1	3	1054
0.25002	67	1	3	1054
0.260012	151	1	3	1054
0.260013	61	1	3	1054
0.260014	41	1	3	1054
0.260014	11	1	3	1054
0.260015	111	1	3	1054
0.260016	85	1	3	1054
0.260017	61	2	3	1054
0.260018	41	2	3	1054
0.260019	21	1	3	1054
0.26002	67	1	3	1054
0.270012	151	1	3	1054
0.270013	61	1	3	1054
0.270014	41	1	3	1054
0.270014	11	1	3	1054
0.270015	111	1	3	1054
0.270016	85	1	3	1054
0.270017	61	2	3	1054
0.270018	41	2	3	1054
0.270019	21	1	3	1054
0.27002	67	1	3	1054
0.280012	151	1	3	1054
0.280013	61	1	3	1054
0.280014	41	1	3	1054
0.280014	11	1	3	1054
0.280015	111	1	3	1054
0.280016	85	1	3	1054
0.280017	61	2	3	1054
0.280018	41	2	3	1054
0.280019	21	1	3	1054
0.28002	67	1	3	1054
0.290012	151	1	3	1054
0.290013	61	1	3	1054
0.290014	41	1	3	1054
0.290014	11	1	3	1054
0.290015	111	1	3	1054
0.290016	85	1	3	1054
0.290017	61	2	3	1054
0.290018	41	2	3	1054
0.290019	21	1	3	1054
0.29002	67	1	3	1054
