time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.203386	11	1	3	1056	0.00238571
0.203386	21	1	3	1056	0.00238571
0.203386	41	2	3	1056	0.00238571
0.203386	67	1	3	1056	0.00238571
0.203386	85	1	3	1056	0.00238571
0.203386	111	1	3	1056	0.00238571
0.203386	151	1	3	1056	0.00238571
0.2036	41	1	3	1056	0.0026
0.2036	61	1	3	1056	0.0026
0.209029	61	2	3	1056	0.00802856
0.213243	21	1	3	1056	0.00224286
0.213243	67	1	3	1056	0.00224286
0.213243	85	1	3	1056	0.00224286
0.213243	111	1	3	1056	0.00224286
0.213243	151	1	3	1056	0.00224286
0.213386	41	2	3	1056	0.00238571
0.213386	61	2	3	1056	0.00238571
0.213457	41	1	3	1056	0.00245714
0.213457	61	1	3	1056	0.00245714
0.219029	11	1	3	1056	0.00802856
0.223243	21	1	3	1056	0.00224286
0.223243	67	1	3	1056	0.00224286
0.223243	85	1	3	1056	0.00224286
0.223243	111	1	3	1056	0.00224286
0.223243	151	1	3	1056	0.00224286
0.223386	11	1	3	1056	0.00238571
0.223386	41	2	3	1056	0.00238571
0.223457	41	1	3	1056	0.00245714
0.223457	61	1	3	1056	0.00245714
0.229029	61	2	3	1056	0.00802856
0.233243	21	1	3	1056	0.00224286
0.233243	67	1	3	1056	0.00224286
0.233243	85	1	3	1056	0.00224286
0.233243	111	1	3	1056	0.00224286
0.233243	151	1	3	1056	0.00224286
0.233314	41	2	3	1056	0.00231428
0.233386	41	1	3	1056	0.00238571
0.233457	61	1	3	1056	0.00245714
0.239029	11	1	3	1056	0.00802856
0.239029	61	2	3	1056	0.00802856
0.243243	21	1	3	1056	0.00224286
0.243243	67	1	3	1056	0.00224286
0.243243	85	1	3	1056	0.00224286
0.243243	111	1	3	1056	0.00224286
0.243243	151	1	3	1056	0.00224286
0.243314	41	2	3	1056	0.00231428
0.243386	11	1	3	1056	0.00238571
0.243386	41	1	3	1056	0.00238571
0.243457	61	1	3	1056	0.00245714
0.249029	61	2	3	1056	0.00802856
0.253243	21	1	3	1056	0.00224286
0.253243	67	1	3	1056	0.00224286
0.253243	85	1	3	1056	0.00224286
0.253243	111	1	3	1056	0.00224286
0.253243	151	1	3	1056	0.00224286
0.253314	41	2	3	1056	0.00231428
0.253386	61	2	3	1056	0.00238571
0.253386	41	1	3	1056	0.00238571
0.253457	61	1	3	1056	0.00245714
0.259029	11	1	3	1056	0.00802856
0.263243	21	1	3	1056	0.00224286
0.263243	67	1	3	1056	0.00224286
0.263243	85	1	3	1056	0.00224286
0.263243	111	1	3	1056	0.00224286
0.263243	151	1	3	1056	0.00224286
0.263314	41	1	3	1056	0.00231428
0.263314	61	1	3	1056	0.00231428
0.263386	11	1	3	1056	0.00238571
0.269029	41	2	3	1056	0.00802856
0.269029	61	2	3	1056	0.00802856
0.273243	21	1	3	1056	0.00224286
0.273243	41	2	3	1056	0.00224286
0.273243	61	2	3	1056	0.00224286
0.273243	67	1	3	1056	0.00224286
0.273243	85	1	3	1056	0.00224286
0.273243	111	1	3	1056	0.00224286
0.273243	151	1	3	1056	0.00224286
0.273314	11	1	3	1056	0.00231428
0.273314	41	1	3	1056	0.00231428
0.273314	61	1	3	1056	0.00231428
0.283243	21	1	3	1056	0.00224286
0.283243	41	2	3	1056	0.00224286
0.283243	61	2	3	1056	0.00224286
0.283243	67	1	3	1056	0.00224286
0.283243	85	1	3	1056	0.00224286
0.283243	111	1	3	1056	0.00224286
0.283243	151	1	3	1056	0.00224286
0.283314	41	1	3	1056	0.00231428
0.283314	61	1	3	1056	0.00231428
0.283386	11	1	3	1056	0.00238571
0.293243	21	1	3	1056	0.00224286
0.293243	41	2	3	1056	0.00224286
0.293243	61	2	3	1056	0.00224286
0.293243	67	1	3	1056	0.00224286
0.293243	85	1	3	1056	0.00224286
0.293243	111	1	3	1056	0.00224286
0.293243	151	1	3	1056	0.00224286
0.293314	11	1	3	1056	0.00231428
0.293314	41	1	3	1056	0.00231428
0.293314	61	1	3	1056	0.00231428
