time(s)	cellId	rnti	lcid	packetSize
0.201	11	1	3	1056
0.201	21	1	3	1056
0.201	41	2	3	1056
0.201	41	1	3	1056
0.201	61	2	3	1056
0.201	61	1	3	1056
0.201	67	1	3	1056
0.201	85	1	3	1056
0.201	111	1	3	1056
0.201	151	1	3	1056
0.211	11	1	3	1056
0.211	21	1	3	1056
0.211	41	2	3	1056
0.211	41	1	3	1056
0.211	61	2	3	1056
0.211	61	1	3	1056
0.211	67	1	3	1056
0.211	85	1	3	1056
0.211	111	1	3	1056
0.211	151	1	3	1056
0.221	11	1	3	1056
0.221	21	1	3	1056
0.221	41	2	3	1056
0.221	41	1	3	1056
0.221	61	2	3	1056
0.221	61	1	3	1056
0.221	67	1	3	1056
0.221	85	1	3	1056
0.221	111	1	3	1056
0.221	151	1	3	1056
0.231	11	1	3	1056
0.231	21	1	3	1056
0.231	41	2	3	1056
0.231	41	1	3	1056
0.231	61	2	3	1056
0.231	61	1	3	1056
0.231	67	1	3	1056
0.231	85	1	3	1056
0.231	111	1	3	1056
0.231	151	1	3	1056
0.241	11	1	3	1056
0.241	21	1	3	1056
0.241	41	2	3	1056
0.241	41	1	3	1056
0.241	61	2	3	1056
0.241	61	1	3	1056
0.241	67	1	3	1056
0.241	85	1	3	1056
0.241	111	1	3	1056
0.241	151	1	3	1056
0.251	11	1	3	1056
0.251	21	1	3	1056
0.251	41	2	3	1056
0.251	41	1	3	1056
0.251	61	2	3	1056
0.251	61	1	3	1056
0.251	67	1	3	1056
0.251	85	1	3	1056
0.251	111	1	3	1056
0.251	151	1	3	1056
0.261	11	1	3	1056
0.261	21	1	3	1056
0.261	41	2	3	1056
0.261	41	1	3	1056
0.261	61	2	3	1056
0.261	61	1	3	1056
0.261	67	1	3	1056
0.261	85	1	3	1056
0.261	111	1	3	1056
0.261	151	1	3	1056
0.271	11	1	3	1056
0.271	21	1	3	1056
0.271	41	2	3	1056
0.271	41	1	3	1056
0.271	61	2	3	1056
0.271	61	1	3	1056
0.271	67	1	3	1056
0.271	85	1	3	1056
0.271	111	1	3	1056
0.271	151	1	3	1056
0.281	11	1	3	1056
0.281	21	1	3	1056
0.281	41	2	3	1056
0.281	41	1	3	1056
0.281	61	2	3	1056
0.281	61	1	3	1056
0.281	67	1	3	1056
0.281	85	1	3	1056
0.281	111	1	3	1056
0.281	151	1	3	1056
0.291	11	1	3	1056
0.291	21	1	3	1056
0.291	41	2	3	1056
0.291	41	1	3	1056
0.291	61	2	3	1056
0.291	61	1	3	1056
0.291	67	1	3	1056
0.291	85	1	3	1056
0.291	111	1	3	1056
0.291	151	1	3	1056
