Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.203286	DL	20	3	0	1	3	11	0	1	1390	0	1	0	-0.0221018	4	0	0
0.203286	DL	20	3	0	1	3	21	0	1	1390	0	1	0	39.3213	15	0	0
0.203286	DL	20	3	0	1	3	41	0	2	1390	0	1	0	-7.21148	0	0	0.137702
0.203286	DL	20	3	0	1	3	61	0	2	1390	0	1	0	-9.69702	0	1	1
0.203286	DL	20	3	0	1	3	67	0	1	1390	0	1	0	64.0005	15	0	0
0.203286	DL	20	3	0	1	3	85	0	1	1390	0	1	0	40.3446	15	0	0
0.203286	DL	20	3	0	1	3	111	0	1	1390	0	1	0	37.1436	15	0	0
0.203286	DL	20	3	0	1	3	151	0	1	1390	0	1	0	33.6474	15	0	0
0.2035	DL	20	3	0	4	3	41	0	1	1390	0	1	0	53.9643	15	0	0
0.2035	DL	20	3	0	4	3	61	0	1	1390	0	1	0	59.7016	15	0	0
0.208929	DL	20	8	0	1	12	61	0	2	1390	0	1	1	20.75	13	0	0
0.213143	DL	21	3	0	1	1	11	0	1	1736	6	1	0	-7.67671	0	1	1
0.213143	DL	21	3	0	1	1	21	0	1	15970	28	1	0	43.0344	15	0	0
0.213143	DL	21	3	0	1	1	67	0	1	15970	28	1	0	62.637	15	0	0
0.213143	DL	21	3	0	1	1	85	0	1	15970	28	1	0	39.392	15	0	0
0.213143	DL	21	3	0	1	1	111	0	1	15970	28	1	0	34.523	15	0	0
0.213143	DL	21	3	0	1	1	151	0	1	15970	28	1	0	32.4326	15	0	0
0.213286	DL	21	3	0	1	3	41	0	2	1390	0	1	0	14.4168	11	0	0
0.213286	DL	21	3	0	1	3	61	0	2	1390	0	1	0	-5.49095	1	0	0
0.213357	DL	21	3	0	4	1	41	0	1	15970	28	1	0	54.0424	15	0	0
0.213357	DL	21	3	0	4	1	61	0	1	15970	28	1	0	61.41	15	0	0
0.218929	DL	21	8	0	1	12	11	0	1	1736	6	1	1	28.3988	15	0	0
0.223143	DL	22	3	0	1	1	21	0	1	15970	28	1	0	43.0113	15	0	0
0.223143	DL	22	3	0	1	1	67	0	1	15970	28	1	0	63.5249	15	0	0
0.223143	DL	22	3	0	1	1	85	0	1	15970	28	1	0	39.3425	15	0	0
0.223143	DL	22	3	0	1	1	111	0	1	15970	28	1	0	34.5217	15	0	0
0.223143	DL	22	3	0	1	1	151	0	1	15970	28	1	0	32.479	15	0	0
0.223286	DL	22	3	0	1	3	11	0	1	1390	0	1	0	11.9044	10	0	0
0.223286	DL	22	3	0	1	3	41	0	2	1390	0	1	0	15.3263	10	0	0
0.223286	DL	22	3	0	1	3	61	0	2	1390	0	1	0	-14.5226	0	1	1
0.223357	DL	22	3	0	4	1	41	0	1	15970	28	1	0	54.5767	15	0	0
0.223357	DL	22	3	0	4	1	61	0	1	15970	28	1	0	61.4091	15	0	0
0.228929	DL	22	8	0	1	12	61	0	2	1390	0	1	1	20.5851	13	0	0
0.233143	DL	23	3	0	1	1	11	0	1	1100	4	1	0	-7.6227	0	1	1
0.233143	DL	23	3	0	1	1	21	0	1	15970	28	1	0	42.8659	15	0	0
0.233143	DL	23	3	0	1	1	67	0	1	15970	28	1	0	62.2965	15	0	0
0.233143	DL	23	3	0	1	1	85	0	1	15970	28	1	0	39.4491	15	0	0
0.233143	DL	23	3	0	1	1	111	0	1	15970	28	1	0	34.5399	15	0	0
0.233143	DL	23	3	0	1	1	151	0	1	15970	28	1	0	32.415	15	0	0
0.233214	DL	23	3	0	1	2	41	0	2	1274	2	1	0	17.3897	12	0	0
0.233286	DL	23	3	0	1	3	61	0	2	1390	0	1	0	-7.07555	0	1	0.883075
0.233286	DL	23	3	0	3	1	41	0	1	15970	28	1	0	49.6957	15	0	0
0.233357	DL	23	3	0	4	1	61	0	1	15970	28	1	0	61.637	15	0	0
0.238929	DL	23	8	0	1	12	11	0	1	1100	4	1	1	19.0633	14	0	0
0.238929	DL	23	8	0	1	12	61	0	2	1390	0	1	1	20.0523	8	0	0
0.243143	DL	24	3	0	1	1	21	0	1	15970	28	1	0	42.8649	15	0	0
0.243143	DL	24	3	0	1	1	67	0	1	15970	28	1	0	63.5613	15	0	0
0.243143	DL	24	3	0	1	1	85	0	1	15970	28	1	0	39.3298	15	0	0
0.243143	DL	24	3	0	1	1	111	0	1	15970	28	1	0	34.5457	15	0	0
0.243143	DL	24	3	0	1	1	151	0	1	15970	28	1	0	32.4456	15	0	0
0.243214	DL	24	3	0	1	2	41	0	2	1274	2	1	0	15.7807	12	0	0
0.243286	DL	24	3	0	1	3	11	0	1	1390	0	1	0	11.5032	9	0	0
0.243286	DL	24	3	0	1	3	61	0	2	1390	0	1	0	-14.6416	0	1	1
0.243286	DL	24	3	0	3	1	41	0	1	15970	28	1	0	49.6722	15	0	0
0.243357	DL	24	3	0	4	1	61	0	1	15970	28	1	0	61.6237	15	0	0
0.248929	DL	24	8	0	1	12	61	0	2	1390	0	1	1	20.5235	13	0	0
0.253143	DL	25	3	0	1	1	11	0	1	1100	4	1	0	-10.2692	0	1	1
0.253143	DL	25	3	0	1	1	21	0	1	15970	28	1	0	43.2508	15	0	0
0.253143	DL	25	3	0	1	1	67	0	1	15970	28	1	0	58.7437	15	0	0
0.253143	DL	25	3	0	1	1	85	0	1	15970	28	1	0	35.0647	15	0	0
0.253143	DL	25	3	0	1	1	111	0	1	15970	28	1	0	25.6892	15	0	0
0.253143	DL	25	3	0	1	1	151	0	1	15970	28	1	0	31.0871	15	0	0
0.253214	DL	25	3	0	1	2	41	0	2	1274	2	1	0	21.9329	14	0	0
0.253286	DL	25	3	0	1	3	61	0	2	1390	0	1	0	10.7336	8	0	0
