Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.018	gNB PHY Rxed	1	7	0	151	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	61	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	61	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	41	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	41	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	11	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	111	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	85	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	21	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	67	0	0	RACH_PREAMBLE
0.0289286	gNB PHY Rxed	2	8	0	11	0	0	SRS
0.0349286	gNB PHY Rxed	3	4	0	61	0	0	SRS
0.0429286	gNB PHY Rxed	4	2	0	61	0	0	SRS
0.0429286	gNB PHY Rxed	4	2	0	85	0	0	SRS
0.0639286	gNB PHY Rxed	6	3	0	111	0	0	SRS
0.0649286	gNB PHY Rxed	6	4	0	41	0	0	SRS
0.0699286	gNB PHY Rxed	6	9	0	67	0	0	SRS
0.0779286	gNB PHY Rxed	7	7	0	41	0	0	SRS
0.0869286	gNB PHY Rxed	8	6	0	151	0	0	SRS
0.0869286	gNB PHY Rxed	8	6	0	21	0	0	SRS
0.108929	gNB PHY Rxed	10	8	0	11	0	0	SRS
0.114929	gNB PHY Rxed	11	4	0	61	0	0	SRS
0.122929	gNB PHY Rxed	12	2	0	61	0	0	SRS
0.122929	gNB PHY Rxed	12	2	0	85	0	0	SRS
0.143929	gNB PHY Rxed	14	3	0	111	0	0	SRS
0.144929	gNB PHY Rxed	14	4	0	41	0	0	SRS
0.149929	gNB PHY Rxed	14	9	0	67	0	0	SRS
0.157929	gNB PHY Rxed	15	7	0	41	0	0	SRS
0.166929	gNB PHY Rxed	16	6	0	151	0	0	SRS
0.166929	gNB PHY Rxed	16	6	0	21	0	0	SRS
0.188929	gNB PHY Rxed	18	8	0	11	0	0	SRS
0.194929	gNB PHY Rxed	19	4	0	61	0	0	SRS
0.202929	gNB PHY Rxed	20	2	0	61	0	0	SRS
0.202929	gNB PHY Rxed	20	2	0	85	0	0	SRS
0.206	gNB PHY Rxed	20	5	0	111	1	0	DL_HARQ
0.206	gNB PHY Rxed	20	5	0	67	1	0	DL_HARQ
0.206	gNB PHY Rxed	20	5	0	41	2	0	DL_HARQ
0.206	gNB PHY Rxed	20	5	0	41	1	0	DL_HARQ
0.206	gNB PHY Rxed	20	5	0	151	1	0	DL_HARQ
0.206	gNB PHY Rxed	20	5	0	21	1	0	DL_HARQ
0.206	gNB PHY Rxed	20	5	0	11	1	0	DL_HARQ
0.206	gNB PHY Rxed	20	5	0	61	2	0	DL_HARQ
0.206	gNB PHY Rxed	20	5	0	61	1	0	DL_HARQ
0.206	gNB PHY Rxed	20	5	0	85	1	0	DL_HARQ
0.207	gNB PHY Rxed	20	6	0	111	1	0	DL_CQI
0.207	gNB PHY Rxed	20	6	0	67	1	0	DL_CQI
0.207	gNB PHY Rxed	20	6	0	41	2	0	DL_CQI
0.207	gNB PHY Rxed	20	6	0	41	1	0	DL_CQI
0.207	gNB PHY Rxed	20	6	0	151	1	0	DL_CQI
0.207	gNB PHY Rxed	20	6	0	21	1	0	DL_CQI
0.207	gNB PHY Rxed	20	6	0	11	1	0	DL_CQI
0.207	gNB PHY Rxed	20	6	0	61	2	0	DL_CQI
0.207	gNB PHY Rxed	20	6	0	61	1	0	DL_CQI
0.207	gNB PHY Rxed	20	6	0	85	1	0	DL_CQI
0.211	gNB PHY Rxed	21	0	0	61	2	0	DL_HARQ
0.212	gNB PHY Rxed	21	1	0	61	2	0	DL_CQI
0.216	gNB PHY Rxed	21	5	0	111	1	0	DL_HARQ
0.216	gNB PHY Rxed	21	5	0	67	1	0	DL_HARQ
0.216	gNB PHY Rxed	21	5	0	151	1	0	DL_HARQ
0.216	gNB PHY Rxed	21	5	0	21	1	0	DL_HARQ
0.216	gNB PHY Rxed	21	5	0	11	1	0	DL_HARQ
0.216	gNB PHY Rxed	21	5	0	85	1	0	DL_HARQ
0.216	gNB PHY Rxed	21	5	0	41	2	0	DL_HARQ
0.216	gNB PHY Rxed	21	5	0	41	1	0	DL_HARQ
0.216	gNB PHY Rxed	21	5	0	61	2	0	DL_HARQ
0.216	gNB PHY Rxed	21	5	0	61	1	0	DL_HARQ
0.217	gNB PHY Rxed	21	6	0	111	1	0	DL_CQI
0.217	gNB PHY Rxed	21	6	0	67	1	0	DL_CQI
0.217	gNB PHY Rxed	21	6	0	151	1	0	DL_CQI
0.217	gNB PHY Rxed	21	6	0	21	1	0	DL_CQI
0.217	gNB PHY Rxed	21	6	0	11	1	0	DL_CQI
0.217	gNB PHY Rxed	21	6	0	85	1	0	DL_CQI
0.217	gNB PHY Rxed	21	6	0	41	2	0	DL_CQI
0.217	gNB PHY Rxed	21	6	0	41	1	0	DL_CQI
0.217	gNB PHY Rxed	21	6	0	61	2	0	DL_CQI
0.217	gNB PHY Rxed	21	6	0	61	1	0	DL_CQI
0.221	gNB PHY Rxed	22	0	0	11	1	0	DL_HARQ
0.222	gNB PHY Rxed	22	1	0	11	1	0	DL_CQI
0.223929	gNB PHY Rxed	22	3	0	111	0	0	SRS
0.224929	gNB PHY Rxed	22	4	0	41	0	0	SRS
0.226	gNB PHY Rxed	22	5	0	67	1	0	DL_HARQ
0.226	gNB PHY Rxed	22	5	0	151	1	0	DL_HARQ
0.226	gNB PHY Rxed	22	5	0	21	1	0	DL_HARQ
0.226	gNB PHY Rxed	22	5	0	85	1	0	DL_HARQ
0.226	gNB PHY Rxed	22	5	0	41	2	0	DL_HARQ
0.226	gNB PHY Rxed	22	5	0	41	1	0	DL_HARQ
0.226	gNB PHY Rxed	22	5	0	61	2	0	DL_HARQ
0.226	gNB PHY Rxed	22	5	0	61	1	0	DL_HARQ
0.226	gNB PHY Rxed	22	5	0	11	1	0	DL_HARQ
0.226	gNB PHY Rxed	22	5	0	111	1	0	DL_HARQ
0.227	gNB PHY Rxed	22	6	0	67	1	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	151	1	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	21	1	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	85	1	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	41	2	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	41	1	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	61	2	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	61	1	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	11	1	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	111	1	0	DL_CQI
0.229929	gNB PHY Rxed	22	9	0	67	0	0	SRS
0.231	gNB PHY Rxed	23	0	0	61	2	0	DL_HARQ
0.232	gNB PHY Rxed	23	1	0	61	2	0	DL_CQI
0.236	gNB PHY Rxed	23	5	0	151	1	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	21	1	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	85	1	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	11	1	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	111	1	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	67	1	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	41	2	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	41	1	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	61	2	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	61	1	0	DL_HARQ
0.237	gNB PHY Rxed	23	6	0	151	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	21	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	85	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	11	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	111	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	67	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	41	2	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	41	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	61	2	0	DL_CQI
