Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
7.1427e-05	UE  PHY Rxed	0	0	0	11	0	0	MIB
7.1427e-05	UE  PHY Rxed	0	0	0	21	0	0	MIB
7.1427e-05	UE  PHY Rxed	0	0	0	41	0	0	MIB
7.1427e-05	UE  PHY Rxed	0	0	0	41	0	0	MIB
7.1427e-05	UE  PHY Rxed	0	0	0	61	0	0	MIB
7.1427e-05	UE  PHY Rxed	0	0	0	61	0	0	MIB
7.1427e-05	UE  PHY Rxed	0	0	0	67	0	0	MIB
7.1427e-05	UE  PHY Rxed	0	0	0	85	0	0	MIB
7.1427e-05	UE  PHY Rxed	0	0	0	111	0	0	MIB
7.1427e-05	UE  PHY Rxed	0	0	0	151	0	0	MIB
0.00507143	UE  PHY Rxed	0	5	0	11	0	0	SIB1
0.00507143	UE  PHY Rxed	0	5	0	21	0	0	SIB1
0.00507143	UE  PHY Rxed	0	5	0	41	0	0	SIB1
0.00507143	UE  PHY Rxed	0	5	0	41	0	0	SIB1
0.00507143	UE  PHY Rxed	0	5	0	61	0	0	SIB1
0.00507143	UE  PHY Rxed	0	5	0	61	0	0	SIB1
0.00507143	UE  PHY Rxed	0	5	0	67	0	0	SIB1
0.00507143	UE  PHY Rxed	0	5	0	85	0	0	SIB1
0.00507143	UE  PHY Rxed	0	5	0	111	0	0	SIB1
0.00507143	UE  PHY Rxed	0	5	0	151	0	0	SIB1
0.0100714	UE  PHY Rxed	1	0	0	11	0	0	MIB
0.0100714	UE  PHY Rxed	1	0	0	21	0	0	MIB
0.0100714	UE  PHY Rxed	1	0	0	41	0	0	MIB
0.0100714	UE  PHY Rxed	1	0	0	41	0	0	MIB
0.0100714	UE  PHY Rxed	1	0	0	61	0	0	MIB
0.0100714	UE  PHY Rxed	1	0	0	61	0	0	MIB
0.0100714	UE  PHY Rxed	1	0	0	67	0	0	MIB
0.0100714	UE  PHY Rxed	1	0	0	85	0	0	MIB
0.0100714	UE  PHY Rxed	1	0	0	111	0	0	MIB
0.0100714	UE  PHY Rxed	1	0	0	151	0	0	MIB
0.0150714	UE  PHY Rxed	1	5	0	11	0	0	SIB1
0.0150714	UE  PHY Rxed	1	5	0	21	0	0	SIB1
0.0150714	UE  PHY Rxed	1	5	0	41	0	0	SIB1
0.0150714	UE  PHY Rxed	1	5	0	41	0	0	SIB1
0.0150714	UE  PHY Rxed	1	5	0	61	0	0	SIB1
0.0150714	UE  PHY Rxed	1	5	0	61	0	0	SIB1
0.0150714	UE  PHY Rxed	1	5	0	67	0	0	SIB1
0.0150714	UE  PHY Rxed	1	5	0	85	0	0	SIB1
0.0150714	UE  PHY Rxed	1	5	0	111	0	0	SIB1
0.0150714	UE  PHY Rxed	1	5	0	151	0	0	SIB1
0.0200714	UE  PHY Rxed	2	0	0	11	1	0	RAR
0.0200714	UE  PHY Rxed	2	0	0	11	1	0	MIB
0.0200714	UE  PHY Rxed	2	0	0	21	1	0	RAR
0.0200714	UE  PHY Rxed	2	0	0	21	1	0	MIB
0.0200714	UE  PHY Rxed	2	0	0	41	1	0	RAR
0.0200714	UE  PHY Rxed	2	0	0	41	1	0	MIB
0.0200714	UE  PHY Rxed	2	0	0	41	2	0	RAR
0.0200714	UE  PHY Rxed	2	0	0	41	2	0	MIB
0.0200714	UE  PHY Rxed	2	0	0	61	1	0	RAR
0.0200714	UE  PHY Rxed	2	0	0	61	1	0	MIB
0.0200714	UE  PHY Rxed	2	0	0	61	2	0	RAR
0.0200714	UE  PHY Rxed	2	0	0	61	2	0	MIB
0.0200714	UE  PHY Rxed	2	0	0	67	1	0	RAR
0.0200714	UE  PHY Rxed	2	0	0	67	1	0	MIB
0.0200714	UE  PHY Rxed	2	0	0	85	1	0	RAR
0.0200714	UE  PHY Rxed	2	0	0	85	1	0	MIB
0.0200714	UE  PHY Rxed	2	0	0	111	1	0	RAR
0.0200714	UE  PHY Rxed	2	0	0	111	1	0	MIB
0.0200714	UE  PHY Rxed	2	0	0	151	1	0	RAR
0.0200714	UE  PHY Rxed	2	0	0	151	1	0	MIB
0.0250714	UE  PHY Rxed	2	5	0	11	1	0	SIB1
0.0250714	UE  PHY Rxed	2	5	0	21	1	0	SIB1
0.0250714	UE  PHY Rxed	2	5	0	41	1	0	SIB1
0.0250714	UE  PHY Rxed	2	5	0	41	2	0	SIB1
0.0250714	UE  PHY Rxed	2	5	0	61	1	0	SIB1
0.0250714	UE  PHY Rxed	2	5	0	61	2	0	SIB1
0.0250714	UE  PHY Rxed	2	5	0	67	1	0	SIB1
0.0250714	UE  PHY Rxed	2	5	0	85	1	0	SIB1
0.0250714	UE  PHY Rxed	2	5	0	111	1	0	SIB1
0.0250714	UE  PHY Rxed	2	5	0	151	1	0	SIB1
0.0260714	UE  PHY Rxed	2	6	0	11	1	0	UL_DCI
0.0300714	UE  PHY Rxed	3	0	0	11	1	0	MIB
0.0300714	UE  PHY Rxed	3	0	0	21	1	0	MIB
0.0300714	UE  PHY Rxed	3	0	0	41	1	0	MIB
0.0300714	UE  PHY Rxed	3	0	0	41	2	0	MIB
0.0300714	UE  PHY Rxed	3	0	0	61	1	0	MIB
0.0300714	UE  PHY Rxed	3	0	0	61	2	0	MIB
0.0300714	UE  PHY Rxed	3	0	0	67	1	0	MIB
0.0300714	UE  PHY Rxed	3	0	0	85	1	0	MIB
0.0300714	UE  PHY Rxed	3	0	0	111	1	0	MIB
0.0300714	UE  PHY Rxed	3	0	0	151	1	0	MIB
0.0320714	UE  PHY Rxed	3	2	0	61	1	0	UL_DCI
0.0320714	UE  PHY Rxed	3	2	0	61	2	0	UL_DCI
0.0350714	UE  PHY Rxed	3	5	0	11	1	0	SIB1
0.0350714	UE  PHY Rxed	3	5	0	21	1	0	SIB1
0.0350714	UE  PHY Rxed	3	5	0	41	1	0	SIB1
0.0350714	UE  PHY Rxed	3	5	0	41	2	0	SIB1
0.0350714	UE  PHY Rxed	3	5	0	61	1	0	SIB1
0.0350714	UE  PHY Rxed	3	5	0	61	2	0	SIB1
0.0350714	UE  PHY Rxed	3	5	0	67	1	0	SIB1
0.0350714	UE  PHY Rxed	3	5	0	85	1	0	SIB1
0.0350714	UE  PHY Rxed	3	5	0	111	1	0	SIB1
0.0350714	UE  PHY Rxed	3	5	0	151	1	0	SIB1
0.0400714	UE  PHY Rxed	4	0	0	11	1	0	MIB
0.0400714	UE  PHY Rxed	4	0	0	21	1	0	MIB
0.0400714	UE  PHY Rxed	4	0	0	41	1	0	MIB
0.0400714	UE  PHY Rxed	4	0	0	41	2	0	MIB
0.0400714	UE  PHY Rxed	4	0	0	61	1	0	UL_DCI
0.0400714	UE  PHY Rxed	4	0	0	61	1	0	MIB
0.0400714	UE  PHY Rxed	4	0	0	61	2	0	UL_DCI
0.0400714	UE  PHY Rxed	4	0	0	61	2	0	MIB
0.0400714	UE  PHY Rxed	4	0	0	67	1	0	MIB
0.0400714	UE  PHY Rxed	4	0	0	85	1	0	UL_DCI
0.0400714	UE  PHY Rxed	4	0	0	85	1	0	MIB
0.0400714	UE  PHY Rxed	4	0	0	111	1	0	MIB
0.0400714	UE  PHY Rxed	4	0	0	151	1	0	MIB
0.0450714	UE  PHY Rxed	4	5	0	11	1	0	SIB1
0.0450714	UE  PHY Rxed	4	5	0	21	1	0	SIB1
0.0450714	UE  PHY Rxed	4	5	0	41	1	0	SIB1
0.0450714	UE  PHY Rxed	4	5	0	41	2	0	SIB1
0.0450714	UE  PHY Rxed	4	5	0	61	1	0	SIB1
0.0450714	UE  PHY Rxed	4	5	0	61	2	0	SIB1
0.0450714	UE  PHY Rxed	4	5	0	67	1	0	SIB1
0.0450714	UE  PHY Rxed	4	5	0	85	1	0	SIB1
0.0450714	UE  PHY Rxed	4	5	0	111	1	0	SIB1
0.0450714	UE  PHY Rxed	4	5	0	151	1	0	SIB1
0.0500714	UE  PHY Rxed	5	0	0	11	1	0	MIB
0.0500714	UE  PHY Rxed	5	0	0	21	1	0	MIB
0.0500714	UE  PHY Rxed	5	0	0	41	1	0	MIB
0.0500714	UE  PHY Rxed	5	0	0	41	2	0	MIB
0.0500714	UE  PHY Rxed	5	0	0	61	1	0	MIB
0.0500714	UE  PHY Rxed	5	0	0	61	2	0	MIB
0.0500714	UE  PHY Rxed	5	0	0	67	1	0	MIB
0.0500714	UE  PHY Rxed	5	0	0	85	1	0	MIB
0.0500714	UE  PHY Rxed	5	0	0	111	1	0	MIB
0.0500714	UE  PHY Rxed	5	0	0	151	1	0	MIB
0.0550714	UE  PHY Rxed	5	5	0	11	1	0	SIB1
0.0550714	UE  PHY Rxed	5	5	0	21	1	0	SIB1
0.0550714	UE  PHY Rxed	5	5	0	41	1	0	SIB1
0.0550714	UE  PHY Rxed	5	5	0	41	2	0	SIB1
0.0550714	UE  PHY Rxed	5	5	0	61	1	0	SIB1
0.0550714	UE  PHY Rxed	5	5	0	61	2	0	SIB1
0.0550714	UE  PHY Rxed	5	5	0	67	1	0	SIB1
0.0550714	UE  PHY Rxed	5	5	0	85	1	0	SIB1
0.0550714	UE  PHY Rxed	5	5	0	111	1	0	SIB1
0.0550714	UE  PHY Rxed	5	5	0	151	1	0	SIB1
0.0600714	UE  PHY Rxed	6	0	0	11	1	0	MIB
0.0600714	UE  PHY Rxed	6	0	0	21	1	0	MIB
0.0600714	UE  PHY Rxed	6	0	0	41	1	0	MIB
0.0600714	UE  PHY Rxed	6	0	0	41	2	0	MIB
0.0600714	UE  PHY Rxed	6	0	0	61	1	0	MIB
0.0600714	UE  PHY Rxed	6	0	0	61	2	0	MIB
0.0600714	UE  PHY Rxed	6	0	0	67	1	0	MIB
0.0600714	UE  PHY Rxed	6	0	0	85	1	0	MIB
0.0600714	UE  PHY Rxed	6	0	0	111	1	0	MIB
0.0600714	UE  PHY Rxed	6	0	0	151	1	0	MIB
0.0610714	UE  PHY Rxed	6	1	0	111	1	0	UL_DCI
0.0620714	UE  PHY Rxed	6	2	0	41	1	0	UL_DCI
0.0620714	UE  PHY Rxed	6	2	0	41	2	0	UL_DCI
0.0650714	UE  PHY Rxed	6	5	0	11	1	0	SIB1
0.0650714	UE  PHY Rxed	6	5	0	21	1	0	SIB1
0.0650714	UE  PHY Rxed	6	5	0	41	1	0	SIB1
0.0650714	UE  PHY Rxed	6	5	0	41	2	0	SIB1
0.0650714	UE  PHY Rxed	6	5	0	61	1	0	SIB1
0.0650714	UE  PHY Rxed	6	5	0	61	2	0	SIB1
0.0650714	UE  PHY Rxed	6	5	0	67	1	0	SIB1
0.0650714	UE  PHY Rxed	6	5	0	85	1	0	SIB1
0.0650714	UE  PHY Rxed	6	5	0	111	1	0	SIB1
0.0650714	UE  PHY Rxed	6	5	0	151	1	0	SIB1
0.0670714	UE  PHY Rxed	6	7	0	67	1	0	UL_DCI
0.0700714	UE  PHY Rxed	7	0	0	11	1	0	MIB
0.0700714	UE  PHY Rxed	7	0	0	21	1	0	MIB
0.0700714	UE  PHY Rxed	7	0	0	41	1	0	MIB
0.0700714	UE  PHY Rxed	7	0	0	41	2	0	MIB
0.0700714	UE  PHY Rxed	7	0	0	61	1	0	MIB
0.0700714	UE  PHY Rxed	7	0	0	61	2	0	MIB
0.0700714	UE  PHY Rxed	7	0	0	67	1	0	MIB
0.0700714	UE  PHY Rxed	7	0	0	85	1	0	MIB
0.0700714	UE  PHY Rxed	7	0	0	111	1	0	MIB
0.0700714	UE  PHY Rxed	7	0	0	151	1	0	MIB
0.0750714	UE  PHY Rxed	7	5	0	11	1	0	SIB1
0.0750714	UE  PHY Rxed	7	5	0	21	1	0	SIB1
0.0750714	UE  PHY Rxed	7	5	0	41	1	0	UL_DCI
0.0750714	UE  PHY Rxed	7	5	0	41	1	0	SIB1
0.0750714	UE  PHY Rxed	7	5	0	41	2	0	UL_DCI
0.0750714	UE  PHY Rxed	7	5	0	41	2	0	SIB1
0.0750714	UE  PHY Rxed	7	5	0	61	1	0	SIB1
0.0750714	UE  PHY Rxed	7	5	0	61	2	0	SIB1
0.0750714	UE  PHY Rxed	7	5	0	67	1	0	SIB1
0.0750714	UE  PHY Rxed	7	5	0	85	1	0	SIB1
0.0750714	UE  PHY Rxed	7	5	0	111	1	0	SIB1
0.0750714	UE  PHY Rxed	7	5	0	151	1	0	SIB1
0.0800714	UE  PHY Rxed	8	0	0	11	1	0	MIB
0.0800714	UE  PHY Rxed	8	0	0	21	1	0	MIB
0.0800714	UE  PHY Rxed	8	0	0	41	1	0	MIB
0.0800714	UE  PHY Rxed	8	0	0	41	2	0	MIB
0.0800714	UE  PHY Rxed	8	0	0	61	1	0	MIB
0.0800714	UE  PHY Rxed	8	0	0	61	2	0	MIB
0.0800714	UE  PHY Rxed	8	0	0	67	1	0	MIB
0.0800714	UE  PHY Rxed	8	0	0	85	1	0	MIB
0.0800714	UE  PHY Rxed	8	0	0	111	1	0	MIB
0.0800714	UE  PHY Rxed	8	0	0	151	1	0	MIB
0.0840714	UE  PHY Rxed	8	4	0	21	1	0	UL_DCI
0.0840714	UE  PHY Rxed	8	4	0	151	1	0	UL_DCI
0.0850714	UE  PHY Rxed	8	5	0	11	1	0	SIB1
0.0850714	UE  PHY Rxed	8	5	0	21	1	0	SIB1
0.0850714	UE  PHY Rxed	8	5	0	41	1	0	SIB1
0.0850714	UE  PHY Rxed	8	5	0	41	2	0	SIB1
0.0850714	UE  PHY Rxed	8	5	0	61	1	0	SIB1
0.0850714	UE  PHY Rxed	8	5	0	61	2	0	SIB1
0.0850714	UE  PHY Rxed	8	5	0	67	1	0	SIB1
0.0850714	UE  PHY Rxed	8	5	0	85	1	0	SIB1
0.0850714	UE  PHY Rxed	8	5	0	111	1	0	SIB1
0.0850714	UE  PHY Rxed	8	5	0	151	1	0	SIB1
0.0900714	UE  PHY Rxed	9	0	0	11	1	0	MIB
0.0900714	UE  PHY Rxed	9	0	0	21	1	0	MIB
