Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	151	0	100	-196.012
0.0179286	61	0	101	-188.79
0.0179286	41	0	102	-190.057
0.0179286	11	0	103	-223.155
0.0179286	111	0	104	-196.99
0.0179286	85	0	105	-193.023
0.0179286	61	0	106	-236.975
0.0179286	41	0	107	-202.457
0.0179286	21	0	108	-191.77
0.0179286	67	0	109	-178.838
0.0288571	11	0	103	-223.155
0.0348571	61	0	101	-188.79
0.0428571	61	0	106	-236.975
0.0428571	85	0	105	-193.023
0.0638571	111	0	104	-195.884
0.0648571	41	0	102	-192.986
0.0698571	67	0	109	-178.043
0.0778571	41	0	107	-227.993
0.0868571	151	0	100	-194.772
0.0868571	21	0	108	-190.928
0.108857	11	0	103	-229.375
0.114857	61	0	101	-190.243
0.122857	61	0	106	-230.493
0.122857	85	0	105	-194.004
0.143857	111	0	104	-196.728
0.144857	41	0	102	-191.73
0.149857	67	0	109	-181.462
0.157857	41	0	107	-197.901
0.166857	151	0	100	-193.753
0.166857	21	0	108	-191.755
0.188857	11	0	103	-212.485
0.194857	61	0	101	-189.377
0.202857	61	0	106	-228.194
0.202857	85	0	105	-196.679
0.205929	111	0	104	-192.588
0.205929	67	0	109	-176.047
0.205929	41	0	107	-219.588
0.205929	151	0	100	-190.705
0.205929	21	0	108	-191.464
0.205929	11	0	103	-220.774
0.205929	61	0	106	-228.194
0.205929	85	0	105	-196.679
0.205929	41	0	102	-190.105
0.205929	61	0	101	-187
0.206929	111	0	104	-192.588
0.206929	67	0	109	-176.047
0.206929	41	0	107	-219.588
0.206929	151	0	100	-190.705
0.206929	21	0	108	-191.464
0.206929	11	0	103	-220.774
0.206929	61	0	106	-228.194
0.206929	85	0	105	-196.679
0.206929	41	0	102	-190.105
0.206929	61	0	101	-187
0.210929	61	0	106	-228.194
0.211929	61	0	106	-228.194
0.215929	111	0	104	-192.588
0.215929	67	0	109	-176.047
0.215929	151	0	100	-190.705
0.215929	21	0	108	-191.464
0.215929	11	0	103	-220.774
0.215929	85	0	105	-196.679
0.215929	41	0	107	-219.588
0.215929	61	0	106	-228.194
0.215929	41	0	102	-190.105
0.215929	61	0	101	-187
0.216929	111	0	104	-192.588
0.216929	67	0	109	-176.047
0.216929	151	0	100	-190.705
0.216929	21	0	108	-191.464
0.216929	11	0	103	-220.774
