Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	22.2676
0.00507143	1	0	0	22.92
0.0100714	1	0	0	23.2389
0.0150714	1	0	0	20.0654
0.0200714	1	0	0	20.1505
0.0240714	1	1	0	20.0708
0.0250714	1	1	0	20.1104
0.0300714	1	1	0	19.7986
0.0350714	1	1	0	19.7956
0.0400714	1	1	0	22.2984
0.0450714	1	1	0	22.2761
0.0500714	1	1	0	22.2495
0.0550714	1	1	0	22.0654
0.0600714	1	1	0	22.1327
0.0650714	1	1	0	22.12
0.0700714	1	1	0	20.6078
0.0750714	1	1	0	20.637
0.0800714	1	1	0	20.6254
0.0850714	1	1	0	20.2044
0.0900714	1	1	0	20.2111
0.0950714	1	1	0	20.2239
0.100071	1	1	0	24.8884
0.104071	1	1	0	24.4524
0.105071	1	1	0	24.6129
0.110071	1	1	0	24.7345
0.115071	1	1	0	25.5111
0.120071	1	1	0	25.5112
0.125071	1	1	0	25.5113
0.130071	1	1	0	24.3201
0.135071	1	1	0	24.3201
0.140071	1	1	0	24.3201
0.145071	1	1	0	25.5768
0.150071	1	1	0	25.4032
0.155071	1	1	0	25.2663
0.160071	1	1	0	27.1688
0.165071	1	1	0	27.1524
0.170071	1	1	0	27.1553
0.175071	1	1	0	25.8135
0.180071	1	1	0	25.7979
0.184071	1	1	0	25.8127
0.185071	1	1	0	25.7923
0.190071	1	1	0	25.2553
0.195071	1	1	0	25.2603
0.200071	1	1	0	27.3473
0.203071	1	1	0	27.3415
0.205071	1	1	0	27.3439
0.210071	1	1	0	27.3412
0.213071	1	1	0	25.2981
0.215071	1	1	0	25.2947
0.220071	1	1	0	25.2892
0.223071	1	1	0	25.2975
0.225071	1	1	0	23.7553
0.230071	1	1	0	23.7553
0.233071	1	1	0	23.7553
0.235071	1	1	0	25.1751
0.240071	1	1	0	25.2059
0.243071	1	1	0	25.1785
0.245071	1	1	0	25.1801
0.250071	1	1	0	23.8694
0.253071	1	1	0	23.7462
0.255071	1	1	0	23.9268
0.260071	1	1	0	22.4207
0.263071	1	1	0	22.4255
0.264071	1	1	0	22.4291
0.265071	1	1	0	22.4336
0.270071	1	1	0	23.9191
0.273071	1	1	0	23.741
0.275071	1	1	0	23.7064
0.280071	1	1	0	23.5235
0.283071	1	1	0	23.7601
0.285071	1	1	0	24.3262
0.290071	1	1	0	24.4699
0.293071	1	1	0	23.8446
0.295071	1	1	0	23.8344
0.300071	1	1	0	25.5105
0.305071	1	1	0	25.196
0.310071	1	1	0	25.1455
0.315071	1	1	0	25.148
0.320071	1	1	0	28.9787
0.325071	1	1	0	28.9529
0.330071	1	1	0	29.0251
0.335071	1	1	0	27.4757
0.340071	1	1	0	27.483
0.344071	1	1	0	27.4829
0.345071	1	1	0	27.4719
0.350071	1	1	0	25.6252
0.355071	1	1	0	25.3714
0.360071	1	1	0	28.335
0.365071	1	1	0	28.3305
0.370071	1	1	0	28.3286
0.375071	1	1	0	30.0679
0.380071	1	1	0	30.0682
0.385071	1	1	0	30.0682
0.390071	1	1	0	21.2955
0.395071	1	1	0	21.3349
0.400071	1	1	0	22.7768
0.405071	1	1	0	28.6242
0.410071	1	1	0	28.625
0.415071	1	1	0	28.5903
0.420071	1	1	0	27.4869
0.424071	1	1	0	27.4663
0.425071	1	1	0	27.4575
0.430071	1	1	0	27.4395
0.435071	1	1	0	27.7911
0.440071	1	1	0	27.7876
0.445071	1	1	0	27.7907
0.450071	1	1	0	29.6477
0.455071	1	1	0	29.6242
0.460071	1	1	0	29.621
0.465071	1	1	0	26.3894
0.470071	1	1	0	26.3872
0.475071	1	1	0	26.3804
0.480071	1	1	0	26.3449
0.485071	1	1	0	26.3449
0.490071	1	1	0	26.3449
0.495071	1	1	0	28.9099
0.500071	1	1	0	29.1949
0.504071	1	1	0	29.1949
0.505071	1	1	0	29.1949
0.510071	1	1	0	27.7798
0.515071	1	1	0	27.6425
0.520071	1	1	0	28.2887
0.525071	1	1	0	28.2749
0.530071	1	1	0	28.2979
0.535071	1	1	0	29.0088
0.540071	1	1	0	29.0088
0.545071	1	1	0	29.0088
0.550071	1	1	0	29.6705
0.555071	1	1	0	29.8364
0.560071	1	1	0	29.7017
0.565071	1	1	0	27.0291
0.570071	1	1	0	27.007
0.575071	1	1	0	27.0629
0.580071	1	1	0	28.5767
0.584071	1	1	0	28.5764
0.585071	1	1	0	28.576
0.590071	1	1	0	28.5763
0.595071	1	1	0	30.8495
0.600071	1	1	0	27.485
0.605071	1	1	0	27.485
0.610071	1	1	0	24.6634
0.615071	1	1	0	24.5834
0.620071	1	1	0	24.9969
0.625071	1	1	0	25.7315
0.630071	1	1	0	25.731
0.635071	1	1	0	25.7291
0.640071	1	1	0	25.4805
0.645071	1	1	0	25.4811
0.650071	1	1	0	25.4818
0.655071	1	1	0	26.4252
0.660071	1	1	0	26.4252
0.664071	1	1	0	26.4252
0.665071	1	1	0	26.4252
0.670071	1	1	0	26.3374
0.675071	1	1	0	26.4006
0.680071	1	1	0	15.4519
0.685071	1	1	0	16.1412
0.690071	1	1	0	15.4203
0.695071	1	1	0	20.0132
0.700071	1	1	0	22.2332
0.705071	1	1	0	22.2333
0.710071	1	1	0	25.4527
0.715071	1	1	0	25.4532
0.720071	1	1	0	25.4541
0.725071	1	1	0	25.6844
0.730071	1	1	0	25.6888
0.735071	1	1	0	25.6891
0.740071	1	1	0	23.4741
0.744071	1	1	0	23.3849
0.745071	1	1	0	23.3673
0.750071	1	1	0	23.3195
0.755071	1	1	0	27.8574
0.760071	1	1	0	27.8604
0.765071	1	1	0	27.863
0.770071	1	1	0	25.1092
0.775071	1	1	0	25.1531
0.780071	1	1	0	25.1068
0.785071	1	1	0	28.5972
0.790071	1	1	0	29.1122
0.795071	1	1	0	28.7658
0.800071	1	1	0	22.521
0.805071	1	1	0	22.521
0.810071	1	1	0	22.521
0.815071	1	1	0	25.466
0.820071	1	1	0	25.449
0.824071	1	1	0	25.4615
0.825071	1	1	0	25.4534
0.830071	1	1	0	25.6216
0.835071	1	1	0	25.6213
0.840071	1	1	0	24.9081
0.845071	1	1	0	24.9158
0.850071	1	1	0	24.9155
0.855071	1	1	0	25.1748
0.860071	1	1	0	25.2948
0.865071	1	1	0	25.387
0.870071	1	1	0	26.152
0.875071	1	1	0	26.0774
0.880071	1	1	0	26.1516
0.885071	1	1	0	25.6405
0.890071	1	1	0	25.6268
0.895071	1	1	0	25.6258
0.900071	1	1	0	24.9331
0.904071	1	1	0	25.0903
0.905071	1	1	0	24.9047
0.910071	1	1	0	25.0238
0.915071	1	1	0	26.636
0.920071	1	1	0	26.9034
0.925071	1	1	0	26.0633
0.930071	1	1	0	29.025
0.935071	1	1	0	29.0249
0.940071	1	1	0	29.0262
0.945071	1	1	0	27.9849
0.950071	1	1	0	27.2424
0.955071	1	1	0	27.716
0.960071	1	1	0	25.6734
0.965071	1	1	0	25.6947
0.970071	1	1	0	25.7199
0.975071	1	1	0	28.0036
0.980071	1	1	0	27.9683
0.984071	1	1	0	27.9718
0.985071	1	1	0	27.9466
0.990071	1	1	0	27.8226
0.995071	1	1	0	27.3484
1.00007	1	1	0	20.8968
1.00507	1	1	0	20.8968
1.01007	1	1	0	20.8968
1.01507	1	1	0	23.2152
1.02007	1	1	0	23.3104
1.02507	1	1	0	23.2098
1.03007	1	1	0	21.2193
1.03507	1	1	0	21.2081
1.04007	1	1	0	21.1962
1.04507	1	1	0	22.5145
1.05007	1	1	0	22.479
1.05507	1	1	0	22.4597
1.06007	1	1	0	20.085
1.06407	1	1	0	20.0849
1.06507	1	1	0	19.9916
1.07007	1	1	0	20.0849
1.07507	1	1	0	20.0415
1.08007	1	1	0	20.0415
1.08507	1	1	0	20.0415
1.09007	1	1	0	17.3619
1.09507	1	1	0	17.3615
1.10007	1	1	0	29.7229
1.10507	1	1	0	35.1148
1.11007	1	1	0	35.115
1.11507	1	1	0	35.1151
1.12007	1	1	0	33.7516
1.12507	1	1	0	33.5755
1.13007	1	1	0	33.6795
1.13507	1	1	0	34.028
1.14007	1	1	0	34.027
1.14407	1	1	0	34.0267
1.14507	1	1	0	34.0223
1.15007	1	1	0	31.0048
1.15507	1	1	0	31.8534
1.16007	1	1	0	32.6205
1.16507	1	1	0	32.6205
1.17007	1	1	0	32.6205
1.17507	1	1	0	31.3109
1.18007	1	1	0	31.2953
1.18507	1	1	0	31.318
1.19007	1	1	0	33.4063
1.19507	1	1	0	33.4389
1.20007	1	1	0	23.8786
1.20507	1	1	0	24.2326
1.21007	1	1	0	26.3358
1.21507	1	1	0	23.5684
1.22007	1	1	0	24.0693
1.22407	1	1	0	24.0668
1.22507	1	1	0	24.0654
1.23007	1	1	0	24.0573
1.23507	1	1	0	26.5373
1.24007	1	1	0	26.5399
1.24507	1	1	0	26.5466
1.25007	1	1	0	22.0036
1.25507	1	1	0	22.1516
1.26007	1	1	0	22.2704
1.26507	1	1	0	23.1821
1.27007	1	1	0	23.1821
1.27507	1	1	0	23.1821
1.28007	1	1	0	20.7846
1.28507	1	1	0	20.7919
1.29007	1	1	0	20.7914
1.29507	1	1	0	25.8388
1.30007	1	1	0	27.9916
1.30407	1	1	0	27.9387
1.30507	1	1	0	27.9907
1.31007	1	1	0	26.5329
1.31507	1	1	0	26.4412
1.32007	1	1	0	20.8366
1.32507	1	1	0	20.8437
1.33007	1	1	0	20.8225
1.33507	1	1	0	25.8626
1.34007	1	1	0	25.8909
1.34507	1	1	0	25.8662
1.35007	1	1	0	25.4741
1.35507	1	1	0	25.5381
1.36007	1	1	0	25.4873
1.36507	1	1	0	25.4969
1.37007	1	1	0	25.4968
1.37507	1	1	0	25.4966
1.38007	1	1	0	23.1638
1.38407	1	1	0	23.1382
1.38507	1	1	0	23.1282
1.39007	1	1	0	23.075
1.39507	1	1	0	24.0699
1.40007	1	1	0	22.9035
1.40507	1	1	0	22.9037
1.41007	1	1	0	24.76
1.41507	1	1	0	24.7572
1.42007	1	1	0	24.7486
1.42507	1	1	0	24.7325
1.43007	1	1	0	24.938
1.43507	1	1	0	25.0953
1.44007	1	1	0	26.4309
1.44507	1	1	0	26.4287
1.45007	1	1	0	26.4215
1.45507	1	1	0	24.9536
1.46007	1	1	0	24.9503
1.46407	1	1	0	24.9465
1.46507	1	1	0	24.9662
1.47007	1	1	0	25.3963
1.47507	1	1	0	25.399
1.48007	1	1	0	27.4462
1.48507	1	1	0	27.4462
1.49007	1	1	0	27.4462
1.49507	1	1	0	23.5002
1.50007	1	1	0	19.1544
1.50507	1	1	0	19.144
1.51007	1	1	0	21.158
1.51507	1	1	0	21.3429
1.52007	1	1	0	21.1486
1.52507	1	1	0	19.6404
1.53007	1	1	0	19.6333
1.53507	1	1	0	19.6409
1.54007	1	1	0	18.5149
1.54407	1	1	0	18.549
1.54507	1	1	0	18.5123
1.55007	1	1	0	18.5099
1.55507	1	1	0	18.9415
1.56007	1	1	0	18.9414
1.56507	1	1	0	18.9415
1.57007	1	1	0	20.7347
1.57507	1	1	0	20.7471
1.58007	1	1	0	20.7468
1.58507	1	1	0	21.5495
1.59007	1	1	0	21.5481
1.59507	1	1	0	21.5501
1.60007	1	1	0	27.3336
1.60507	1	1	0	27.351
1.61007	1	1	0	27.3525
1.61507	1	1	0	28.9844
1.62007	1	1	0	28.9832
1.62407	1	1	0	28.9845
1.62507	1	1	0	28.9866
1.63007	1	1	0	26.6221
1.63507	1	1	0	26.581
1.64007	1	1	0	25.3252
1.64507	1	1	0	25.2367
1.65007	1	1	0	25.4795
1.65507	1	1	0	28.188
1.66007	1	1	0	28.1403
1.66507	1	1	0	27.769
1.67007	1	1	0	26.4859
1.67507	1	1	0	26.4862
1.68007	1	1	0	26.4866
1.68507	1	1	0	31.5932
1.69007	1	1	0	31.5979
1.69507	1	1	0	31.6039
1.70007	1	1	0	26.4146
1.70407	1	1	0	26.4146
1.70507	1	1	0	26.4146
1.71007	1	1	0	26.4146
1.71507	1	1	0	27.0047
1.72007	1	1	0	27.0083
1.72507	1	1	0	27.005
1.73007	1	1	0	25.6164
1.73507	1	1	0	25.5532
1.74007	1	1	0	25.4756
1.74507	1	1	0	27.9334
1.75007	1	1	0	27.9205
1.75507	1	1	0	27.9241
1.76007	1	1	0	27.9382
1.76507	1	1	0	27.9387
1.77007	1	1	0	27.9364
1.77507	1	1	0	29.1697
1.78007	1	1	0	29.1853
1.78407	1	1	0	29.1852
1.78507	1	1	0	29.1697
1.79007	1	1	0	28.8646
1.79507	1	1	0	28.6859
1.80007	1	1	0	25.8689
1.80507	1	1	0	25.7966
1.81007	1	1	0	25.899
1.81507	1	1	0	23.7351
1.82007	1	1	0	23.7328
1.82507	1	1	0	23.7293
1.83007	1	1	0	25.3033
1.83507	1	1	0	25.3016
1.84007	1	1	0	25.3045
1.84507	1	1	0	25.8507
1.85007	1	1	0	25.8582
1.85507	1	1	0	25.8581
1.86007	1	1	0	25.809
1.86407	1	1	0	25.8088
1.86507	1	1	0	25.8081
1.87007	1	1	0	25.8095
1.87507	1	1	0	27.0352
1.88007	1	1	0	27.0335
1.88507	1	1	0	27.0342
1.89007	1	1	0	24.6226
1.89507	1	1	0	24.6176
1.90007	1	1	0	25.2892
1.90507	1	1	0	23.2211
1.91007	1	1	0	23.1488
1.91507	1	1	0	23.6279
1.92007	1	1	0	26.0244
1.92507	1	1	0	26.0407
1.93007	1	1	0	26.0679
1.93507	1	1	0	20.8924
1.94007	1	1	0	20.8881
1.94407	1	1	0	20.861
1.94507	1	1	0	20.8794
1.95007	1	1	0	25.7352
1.95507	1	1	0	25.7278
1.96007	1	1	0	26.7309
1.96507	1	1	0	26.7395
1.97007	1	1	0	26.757
1.97507	1	1	0	26.9256
1.98007	1	1	0	26.9073
1.98507	1	1	0	26.9073
1.99007	1	1	0	23.5061
1.99507	1	1	0	23.4844
2.00007	1	1	0	25.3444
2.00507	1	1	0	25.7312
2.01007	1	1	0	25.7254
2.01507	1	1	0	25.7242
2.02007	1	1	0	28.756
2.02407	1	1	0	28.7544
2.02507	1	1	0	28.7525
2.03007	1	1	0	28.7502
2.03507	1	1	0	27.531
2.04007	1	1	0	27.1516
2.04507	1	1	0	27.5329
2.05007	1	1	0	26.898
2.05507	1	1	0	26.8976
2.06007	1	1	0	26.8972
2.06507	1	1	0	27.1716
2.07007	1	1	0	27.1686
2.07507	1	1	0	27.1661
2.08007	1	1	0	28.8647
2.08507	1	1	0	28.8644
2.09007	1	1	0	28.8575
2.09507	1	1	0	23.3797
2.10007	1	1	0	27.4092
2.10407	1	1	0	27.3978
2.10507	1	1	0	27.4059
2.11007	1	1	0	31.4818
2.11507	1	1	0	31.6457
2.12007	1	1	0	30.5328
2.12507	1	1	0	30.5003
2.13007	1	1	0	29.8559
2.13507	1	1	0	30.6823
2.14007	1	1	0	30.4918
2.14507	1	1	0	30.6594
2.15007	1	1	0	34.5328
2.15507	1	1	0	34.5139
2.16007	1	1	0	34.5113
2.16507	1	1	0	29.8169
2.17007	1	1	0	29.8354
2.17507	1	1	0	29.8304
2.18007	1	1	0	30.6449
2.18407	1	1	0	30.6425
2.18507	1	1	0	31.0086
2.19007	1	1	0	31.1137
2.19507	1	1	0	33.859
2.20007	1	1	0	29.5508
2.20507	1	1	0	29.4325
2.21007	1	1	0	27.4311
2.21507	1	1	0	27.3952
2.22007	1	1	0	27.4896
2.22507	1	1	0	28.4149
2.23007	1	1	0	28.474
