Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.203286	DL	20	3	0	1	3	1	0	1	1390	0	1	0	45.1354	15	0	0
0.213143	DL	21	3	0	1	1	1	0	1	15970	28	1	0	43.0894	15	0	0
0.223143	DL	22	3	0	1	1	1	0	1	15970	28	1	0	41.591	15	0	0
0.233143	DL	23	3	0	1	1	1	0	1	15970	28	1	0	41.591	15	0	0
0.243143	DL	24	3	0	1	1	1	0	1	15970	28	1	0	42.9207	15	0	0
0.253143	DL	25	3	0	1	1	1	0	1	15970	28	1	0	40.83	15	0	0
0.263143	DL	26	3	0	1	1	1	0	1	15970	28	1	0	41.7122	15	0	0
0.273143	DL	27	3	0	1	1	1	0	1	15970	28	1	0	41.2696	15	0	0
0.283143	DL	28	3	0	1	1	1	0	1	15970	28	1	0	42.2094	15	0	0
0.293143	DL	29	3	0	1	1	1	0	1	15970	28	1	0	41.6109	15	0	0
