Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0268571	UE  PHY Txed	2	6	0	1	1	0	SRS
0.106857	UE  PHY Txed	10	6	0	1	1	0	SRS
0.186857	UE  PHY Txed	18	6	0	1	1	0	SRS
0.205929	UE  PHY Txed	20	5	0	1	0	0	DL_HARQ
0.206929	UE  PHY Txed	20	6	0	1	0	0	DL_CQI
0.215929	UE  PHY Txed	21	5	0	1	0	0	DL_HARQ
0.216929	UE  PHY Txed	21	6	0	1	0	0	DL_CQI
0.225929	UE  PHY Txed	22	5	0	1	0	0	DL_HARQ
0.226929	UE  PHY Txed	22	6	0	1	0	0	DL_CQI
0.235929	UE  PHY Txed	23	5	0	1	0	0	DL_HARQ
0.236929	UE  PHY Txed	23	6	0	1	0	0	DL_CQI
0.245929	UE  PHY Txed	24	5	0	1	0	0	DL_HARQ
0.246929	UE  PHY Txed	24	6	0	1	0	0	DL_CQI
0.255929	UE  PHY Txed	25	5	0	1	0	0	DL_HARQ
0.256929	UE  PHY Txed	25	6	0	1	0	0	DL_CQI
0.265929	UE  PHY Txed	26	5	0	1	0	0	DL_HARQ
0.266857	UE  PHY Txed	26	6	0	1	1	0	SRS
0.266929	UE  PHY Txed	26	6	0	1	0	0	DL_CQI
0.275929	UE  PHY Txed	27	5	0	1	0	0	DL_HARQ
0.276929	UE  PHY Txed	27	6	0	1	0	0	DL_CQI
0.285929	UE  PHY Txed	28	5	0	1	0	0	DL_HARQ
0.286929	UE  PHY Txed	28	6	0	1	0	0	DL_CQI
0.295929	UE  PHY Txed	29	5	0	1	0	0	DL_HARQ
0.296929	UE  PHY Txed	29	6	0	1	0	0	DL_CQI
0.346857	UE  PHY Txed	34	6	0	1	1	0	SRS
0.426857	UE  PHY Txed	42	6	0	1	1	0	SRS
0.506857	UE  PHY Txed	50	6	0	1	1	0	SRS
0.586857	UE  PHY Txed	58	6	0	1	1	0	SRS
0.666857	UE  PHY Txed	66	6	0	1	1	0	SRS
0.746857	UE  PHY Txed	74	6	0	1	1	0	SRS
0.826857	UE  PHY Txed	82	6	0	1	1	0	SRS
0.906857	UE  PHY Txed	90	6	0	1	1	0	SRS
0.986857	UE  PHY Txed	98	6	0	1	1	0	SRS
1.06686	UE  PHY Txed	106	6	0	1	1	0	SRS
1.14686	UE  PHY Txed	114	6	0	1	1	0	SRS
1.22686	UE  PHY Txed	122	6	0	1	1	0	SRS
1.30686	UE  PHY Txed	130	6	0	1	1	0	SRS
1.38686	UE  PHY Txed	138	6	0	1	1	0	SRS
1.46686	UE  PHY Txed	146	6	0	1	1	0	SRS
1.54686	UE  PHY Txed	154	6	0	1	1	0	SRS
1.62686	UE  PHY Txed	162	6	0	1	1	0	SRS
1.70686	UE  PHY Txed	170	6	0	1	1	0	SRS
1.78686	UE  PHY Txed	178	6	0	1	1	0	SRS
1.86686	UE  PHY Txed	186	6	0	1	1	0	SRS
1.94686	UE  PHY Txed	194	6	0	1	1	0	SRS
2.02686	UE  PHY Txed	202	6	0	1	1	0	SRS
2.10686	UE  PHY Txed	210	6	0	1	1	0	SRS
2.18686	UE  PHY Txed	218	6	0	1	1	0	SRS
2.26686	UE  PHY Txed	226	6	0	1	1	0	SRS
2.34686	UE  PHY Txed	234	6	0	1	1	0	SRS
2.42686	UE  PHY Txed	242	6	0	1	1	0	SRS
2.50686	UE  PHY Txed	250	6	0	1	1	0	SRS
2.58686	UE  PHY Txed	258	6	0	1	1	0	SRS
2.66686	UE  PHY Txed	266	6	0	1	1	0	SRS
2.74686	UE  PHY Txed	274	6	0	1	1	0	SRS
2.82686	UE  PHY Txed	282	6	0	1	1	0	SRS
2.90686	UE  PHY Txed	290	6	0	1	1	0	SRS
2.98686	UE  PHY Txed	298	6	0	1	1	0	SRS
