Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	1	-203.995
0.0268571	1	0	1	-203.995
0.106857	1	0	1	-204.756
0.186857	1	0	1	-204.756
0.205929	1	0	1	-205.582
0.206929	1	0	1	-205.582
0.215929	1	0	1	-205.582
0.216929	1	0	1	-205.582
0.225929	1	0	1	-205.582
0.226929	1	0	1	-205.582
0.235929	1	0	1	-205.582
0.236929	1	0	1	-205.582
0.245929	1	0	1	-205.582
0.246929	1	0	1	-205.582
0.255929	1	0	1	-205.582
0.256929	1	0	1	-205.582
0.265929	1	0	1	-205.582
0.266857	1	0	1	-205.582
0.266929	1	0	1	-205.582
0.275929	1	0	1	-205.582
0.276929	1	0	1	-205.582
0.285929	1	0	1	-205.582
0.286929	1	0	1	-205.582
0.295929	1	0	1	-205.582
0.296929	1	0	1	-205.582
0.346857	1	0	1	-203.899
0.426857	1	0	1	-202.343
0.506857	1	0	1	-202.058
0.586857	1	0	1	-202.058
0.666857	1	0	1	-205.423
0.746857	1	0	1	-203.204
0.826857	1	0	1	-205.72
0.906857	1	0	1	-203.451
0.986857	1	0	1	-203.451
1.06686	1	0	1	-209.155
1.14686	1	0	1	-196.794
1.22686	1	0	1	-206.283
1.30686	1	0	1	-204.187
1.38686	1	0	1	-204.187
1.46686	1	0	1	-205.368
1.54686	1	0	1	-209.754
1.62686	1	0	1	-201.798
1.70686	1	0	1	-202.68
1.78686	1	0	1	-202.68
1.86686	1	0	1	-205.796
1.94686	1	0	1	-205.127
2.02686	1	0	1	-203.269
2.10686	1	0	1	-199.254
2.18686	1	0	1	-199.254
2.26686	1	0	1	-203.361
2.34686	1	0	1	-201.29
2.42686	1	0	1	-206.105
2.50686	1	0	1	-201.843
2.58686	1	0	1	-201.843
2.66686	1	0	1	-206.501
2.74686	1	0	1	-202.965
2.82686	1	0	1	-200.763
2.90686	1	0	1	-204.79
2.98686	1	0	1	-204.79
