Time,Node,X,Y,Z,Speed,Latitude,Longitude,Altitude
+1e+08ns,0,-6.26869e+06,-854.975,2.28162e+06,7729.89:0.320768:-6.371e+06,20,-179.992,300000
+1e+08ns,1,6.00351e+06,157208,2.12669e+06,10.0142:0:-6.37097e+06,19.5,1.5,3
+2e+08ns,0,-6.26869e+06,-1709.95,2.28162e+06,7729.89:0.641536:-6.371e+06,20,-179.984,300000
+2e+08ns,1,6.00351e+06,157207,2.12669e+06,10.0142:0:-6.37097e+06,19.5001,1.5,3
+3e+08ns,0,-6.26869e+06,-2564.93,2.28162e+06,7729.89:0.962304:-6.371e+06,20,-179.977,300000
+3e+08ns,1,6.00351e+06,157207,2.12669e+06,10.0142:0:-6.37097e+06,19.5001,1.5,3
+4e+08ns,0,-6.26869e+06,-3419.9,2.28162e+06,7729.89:1.28307:-6.371e+06,20,-179.969,300000
+4e+08ns,1,6.00351e+06,157207,2.1267e+06,10.0142:0:-6.37097e+06,19.5001,1.5,3
+5e+08ns,0,-6.26869e+06,-4274.88,2.28162e+06,7729.89:1.60384:-6.371e+06,20,-179.961,300000
+5e+08ns,1,6.00351e+06,157207,2.1267e+06,10.0142:0:-6.37097e+06,19.5001,1.5,3
+6e+08ns,0,-6.26869e+06,-5129.85,2.28162e+06,7729.89:1.92461:-6.37101e+06,20,-179.953,300000
+6e+08ns,1,6.00351e+06,157207,2.1267e+06,10.0142:0:-6.37097e+06,19.5002,1.5,3
+7e+08ns,0,-6.26869e+06,-5984.83,2.28162e+06,7729.89:2.24538:-6.37101e+06,20,-179.945,300000
+7e+08ns,1,6.00351e+06,157207,2.1267e+06,10.0142:0:-6.37097e+06,19.5002,1.5,3
+8e+08ns,0,-6.26869e+06,-6839.8,2.28162e+06,7729.89:2.56614:-6.37101e+06,20,-179.937,300000
+8e+08ns,1,6.00351e+06,157207,2.12671e+06,10.0142:0:-6.37097e+06,19.5002,1.5,3
+9e+08ns,0,-6.26869e+06,-7694.77,2.28162e+06,7729.89:2.88691:-6.37101e+06,20,-179.93,300000
+9e+08ns,1,6.0035e+06,157207,2.12671e+06,10.0142:0:-6.37097e+06,19.5002,1.5,3
+1e+09ns,0,-6.26868e+06,-8549.75,2.28161e+06,7729.89:3.20768:-6.37101e+06,20,-179.922,300000
+1e+09ns,1,6.0035e+06,157207,2.12671e+06,10.0142:0:-6.37097e+06,19.5003,1.5,3
+1.1e+09ns,0,-6.26868e+06,-9404.72,2.28161e+06,7729.88:3.52845:-6.37101e+06,20,-179.914,300000
+1.1e+09ns,1,6.0035e+06,157207,2.12672e+06,10.0142:0:-6.37097e+06,19.5003,1.5,3
+1.2e+09ns,0,-6.26868e+06,-10259.7,2.28161e+06,7729.88:3.84921:-6.37101e+06,20,-179.906,300000
+1.2e+09ns,1,6.0035e+06,157207,2.12672e+06,10.0142:0:-6.37097e+06,19.5003,1.5,3
+1.3e+09ns,0,-6.26868e+06,-11114.7,2.28161e+06,7729.88:4.16998:-6.37101e+06,20,-179.898,300000
+1.3e+09ns,1,6.0035e+06,157207,2.12672e+06,10.0142:0:-6.37097e+06,19.5004,1.5,3
+1.4e+09ns,0,-6.26868e+06,-11969.6,2.28161e+06,7729.88:4.49075:-6.37101e+06,20,-179.891,300000
+1.4e+09ns,1,6.0035e+06,157207,2.12672e+06,10.0142:0:-6.37097e+06,19.5004,1.5,3
+1.5e+09ns,0,-6.26868e+06,-12824.6,2.28161e+06,7729.88:4.81152:-6.37101e+06,20,-179.883,300000
+1.5e+09ns,1,6.0035e+06,157207,2.12673e+06,10.0142:0:-6.37097e+06,19.5004,1.5,3
+1.6e+09ns,0,-6.26868e+06,-13679.6,2.28161e+06,7729.88:5.13228:-6.37102e+06,20,-179.875,300000
+1.6e+09ns,1,6.0035e+06,157207,2.12673e+06,10.0142:0:-6.37097e+06,19.5004,1.5,3
+1.7e+09ns,0,-6.26867e+06,-14534.6,2.28161e+06,7729.87:5.45305:-6.37102e+06,20,-179.867,300000
+1.7e+09ns,1,6.0035e+06,157207,2.12673e+06,10.0142:0:-6.37097e+06,19.5005,1.5,3
+1.8e+09ns,0,-6.26867e+06,-15389.5,2.28161e+06,7729.87:5.77382:-6.37102e+06,20,-179.859,300000
+1.8e+09ns,1,6.0035e+06,157207,2.12674e+06,10.0142:0:-6.37097e+06,19.5005,1.5,3
+1.9e+09ns,0,-6.26867e+06,-16244.5,2.28161e+06,7729.87:6.09458:-6.37102e+06,19.9999,-179.852,300000
+1.9e+09ns,1,6.00349e+06,157207,2.12674e+06,10.0142:0:-6.37097e+06,19.5005,1.5,3
+2e+09ns,0,-6.26867e+06,-17099.5,2.28161e+06,7729.87:6.41535:-6.37102e+06,19.9999,-179.844,300000
+2e+09ns,1,6.00349e+06,157207,2.12674e+06,10.0142:0:-6.37097e+06,19.5005,1.5,3
+2.1e+09ns,0,-6.26867e+06,-17954.5,2.28161e+06,7729.86:6.73612:-6.37102e+06,19.9999,-179.836,300000
+2.1e+09ns,1,6.00349e+06,157207,2.12674e+06,10.0142:0:-6.37097e+06,19.5006,1.5,3
+2.2e+09ns,0,-6.26866e+06,-18809.4,2.28161e+06,7729.86:7.05689:-6.37102e+06,19.9999,-179.828,300000
+2.2e+09ns,1,6.00349e+06,157207,2.12675e+06,10.0142:0:-6.37097e+06,19.5006,1.5,3
+2.3e+09ns,0,-6.26866e+06,-19664.4,2.28161e+06,7729.86:7.37765:-6.37102e+06,19.9999,-179.82,300000
+2.3e+09ns,1,6.00349e+06,157207,2.12675e+06,10.0142:0:-6.37097e+06,19.5006,1.5,3
+2.4e+09ns,0,-6.26866e+06,-20519.4,2.28161e+06,7729.86:7.69842:-6.37102e+06,19.9999,-179.812,300000
+2.4e+09ns,1,6.00349e+06,157207,2.12675e+06,10.0142:0:-6.37097e+06,19.5006,1.5,3
+2.5e+09ns,0,-6.26866e+06,-21374.3,2.28161e+06,7729.85:8.01919:-6.37102e+06,19.9999,-179.805,300000
+2.5e+09ns,1,6.00349e+06,157207,2.12676e+06,10.0142:0:-6.37097e+06,19.5007,1.5,3
+2.6e+09ns,0,-6.26865e+06,-22229.3,2.28161e+06,7729.85:8.33995:-6.37102e+06,19.9999,-179.797,300000
+2.6e+09ns,1,6.00349e+06,157207,2.12676e+06,10.0142:0:-6.37097e+06,19.5007,1.5,3
+2.7e+09ns,0,-6.26865e+06,-23084.3,2.2816e+06,7729.85:8.66072:-6.37103e+06,19.9999,-179.789,300000
+2.7e+09ns,1,6.00349e+06,157207,2.12676e+06,10.0142:0:-6.37097e+06,19.5007,1.5,3
+2.8e+09ns,0,-6.26865e+06,-23939.3,2.2816e+06,7729.84:8.98148:-6.37103e+06,19.9999,-179.781,300000
+2.8e+09ns,1,6.00349e+06,157207,2.12676e+06,10.0142:0:-6.37097e+06,19.5008,1.5,3
+2.9e+09ns,0,-6.26865e+06,-24794.2,2.2816e+06,7729.84:9.30225:-6.37103e+06,19.9999,-179.773,300000
+2.9e+09ns,1,6.00348e+06,157207,2.12677e+06,10.0142:0:-6.37097e+06,19.5008,1.5,3
